Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.039874,4.223252,[ 5 17] ; [31 34],[ 9.10344828 12.89655172] ; [26.89655172 38.10344828],0
s1,1,0.040652,4.190476,[ 4 18] ; [ 3 63],[ 1.75 20.25] ; [ 5.25 60.75],0
a4,1,0.064939,3.406533,[10 12] ; [16 49],[ 6.57471264 15.42528736] ; [19.42528736 45.57471264],0
b1,1,0.108731,2.572565,[15  7] ; [32 34],[11.75 10.25] ; [35.25 30.75],0
b4,1,0.108731,2.572565,[15  7] ; [32 34],[11.75 10.25] ; [35.25 30.75],0
d3,1,0.11963,2.422159,[13  9] ; [26 39],[ 9.86206897 12.13793103] ; [29.13793103 35.86206897],0
a3,1,0.130151,2.290704,[14  7] ; [31 34],[10.98837209 10.01162791] ; [34.01162791 30.98837209],0
n2,1,0.212317,1.555556,[11  7] ; [10 14],[9. 9.] ; [12. 12.],0
p11,1,0.214044,1.54386,[ 7 15] ; [31 35],[ 9.5 12.5] ; [28.5 37.5],0
a1,1,0.244607,1.353846,[ 4 18] ; [ 6 60],[ 2.5 19.5] ; [ 7.5 58.5],0
p5,1,0.245093,1.35106,[ 3 18] ; [ 4 60],[ 1.72941176 19.27058824] ; [ 5.27058824 58.72941176],0
s7,1,0.251268,1.316237,[ 8 12] ; [17 47],[ 5.95238095 14.04761905] ; [19.04761905 44.95238095],0
n1,1,0.276162,1.185882,[9 9] ; [ 8 16],[ 7.28571429 10.71428571] ; [ 9.71428571 14.28571429],0
p7,1,0.284555,1.145206,[ 5 15] ; [24 39],[ 6.98795181 13.01204819] ; [22.01204819 40.98795181],0
b3,1,0.2967,1.088968,[ 3 11] ; [15 26],[4.58181818 9.41818182] ; [13.41818182 27.58181818],0
b2,1,0.2967,1.088968,[ 3 11] ; [15 26],[4.58181818 9.41818182] ; [13.41818182 27.58181818],0
p9,1,0.315176,1.008862,[10 12] ; [37 27],[12.02325581  9.97674419] ; [34.97674419 29.02325581],0
a5,1,0.324756,0.969697,[13  9] ; [31 35],[11. 11.] ; [33. 33.],0
d4,1,0.378723,0.774843,[15  7] ; [38 28],[13.25  8.75] ; [39.75 26.25],0
a2,1,0.391805,0.733333,[ 3 19] ; [ 5 61],[ 2. 20.] ; [ 6. 60.],0
v3,1,0.459319,0.547552,[ 2 20] ; [10 55],[ 3.03448276 18.96551724] ; [ 8.96551724 56.03448276],0
p10,1,0.46144,0.5424,[13  9] ; [32 32],[11.51162791 10.48837209] ; [33.48837209 30.51162791],0
n6,1,0.535081,0.384733,[10 11] ; [36 29],[11.23255814  9.76744186] ; [34.76744186 30.23255814],0
d1,1,0.58042,0.305556,[ 7 15] ; [17 49],[ 6. 16.] ; [18. 48.],0
a6,1,0.622461,0.242424,[10 12] ; [34 32],[11. 11.] ; [33. 33.],0
