Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,7.7e-05,15.641145,[15  2] ; [ 5 16],[8.94736842 8.05263158] ; [11.05263158  9.94736842],1
p8,1,0.027311,4.871015,[14  3] ; [10 11],[10.73684211  6.26315789] ; [13.26315789  7.73684211],0
d3,1,0.050802,3.81478,[ 7 10] ; [ 3 19],[ 4.35897436 12.64102564] ; [ 5.64102564 16.35897436],0
v1,1,0.051119,3.804362,[9 8] ; [ 5 17],[ 6.1025641 10.8974359] ; [ 7.8974359 14.1025641],0
r1,1,0.072819,3.218294,[16  1] ; [15  6],[13.86842105  3.13157895] ; [17.13157895  3.86842105],0
s6,1,0.074433,3.18244,[12  4] ; [20  1],[13.83783784  2.16216216] ; [18.16216216  2.83783784],0
p5,1,0.113556,2.504028,[ 7 10] ; [ 4 18],[ 4.79487179 12.20512821] ; [ 6.20512821 15.79487179],0
d5,1,0.116509,2.463639,[ 5 12] ; [12 10],[7.41025641 9.58974359] ; [ 9.58974359 12.41025641],0
s4,1,0.118574,2.436052,[ 3 14] ; [ 9 13],[ 5.23076923 11.76923077] ; [ 6.76923077 15.23076923],0
p12,1,0.181125,1.788369,[ 3 14] ; [ 1 21],[ 1.74358974 15.25641026] ; [ 2.25641026 19.74358974],0
p2,1,0.226346,1.463677,[12  5] ; [19  3],[13.51282051  3.48717949] ; [17.48717949  4.51282051],0
p1,1,0.226346,1.463677,[ 5 12] ; [ 3 19],[ 3.48717949 13.51282051] ; [ 4.51282051 17.48717949],0
a6,1,0.231748,1.430099,[11  6] ; [10 12],[9.15384615 7.84615385] ; [11.84615385 10.15384615],0
b5,1,0.300544,1.071778,[9 8] ; [ 8 14],[7.41025641 9.58974359] ; [ 9.58974359 12.41025641],0
n5,1,0.428045,0.628122,[14  3] ; [20  2],[14.82051282  2.17948718] ; [19.17948718  2.82051282],0
r3,1,0.428674,0.626413,[16  1] ; [19  3],[15.25641026  1.74358974] ; [19.74358974  2.25641026],0
n6,1,0.428674,0.626413,[16  1] ; [19  3],[15.25641026  1.74358974] ; [19.74358974  2.25641026],0
p3,1,0.454812,0.558633,[9 8] ; [ 9 13],[7.84615385 9.15384615] ; [10.15384615 11.84615385],0
p6,1,0.454812,0.558633,[9 8] ; [ 9 13],[7.84615385 9.15384615] ; [10.15384615 11.84615385],0
a7,1,0.457956,0.550886,[12  5] ; [13  9],[10.8974359  6.1025641] ; [14.1025641  7.8974359],0
a5,1,0.522387,0.409178,[11  6] ; [12 10],[10.02564103  6.97435897] ; [12.97435897  9.02564103],0
d2,1,0.568403,0.325361,[ 4 13] ; [ 7 15],[ 4.79487179 12.20512821] ; [ 6.20512821 15.79487179],0
u3,1,0.671373,0.18,[4 4] ; [6 4],[4.44444444 3.55555556] ; [5.55555556 4.44444444],0
u2,1,0.671373,0.18,[4 4] ; [4 6],[3.55555556 4.44444444] ; [4.44444444 5.55555556],0
b1,1,0.700941,0.147495,[8 9] ; [ 9 13],[7.41025641 9.58974359] ; [ 9.58974359 12.41025641],0
s7,1,0.701585,0.146829,[11  4] ; [15  4],[11.47058824  3.52941176] ; [14.52941176  4.47058824],0
u1,1,0.70924,0.139037,[ 1 16] ; [ 2 20],[ 1.30769231 15.69230769] ; [ 1.69230769 20.30769231],0
s2,1,0.759338,0.09385,[10  7] ; [14  8],[10.46153846  6.53846154] ; [13.53846154  8.46153846],0
a4,1,0.790643,0.070478,[ 4 13] ; [ 6 16],[ 4.35897436 12.64102564] ; [ 5.64102564 16.35897436],0
p7,1,0.790643,0.070478,[13  4] ; [16  6],[12.64102564  4.35897436] ; [16.35897436  5.64102564],0
s1,1,0.822906,0.050091,[ 2 15] ; [ 2 19],[ 1.78947368 15.21052632] ; [ 2.21052632 18.78947368],0
d1,1,0.851116,0.035229,[ 1 16] ; [ 1 21],[ 0.87179487 16.12820513] ; [ 1.12820513 20.87179487],0
s3,1,0.860981,0.030669,[9 7] ; [13  9],[9.26315789 6.73684211] ; [12.73684211  9.26315789],0
a8,1,0.874925,0.024777,[ 2 14] ; [ 3 18],[ 2.16216216 13.83783784] ; [ 2.83783784 18.16216216],0
p10,1,0.911824,0.012263,[14  3] ; [17  4],[13.86842105  3.13157895] ; [17.13157895  3.86842105],0
p9,1,0.911824,0.012263,[14  3] ; [17  4],[13.86842105  3.13157895] ; [17.13157895  3.86842105],0
n4,1,0.911824,0.012263,[14  3] ; [17  4],[13.86842105  3.13157895] ; [17.13157895  3.86842105],0
b3,1,0.913906,0.011688,[3 5] ; [4 6],[3.11111111 4.88888889] ; [3.88888889 6.11111111],0
b2,1,0.913906,0.011688,[3 5] ; [4 6],[3.11111111 4.88888889] ; [3.88888889 6.11111111],0
a3,1,0.920618,0.009931,[9 8] ; [12 10],[9.15384615 7.84615385] ; [11.84615385 10.15384615],0
p11,1,0.952986,0.003476,[13  4] ; [17  5],[13.07692308  3.92307692] ; [16.92307692  5.07692308],0
s8,1,0.972566,0.001183,[9 8] ; [11 10],[8.94736842 8.05263158] ; [11.05263158  9.94736842],0
b4,1,0.98657,0.000283,[10  7] ; [13  9],[10.02564103  6.97435897] ; [12.97435897  9.02564103],0
p4,1,0.98657,0.000283,[10  7] ; [13  9],[10.02564103  6.97435897] ; [12.97435897  9.02564103],0
n1,1,1.0,0.0,[1 1] ; [5 5],[1. 1.] ; [5. 5.],0
