Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.635957,[ 6 53] ; [14  8],[14.56790123 44.43209877] ; [ 5.43209877 16.56790123],1
s4,1,0.001436,10.158424,[11 48] ; [12 10],[16.75308642 42.24691358] ; [ 6.24691358 15.75308642],0
s5,1,0.001529,10.0433,[10 49] ; [11 10],[15.4875 43.5125] ; [ 5.5125 15.4875],0
s6,1,0.002139,9.425921,[20 38] ; [16  6],[26.1 31.9] ; [ 9.9 12.1],0
n1,1,0.004229,8.182667,[ 4 21] ; [6 3],[ 7.35294118 17.64705882] ; [2.64705882 6.35294118],0
p3,1,0.00952,6.722575,[14 44] ; [12 10],[18.85 39.15] ; [ 7.15 14.85],0
d5,1,0.009843,6.66315,[29 29] ; [18  4],[34.075 23.925] ; [12.925  9.075],0
a3,1,0.010262,6.588772,[21 37] ; [15  7],[26.1 31.9] ; [ 9.9 12.1],0
s2,1,0.010441,6.558061,[19 40] ; [14  8],[24.03703704 34.96296296] ; [ 8.96296296 13.03703704],0
u2,1,0.016791,5.718045,[14 24] ; [6 1],[16.88888889 21.11111111] ; [3.11111111 3.88888889],0
a2,1,0.027364,4.867691,[ 1 58] ; [ 3 19],[ 2.91358025 56.08641975] ; [ 1.08641975 20.91358025],0
p4,1,0.027687,4.84747,[19 40] ; [13  9],[23.30864198 35.69135802] ; [ 8.69135802 13.30864198],0
s3,1,0.040125,4.212604,[20 39] ; [13  9],[24.03703704 34.96296296] ; [ 8.96296296 13.03703704],0
b4,1,0.042283,4.123857,[28 31] ; [16  6],[32.04938272 26.95061728] ; [11.95061728 10.04938272],0
d1,1,0.056828,3.627625,[14 45] ; [10 12],[17.48148148 41.51851852] ; [ 6.51851852 15.48148148],0
d4,1,0.078816,3.089144,[33 26] ; [17  5],[36.41975309 22.58024691] ; [13.58024691  8.41975309],0
p6,1,0.098073,2.736608,[13 45] ; [ 9 13],[15.95 42.05] ; [ 6.05 15.95],0
a7,1,0.117807,2.446232,[31 27] ; [16  6],[34.075 23.925] ; [12.925  9.075],0
v1,1,0.127609,2.321357,[16 42] ; [10 12],[18.85 39.15] ; [ 7.15 14.85],0
a4,1,0.143833,2.136466,[10 49] ; [ 7 15],[12.38271605 46.61728395] ; [ 4.61728395 17.38271605],0
r2,1,0.158854,1.985103,[42 17] ; [19  3],[44.43209877 14.56790123] ; [16.56790123  5.43209877],0
a5,1,0.161574,1.959429,[22 37] ; [12 10],[24.7654321 34.2345679] ; [ 9.2345679 12.7654321],0
v3,1,0.166934,1.910266,[ 7 51] ; [ 5 15],[ 8.92307692 49.07692308] ; [ 3.07692308 16.92307692],0
p11,1,0.169047,1.891373,[33 26] ; [16  6],[35.69135802 23.30864198] ; [13.30864198  8.69135802],0
b2,1,0.171857,1.866667,[ 7 20] ; [7 8],[ 9. 18.] ; [ 5. 10.],0
b3,1,0.171857,1.866667,[ 7 20] ; [7 8],[ 9. 18.] ; [ 5. 10.],0
p10,1,0.175927,1.831696,[32 25] ; [16  6],[34.63291139 22.36708861] ; [13.36708861  8.63291139],0
u3,1,0.194212,1.685377,[17 21] ; [5 2],[18.57777778 19.42222222] ; [3.42222222 3.57777778],0
p7,1,0.201831,1.629073,[26 31] ; [13  8],[28.5 28.5] ; [10.5 10.5],0
d2,1,0.208382,1.582632,[18 41] ; [10 12],[20.39506173 38.60493827] ; [ 7.60493827 14.39506173],0
a6,1,0.228744,1.448657,[26 33] ; [13  9],[28.40740741 30.59259259] ; [10.59259259 11.40740741],0
v2,1,0.270543,1.213991,[15 44] ; [ 8 13],[16.9625 42.0375] ; [ 6.0375 14.9625],0
r4,1,0.2859,1.138829,[27 32] ; [13  9],[29.13580247 29.86419753] ; [10.86419753 11.13580247],0
p1,1,0.340796,0.907435,[ 4 54] ; [ 3 19],[ 5.075 52.925] ; [ 1.925 20.075],0
d3,1,0.426694,0.631804,[28 29] ; [13  9],[29.58227848 27.41772152] ; [11.41772152 10.58227848],0
n6,1,0.50368,0.447173,[37 22] ; [12 10],[35.69135802 23.30864198] ; [13.30864198  8.69135802],0
n2,1,0.58018,0.305944,[15 10] ; [7 3],[15.71428571  9.28571429] ; [6.28571429 3.71428571],0
n3,1,0.589154,0.291667,[15 10] ; [5 5],[14.28571429 10.71428571] ; [5.71428571 4.28571429],0
p8,1,0.692008,0.15692,[22 36] ; [ 9 12],[22.75949367 35.24050633] ; [ 8.24050633 12.75949367],0
p2,1,0.713265,0.135037,[37 21] ; [15  7],[37.7 20.3] ; [14.3  7.7],0
p9,1,0.723711,0.124964,[39 19] ; [15  6],[39.64556962 18.35443038] ; [14.35443038  6.64556962],0
b5,1,0.723878,0.124807,[35 24] ; [14  8],[35.69135802 23.30864198] ; [13.30864198  8.69135802],0
a8,1,0.798514,0.065163,[ 2 55] ; [ 1 20],[ 2.19230769 54.80769231] ; [ 0.80769231 20.19230769],0
u1,1,0.80649,0.060004,[ 2 57] ; [ 1 21],[ 2.18518519 56.81481481] ; [ 0.81481481 21.18518519],0
v4,1,0.921259,0.009771,[48 10] ; [18  4],[47.85 10.15] ; [18.15  3.85],0
n5,1,0.938912,0.005873,[22 37] ; [ 8 14],[21.85185185 37.14814815] ; [ 8.14814815 13.85185185],0
r3,1,0.962006,0.002269,[48 11] ; [18  4],[48.07407407 10.92592593] ; [17.92592593  4.07407407],0
b1,1,0.980242,0.000613,[27 32] ; [10 12],[26.95061728 32.04938272] ; [10.04938272 11.95061728],0
