Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.6e-05,17.670877,[2 5] ; [107  15],[5.91472868 1.08527132] ; [103.08527132  18.91472868],1
r2,1,3.3e-05,17.257716,[4 3] ; [118   5],[6.56923077 0.43076923] ; [115.43076923   7.56923077],1
r4,1,0.000103,15.074652,[3 4] ; [112  11],[6.19230769 0.80769231] ; [108.80769231  14.19230769],1
p10,1,0.000205,13.788505,[2 5] ; [104  19],[5.70769231 1.29230769] ; [100.29230769  22.70769231],1
s1,1,0.005442,7.726211,[2 5] ; [  5 117],[0.37984496 6.62015504] ; [  6.62015504 115.37984496],0
a6,1,0.007032,7.264772,[1 6] ; [80 43],[4.36153846 2.63846154] ; [76.63846154 46.36153846],0
r1,1,0.022847,5.180114,[3 4] ; [98 25],[5.43846154 1.56153846] ; [95.56153846 27.43846154],0
s3,1,0.024972,5.025859,[3 4] ; [96 25],[5.4140625 1.5859375] ; [93.5859375 27.4140625],0
p7,1,0.026478,4.924532,[2 5] ; [83 37],[4.68503937 2.31496063] ; [80.31496063 39.68503937],0
s8,1,0.027571,4.854695,[1 6] ; [70 53],[3.82307692 3.17692308] ; [67.17692308 55.82307692],0
p3,1,0.034494,4.470033,[1 6] ; [68 55],[3.71538462 3.28461538] ; [65.28461538 57.71538462],0
s2,1,0.0365,4.373581,[3 4] ; [94 27],[5.3046875 1.6953125] ; [91.6953125 29.3046875],0
p11,1,0.047162,3.939583,[3 4] ; [94 29],[5.22307692 1.77692308] ; [91.77692308 31.22307692],0
p4,1,0.051801,3.782199,[2 5] ; [80 43],[4.41538462 2.58461538] ; [77.58461538 45.41538462],0
d3,1,0.063863,3.434108,[3 4] ; [92 31],[5.11538462 1.88461538] ; [89.88461538 33.11538462],0
a1,1,0.077488,3.116808,[1 6] ; [  3 120],[0.21538462 6.78461538] ; [  3.78461538 119.21538462],0
a5,1,0.083828,2.989073,[3 4] ; [90 33],[5.00769231 1.99230769] ; [87.99230769 35.00769231],0
d5,1,0.087216,2.925021,[4 3] ; [102  21],[5.70769231 1.29230769] ; [100.29230769  22.70769231],0
a3,1,0.09507,2.786353,[3 4] ; [89 34],[4.95384615 2.04615385] ; [87.04615385 35.95384615],0
d4,1,0.102978,2.658813,[4 3] ; [101  22],[5.65384615 1.34615385] ; [99.34615385 23.65384615],0
a7,1,0.148603,2.086532,[3 4] ; [85 38],[4.73846154 2.26153846] ; [83.26153846 39.73846154],0
p2,1,0.179396,1.802619,[4 3] ; [97 26],[5.43846154 1.56153846] ; [95.56153846 27.43846154],0
p8,1,0.202436,1.624716,[2 5] ; [64 56],[3.63779528 3.36220472] ; [62.36220472 57.63779528],0
v4,1,0.20998,1.571566,[6 1] ; [118   5],[6.67692308 0.32307692] ; [117.32307692   5.67692308],0
s7,1,0.216683,1.526204,[3 4] ; [79 41],[4.51968504 2.48031496] ; [77.48031496 42.51968504],0
n4,1,0.230063,1.440474,[6 1] ; [78 45],[4.52307692 2.47692308] ; [79.47692308 43.52307692],0
u2,1,0.241964,1.369118,[3 1] ; [15 19],[1.89473684 2.10526316] ; [16.10526316 17.89473684],0
d2,1,0.261013,1.263374,[5 2] ; [61 62],[3.55384615 3.44615385] ; [62.44615385 60.55384615],0
b1,1,0.274966,1.191806,[4 3] ; [45 78],[2.63846154 4.36153846] ; [46.36153846 76.63846154],0
d1,1,0.274966,1.191806,[3 4] ; [78 45],[4.36153846 2.63846154] ; [76.63846154 46.36153846],0
v2,1,0.309562,1.032546,[2 5] ; [57 61],[3.304 3.696] ; [55.696 62.304],0
v3,1,0.346407,0.886575,[1 6] ; [37 82],[2.11111111 4.88888889] ; [35.88888889 83.11111111],0
n5,1,0.350963,0.869974,[6 1] ; [85 38],[4.9 2.1] ; [86.1 36.9],0
p6,1,0.439108,0.598611,[2 5] ; [53 69],[2.98449612 4.01550388] ; [52.01550388 69.98449612],0
b4,1,0.608702,0.262069,[5 2] ; [76 47],[4.36153846 2.63846154] ; [76.63846154 46.36153846],0
b2,1,0.635353,0.224871,[1 5] ; [16 47],[1.47826087 4.52173913] ; [15.52173913 47.47826087],0
b3,1,0.635353,0.224871,[1 5] ; [16 47],[1.47826087 4.52173913] ; [15.52173913 47.47826087],0
b5,1,0.637846,0.221571,[5 2] ; [77 46],[4.41538462 2.58461538] ; [77.58461538 45.41538462],0
u3,1,0.681442,0.168507,[3 1] ; [22 12],[2.63157895 1.36842105] ; [22.36842105 11.63157895],0
p1,1,0.757663,0.095204,[1 6] ; [ 13 110],[0.75384615 6.24615385] ; [ 13.24615385 109.75384615],0
n2,1,0.837788,0.041912,[3 1] ; [27  7],[3.15789474 0.84210526] ; [26.84210526  7.15789474],0
n1,1,0.853988,0.033868,[1 3] ; [10 24],[1.15789474 2.84210526] ; [ 9.84210526 24.15789474],0
a4,1,0.890174,0.019067,[3 4] ; [56 67],[3.17692308 3.82307692] ; [55.82307692 67.17692308],0
n3,1,0.949624,0.003992,[3 1] ; [25  9],[2.94736842 1.05263158] ; [25.05263158  8.94736842],0
n6,1,0.972873,0.001156,[6 1] ; [104  18],[5.96899225 1.03100775] ; [104.03100775  17.96899225],0
s5,1,0.994939,4e-05,[4 3] ; [67 50],[4.00806452 2.99193548] ; [66.99193548 50.00806452],0
