Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,30.02813,[64 85] ; [48  8],[81.40487805 67.59512195] ; [30.59512195 25.40487805],1
p8,1,1.9e-05,18.282563,[ 47 106] ; [36 21],[60.47142857 92.52857143] ; [22.52857143 34.47142857],1
p4,1,5.9e-05,16.146627,[ 49 102] ; [36 21],[61.70673077 89.29326923] ; [23.29326923 33.70673077],1
b3,1,0.010313,6.58008,[17 65] ; [15 19],[22.62068966 59.37931034] ; [ 9.37931034 24.62068966],0
b2,1,0.010313,6.58008,[17 65] ; [15 19],[22.62068966 59.37931034] ; [ 9.37931034 24.62068966],0
p5,1,0.012342,6.261115,[  5 148] ; [ 7 50],[  8.74285714 144.25714286] ; [ 3.25714286 53.74285714],0
r4,1,0.015437,5.865927,[107  47] ; [49  8],[113.85781991  40.14218009] ; [42.14218009 14.85781991],0
s7,1,0.021522,5.284002,[ 33 116] ; [20 32],[ 39.28855721 109.71144279] ; [13.71144279 38.28855721],0
n5,1,0.024394,5.066411,[92 60] ; [44 13],[98.90909091 53.09090909] ; [37.09090909 19.90909091],0
r3,1,0.029499,4.738249,[128  26] ; [54  3],[132.83412322  21.16587678] ; [49.16587678  7.83412322],0
p11,1,0.042579,4.112024,[96 58] ; [44 13],[102.18009479  51.81990521] ; [37.81990521 19.18009479],0
p3,1,0.049398,3.861787,[ 43 111] ; [24 33],[ 48.90047393 105.09952607] ; [18.09952607 38.90047393],0
p2,1,0.060977,3.510601,[104  50] ; [46 11],[109.47867299  44.52132701] ; [40.52132701 16.47867299],0
b4,1,0.074613,3.178495,[94 60] ; [27 30],[88.31279621 65.68720379] ; [32.68720379 24.31279621],0
d4,1,0.082754,3.009976,[93 60] ; [42 15],[98.35714286 54.64285714] ; [36.64285714 20.35714286],0
v2,1,0.083743,2.990717,[54 87] ; [29 27],[59.40609137 81.59390863] ; [23.59390863 32.40609137],0
b5,1,0.088383,2.903572,[94 60] ; [42 15],[99.26066351 54.73933649] ; [36.73933649 20.26066351],0
v1,1,0.089099,2.890579,[50 99] ; [26 30],[55.23902439 93.76097561] ; [20.76097561 35.23902439],0
v4,1,0.119332,2.42607,[129  23] ; [53  4],[132.36363636  19.63636364] ; [49.63636364  7.36363636],0
v3,1,0.137074,2.210501,[ 40 109] ; [21 35],[ 44.33658537 104.66341463] ; [16.66341463 39.33658537],0
d3,1,0.153955,2.032616,[78 76] ; [34 21],[82.52631579 71.47368421] ; [29.47368421 25.52631579],0
n3,1,0.160838,1.966334,[31 19] ; [10  2],[33.06451613 16.93548387] ; [7.93548387 4.06451613],0
s6,1,0.161703,1.958223,[68 85] ; [31 25],[72.47368421 80.52631579] ; [26.52631579 29.47368421],0
s8,1,0.173962,1.848465,[ 37 117] ; [19 38],[ 40.87203791 113.12796209] ; [15.12796209 41.87203791],0
p12,1,0.20146,1.631761,[  3 150] ; [ 3 54],[  4.37142857 148.62857143] ; [ 1.62857143 55.37142857],0
d5,1,0.243741,1.358824,[88 66] ; [37 19],[91.66666667 62.33333333] ; [33.33333333 22.66666667],0
a7,1,0.25387,1.301879,[96 58] ; [39 16],[99.47368421 54.52631579] ; [35.52631579 19.47368421],0
r2,1,0.283448,1.150485,[127  25] ; [51  6],[129.45454545  22.54545455] ; [48.54545455  8.45454545],0
a8,1,0.304087,1.056185,[ 12 132] ; [ 7 46],[ 13.88832487 130.11167513] ; [ 5.11167513 47.88832487],0
a3,1,0.319279,0.991897,[62 91] ; [27 29],[65.15311005 87.84688995] ; [23.84688995 32.15311005],0
s1,1,0.342315,0.901741,[  7 146] ; [ 1 56],[  5.82857143 147.17142857] ; [ 2.17142857 54.82857143],0
n1,1,0.356427,0.850445,[14 36] ; [5 7],[15.32258065 34.67741935] ; [3.67741935 8.32258065],0
a6,1,0.367621,0.811691,[73 81] ; [31 26],[75.90521327 78.09478673] ; [28.09478673 28.90521327],0
u2,1,0.370422,0.802247,[45 44] ; [18 12],[47.11764706 41.88235294] ; [15.88235294 14.11764706],0
s2,1,0.370763,0.801104,[ 49 104] ; [22 35],[ 51.72857143 101.27142857] ; [19.27142857 37.72857143],0
n4,1,0.375128,0.786607,[89 64] ; [37 20],[91.8 61.2] ; [34.2 22.8],0
p9,1,0.41534,0.663464,[99 51] ; [41 16],[101.44927536  48.55072464] ; [38.55072464 18.44927536],0
p1,1,0.567408,0.327039,[ 10 144] ; [ 5 52],[ 10.9478673 143.0521327] ; [ 4.0521327 52.9478673],0
a1,1,0.72073,0.127795,[  4 150] ; [ 1 56],[  3.6492891 150.3507109] ; [ 1.3507109 55.6492891],0
s4,1,0.727813,0.121129,[ 22 131] ; [ 7 49],[ 21.22966507 131.77033493] ; [ 7.77033493 48.22966507],0
n6,1,0.741892,0.108471,[112  42] ; [42 14],[112.93333333  41.06666667] ; [41.06666667 14.93333333],0
n2,1,0.75204,0.099824,[31 18] ; [7 5],[30.52459016 18.47540984] ; [7.47540984 4.52459016],0
b1,1,0.765436,0.089013,[56 98] ; [22 35],[56.92890995 97.07109005] ; [21.07109005 35.92890995],0
s3,1,0.782919,0.07591,[70 79] ; [28 29],[70.88349515 78.11650485] ; [27.11650485 29.88349515],0
a4,1,0.83508,0.043344,[ 25 128] ; [10 47],[ 25.5 127.5] ; [ 9.5 47.5],0
u3,1,0.875529,0.024536,[44 47] ; [15 15],[44.37190083 46.62809917] ; [14.62809917 15.37190083],0
d1,1,0.882334,0.021907,[ 47 107] ; [18 39],[ 47.44075829 106.55924171] ; [17.55924171 39.44075829],0
p10,1,0.902633,0.014966,[96 54] ; [37 20],[96.37681159 53.62318841] ; [36.62318841 20.37681159],0
d2,1,0.910015,0.012773,[ 34 120] ; [13 44],[ 34.30331754 119.69668246] ; [12.69668246 44.30331754],0
u1,1,0.927019,0.00839,[  3 151] ; [ 1 56],[  2.91943128 151.08056872] ; [ 1.08056872 55.91943128],0
r1,1,0.949487,0.004013,[92 61] ; [34 23],[91.8 61.2] ; [34.2 22.8],0
