Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.001389,10.220486,[11  5] ; [ 1 11],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
v1,1,0.002174,9.396307,[10  5] ; [ 1 11],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
n6,1,0.030522,4.67963,[13  3] ; [5 7],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
a3,1,0.062942,3.45812,[11  5] ; [4 8],[8.57142857 7.42857143] ; [6.42857143 5.57142857],0
d1,1,0.068504,3.318519,[8 8] ; [ 2 10],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
n4,1,0.073896,3.194296,[12  4] ; [5 7],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
b1,1,0.073896,3.194296,[12  4] ; [5 7],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
d5,1,0.07776,3.111111,[14  2] ; [7 5],[12.  4.] ; [9. 3.],0
v3,1,0.07776,3.111111,[ 6 10] ; [ 1 11],[ 4. 12.] ; [3. 9.],0
p8,1,0.09821,2.734375,[7 9] ; [9 3],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
n5,1,0.142781,2.147727,[14  2] ; [7 4],[12.44444444  3.55555556] ; [8.55555556 2.44444444],0
p3,1,0.151825,2.053819,[11  5] ; [5 7],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
a5,1,0.171857,1.866667,[12  4] ; [6 6],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
s4,1,0.184054,1.764583,[ 3 13] ; [5 7],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
n1,1,0.220671,1.5,[1 5] ; [3 3],[2. 4.] ; [2. 4.],0
n3,1,0.248213,1.333333,[4 2] ; [2 4],[3. 3.] ; [3. 3.],0
a2,1,0.254478,1.298551,[ 4 12] ; [ 1 11],[ 2.85714286 13.14285714] ; [2.14285714 9.85714286],0
d4,1,0.314736,1.010695,[11  5] ; [6 6],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
s6,1,0.343446,0.897527,[9 6] ; [5 7],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
b5,1,0.377822,0.777778,[13  3] ; [8 4],[12.  4.] ; [9. 3.],0
p9,1,0.377822,0.777778,[13  3] ; [8 4],[12.  4.] ; [9. 3.],0
b2,1,0.402388,0.701178,[4 5] ; [2 6],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
b3,1,0.402388,0.701178,[4 5] ; [2 6],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
u1,1,0.435678,0.607639,[ 3 13] ; [ 1 11],[ 2.28571429 13.71428571] ; [ 1.71428571 10.28571429],0
s7,1,0.469064,0.524179,[8 3] ; [7 5],[7.17391304 3.82608696] ; [7.82608696 4.17391304],0
d3,1,0.483522,0.490909,[8 8] ; [4 7],[7.11111111 8.88888889] ; [4.88888889 6.11111111],0
n2,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
s3,1,0.54659,0.363462,[7 8] ; [7 5],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
u2,1,0.568618,0.325,[3 2] ; [6 2],[3.46153846 1.53846154] ; [5.53846154 2.46153846],0
a6,1,0.56917,0.324074,[11  5] ; [7 5],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
a4,1,0.57649,0.311943,[7 9] ; [4 8],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
p11,1,0.629063,0.233333,[12  4] ; [8 4],[11.42857143  4.57142857] ; [8.57142857 3.42857143],0
r3,1,0.706197,0.142105,[11  4] ; [8 4],[10.55555556  4.44444444] ; [8.44444444 3.55555556],0
r1,1,0.71714,0.13125,[ 5 11] ; [3 9],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
p2,1,0.724263,0.124444,[14  2] ; [11  1],[14.28571429  1.71428571] ; [10.71428571  1.28571429],0
u3,1,0.735317,0.114286,[1 4] ; [2 5],[1.25 3.75] ; [1.75 5.25],0
p7,1,0.768458,0.086667,[12  4] ; [8 2],[12.30769231  3.69230769] ; [7.69230769 2.30769231],0
s5,1,0.768589,0.086566,[ 3 10] ; [2 9],[ 2.70833333 10.29166667] ; [2.29166667 8.70833333],0
p10,1,0.781814,0.076705,[11  5] ; [7 4],[10.66666667  5.33333333] ; [7.33333333 3.66666667],0
s8,1,0.795012,0.0675,[7 8] ; [5 7],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
d2,1,0.819872,0.051852,[ 6 10] ; [4 8],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
p4,1,0.907008,0.013645,[11  5] ; [8 4],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
a7,1,0.912219,0.012153,[9 7] ; [7 5],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
v4,1,0.921775,0.009643,[11  4] ; [9 3],[11.11111111  3.88888889] ; [8.88888889 3.11111111],0
s2,1,0.93021,0.00767,[9 6] ; [7 5],[8.88888889 6.11111111] ; [7.11111111 4.88888889],0
r2,1,0.946434,0.004514,[11  5] ; [7 3],[11.07692308  4.92307692] ; [6.92307692 3.07692308],0
