Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.008891,6.844662,[ 2 14] ; [41 45],[6.74509804 9.25490196] ; [36.25490196 49.74509804],0
s5,1,0.021161,5.313477,[10  6] ; [27 57],[ 5.92 10.08] ; [31.08 52.92],0
b3,1,0.037087,4.346412,[1 7] ; [31 29],[3.76470588 4.23529412] ; [28.23529412 31.76470588],0
b2,1,0.037087,4.346412,[1 7] ; [31 29],[3.76470588 4.23529412] ; [28.23529412 31.76470588],0
n5,1,0.041858,4.140938,[11  5] ; [76 10],[13.64705882  2.35294118] ; [73.35294118 12.64705882],0
s3,1,0.062999,3.456626,[13  3] ; [48 37],[9.66336634 6.33663366] ; [51.33663366 33.66336634],0
d1,1,0.12151,2.397753,[11  5] ; [41 45],[8.15686275 7.84313725] ; [43.84313725 42.15686275],0
s2,1,0.130147,2.290748,[12  4] ; [47 39],[9.25490196 6.74509804] ; [49.74509804 36.25490196],0
b1,1,0.151246,2.059637,[10  6] ; [37 49],[7.37254902 8.62745098] ; [39.62745098 46.37254902],0
d3,1,0.151246,2.059637,[10  6] ; [37 49],[7.37254902 8.62745098] ; [39.62745098 46.37254902],0
p11,1,0.151362,2.058475,[10  6] ; [68 18],[12.23529412  3.76470588] ; [65.76470588 20.23529412],0
n6,1,0.153505,2.037073,[12  4] ; [76 10],[13.80392157  2.19607843] ; [74.19607843 11.80392157],0
s7,1,0.1891,1.724616,[11  3] ; [50 33],[8.80412371 5.19587629] ; [52.19587629 30.80412371],0
v2,1,0.228913,1.447606,[9 7] ; [60 24],[11.04  4.96] ; [57.96 26.04],0
v1,1,0.285838,1.13912,[9 7] ; [58 25],[10.82828283  5.17171717] ; [56.17171717 26.82828283],0
u2,1,0.314065,1.013503,[3 1] ; [8 9],[2.0952381 1.9047619] ; [8.9047619 8.0952381],0
s6,1,0.31773,0.998267,[12  3] ; [57 28],[10.35  4.65] ; [58.65 26.35],0
u1,1,0.331383,0.943487,[ 2 14] ; [ 5 81],[ 1.09803922 14.90196078] ; [ 5.90196078 80.09803922],0
p3,1,0.341816,0.903609,[11  5] ; [47 37],[9.28 6.72] ; [48.72 35.28],0
r4,1,0.343977,0.895552,[15  1] ; [73 13],[13.80392157  2.19607843] ; [74.19607843 11.80392157],0
u3,1,0.431923,0.617647,[2 2] ; [ 5 12],[1.33333333 2.66666667] ; [ 5.66666667 11.33333333],0
d4,1,0.481296,0.495924,[14  2] ; [68 17],[12.99009901  3.00990099] ; [69.00990099 15.99009901],0
p7,1,0.492331,0.471429,[12  3] ; [60 24],[10.90909091  4.09090909] ; [61.09090909 22.90909091],0
a8,1,0.534689,0.385472,[ 1 14] ; [10 72],[ 1.70103093 13.29896907] ; [ 9.29896907 72.70103093],0
p5,1,0.544291,0.367645,[ 2 14] ; [16 69],[ 2.85148515 13.14851485] ; [15.14851485 69.85148515],0
d5,1,0.544291,0.367645,[14  2] ; [69 16],[13.14851485  2.85148515] ; [69.85148515 15.14851485],0
r3,1,0.572312,0.31883,[14  2] ; [79  7],[14.58823529  1.41176471] ; [78.41176471  7.58823529],0
d2,1,0.586078,0.296512,[9 7] ; [42 44],[8. 8.] ; [43. 43.],0
n2,1,0.586214,0.296296,[5 1] ; [13  5],[4.5 1.5] ; [13.5  4.5],0
p6,1,0.602008,0.271978,[ 5 10] ; [34 50],[5.90909091 9.09090909] ; [33.09090909 50.90909091],0
a4,1,0.621062,0.244378,[7 9] ; [32 54],[6.11764706 9.88235294] ; [32.88235294 53.11764706],0
n1,1,0.632585,0.228571,[2 4] ; [ 8 10],[2.5 3.5] ; [ 7.5 10.5],0
a3,1,0.634571,0.225914,[12  4] ; [69 17],[12.70588235  3.29411765] ; [68.29411765 17.70588235],0
r2,1,0.665955,0.18637,[15  1] ; [75  8],[14.54545455  1.45454545] ; [75.45454545  7.54545455],0
