Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,47.73872,[103   7] ; [ 5 12],[93.54330709 16.45669291] ; [14.45669291  2.54330709],1
d1,1,0.0,26.482619,[78 32] ; [ 1 16],[68.42519685 41.57480315] ; [10.57480315  6.42519685],1
d2,1,0.002059,9.496527,[57 53] ; [ 2 15],[51.1023622 58.8976378] ; [7.8976378 9.1023622],0
d3,1,0.002228,9.351398,[89 21] ; [8 9],[84.01574803 25.98425197] ; [12.98425197  4.01574803],0
a4,1,0.003547,8.502218,[47 63] ; [ 1 16],[41.57480315 68.42519685] ; [ 6.42519685 10.57480315],0
a3,1,0.020273,5.388205,[82 28] ; [8 9],[77.95275591 32.04724409] ; [12.04724409  4.95275591],0
u3,1,0.044449,4.039416,[17 11] ; [2 7],[14.37837838 13.62162162] ; [4.62162162 4.37837838],0
a5,1,0.080514,3.054498,[81 29] ; [9 8],[77.95275591 32.04724409] ; [12.04724409  4.95275591],0
a7,1,0.102962,2.659051,[85 25] ; [10  7],[82.28346457 27.71653543] ; [12.71653543  4.28346457],0
p1,1,0.11127,2.536085,[  7 102] ; [ 3 14],[  8.65079365 100.34920635] ; [ 1.34920635 15.65079365],0
r3,1,0.125318,2.349568,[109   1] ; [16  1],[108.26771654   1.73228346] ; [16.73228346  0.26771654],0
a2,1,0.159514,1.978831,[22 88] ; [ 1 16],[19.92125984 90.07874016] ; [ 3.07874016 13.92125984],0
b4,1,0.166399,1.91509,[71 39] ; [8 9],[68.42519685 41.57480315] ; [10.57480315  6.42519685],0
p3,1,0.197562,1.660303,[43 65] ; [ 4 13],[40.608 67.392] ; [ 6.392 10.608],0
b3,1,0.201315,1.632806,[21 39] ; [1 7],[19.41176471 40.58823529] ; [2.58823529 5.41176471],0
b2,1,0.201315,1.632806,[21 39] ; [1 7],[19.41176471 40.58823529] ; [2.58823529 5.41176471],0
u2,1,0.213796,1.54553,[16 12] ; [3 6],[14.37837838 13.62162162] ; [4.62162162 4.37837838],0
p8,1,0.286657,1.135258,[42 65] ; [9 8],[44.00806452 62.99193548] ; [ 6.99193548 10.00806452],0
p12,1,0.330918,0.945303,[  6 102] ; [ 2 15],[  6.912 101.088] ; [ 1.088 15.912],0
p2,1,0.351083,0.869538,[78 31] ; [14  3],[79.58730159 29.41269841] ; [12.41269841  4.58730159],0
p10,1,0.360007,0.837867,[69 38] ; [9 8],[67.30645161 39.69354839] ; [10.69354839  6.30645161],0
p11,1,0.368923,0.807288,[72 38] ; [13  4],[73.62204724 36.37795276] ; [11.37795276  5.62204724],0
n6,1,0.393927,0.726787,[72 37] ; [13  4],[73.53174603 35.46825397] ; [11.46825397  5.53174603],0
a6,1,0.447353,0.577351,[74 36] ; [13  4],[75.35433071 34.64566929] ; [11.64566929  5.35433071],0
p9,1,0.540328,0.374931,[77 30] ; [11  6],[75.93548387 31.06451613] ; [12.06451613  4.93548387],0
p7,1,0.544624,0.367036,[55 53] ; [10  7],[56.16 51.84] ; [8.84 8.16],0
s7,1,0.555614,0.347355,[39 67] ; [ 5 12],[37.91869919 68.08130081] ; [ 6.08130081 10.91869919],0
s5,1,0.565332,0.330556,[31 71] ; [ 4 13],[30. 72.] ; [ 5. 12.],0
s2,1,0.610678,0.259189,[46 64] ; [ 6 11],[45.03937008 64.96062992] ; [ 6.96062992 10.03937008],0
p4,1,0.675825,0.174864,[45 63] ; [8 9],[45.792 62.208] ; [7.208 9.792],0
s8,1,0.67721,0.173283,[38 72] ; [ 5 12],[37.24409449 72.75590551] ; [ 5.75590551 11.24409449],0
v1,1,0.717318,0.131077,[52 55] ; [7 9],[51.32520325 55.67479675] ; [7.67479675 8.32520325],0
n3,1,0.752172,0.099715,[22  8] ; [4 1],[22.28571429  7.71428571] ; [3.71428571 1.28571429],0
n1,1,0.780826,0.077419,[ 8 23] ; [1 4],[ 7.75 23.25] ; [1.25 3.75],0
n4,1,0.794575,0.067795,[49 61] ; [ 7 10],[48.50393701 61.49606299] ; [7.49606299 9.50393701],0
s6,1,0.800799,0.063662,[60 48] ; [10  7],[60.48 47.52] ; [9.52 7.48],0
b5,1,0.813386,0.055725,[68 42] ; [10  7],[67.55905512 42.44094488] ; [10.44094488  6.55905512],0
p5,1,0.815579,0.054398,[  5 104] ; [ 1 16],[  5.19047619 103.80952381] ; [ 0.80952381 16.19047619],0
r4,1,0.817337,0.053348,[93 17] ; [14  3],[92.67716535 17.32283465] ; [14.32283465  2.67716535],0
r1,1,0.82045,0.051514,[86 23] ; [13  4],[85.64285714 23.35714286] ; [13.35714286  3.64285714],0
p6,1,0.830857,0.045626,[28 76] ; [ 5 12],[28.36363636 75.63636364] ; [ 4.63636364 12.36363636],0
b1,1,0.875048,0.024727,[41 69] ; [ 6 11],[40.70866142 69.29133858] ; [ 6.29133858 10.70866142],0
s4,1,0.887458,0.020028,[21 89] ; [ 3 14],[20.78740157 89.21259843] ; [ 3.21259843 13.78740157],0
s3,1,0.933404,0.006983,[52 56] ; [8 9],[51.84 56.16] ; [8.16 8.84],0
v3,1,0.950832,0.003802,[42 62] ; [ 7 10],[42.11570248 61.88429752] ; [ 6.88429752 10.11570248],0
r2,1,0.963616,0.002081,[101   6] ; [16  1],[100.95967742   6.04032258] ; [16.04032258  0.95967742],0
a8,1,0.977253,0.000813,[ 6 93] ; [ 1 16],[ 5.97413793 93.02586207] ; [ 1.02586207 15.97413793],0
