Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.928048,[ 7 26] ; [52 16],[19.27722772 13.72277228] ; [39.72277228 28.27722772],1
n6,1,0.001165,10.544593,[17 16] ; [56 12],[23.85148515  9.14851485] ; [49.14851485 18.85148515],0
n2,1,0.002231,9.349135,[5 8] ; [17  2],[8.9375 4.0625] ; [13.0625  5.9375],0
p6,1,0.004099,8.239647,[ 6 25] ; [33 33],[12.46391753 18.53608247] ; [26.53608247 39.46391753],0
n3,1,0.007432,7.165562,[6 7] ; [17  2],[9.34375 3.65625] ; [13.65625  5.34375],0
b1,1,0.02495,5.027339,[11 23] ; [38 30],[16.33333333 17.66666667] ; [32.66666667 35.33333333],0
p7,1,0.031232,4.640152,[11 21] ; [38 28],[16. 16.] ; [33. 33.],0
p10,1,0.033712,4.509261,[14 17] ; [46 22],[18.78787879 12.21212121] ; [41.21212121 26.78787879],0
p2,1,0.04186,4.140839,[17 16] ; [49 19],[21.56435644 11.43564356] ; [44.43564356 23.56435644],0
s8,1,0.056678,3.632019,[10 24] ; [33 34],[14.47524752 19.52475248] ; [28.52475248 38.47524752],0
s7,1,0.056921,3.624901,[12 20] ; [35 25],[16.34782609 15.65217391] ; [30.65217391 29.34782609],0
s2,1,0.075317,3.163158,[15 19] ; [42 25],[19.18811881 14.81188119] ; [37.81188119 29.18811881],0
p3,1,0.13514,2.232445,[10 22] ; [32 36],[13.44 18.56] ; [28.56 39.44],0
n1,1,0.163309,1.94332,[ 3 10] ; [ 9 10],[4.875 8.125] ; [ 7.125 11.875],0
s6,1,0.164122,1.935826,[21 12] ; [50 15],[23.90816327  9.09183673] ; [47.09183673 17.90816327],0
a3,1,0.166686,1.9125,[21 13] ; [51 17],[24. 10.] ; [48. 20.],0
d3,1,0.166686,1.9125,[21 13] ; [51 17],[24. 10.] ; [48. 20.],0
p9,1,0.168129,1.899545,[17 14] ; [47 21],[20.04040404 10.95959596] ; [43.95959596 24.04040404],0
d2,1,0.204418,1.610526,[16 18] ; [41 27],[19. 15.] ; [38. 30.],0
r3,1,0.20487,1.607314,[32  1] ; [61  7],[30.38613861  2.61386139] ; [62.61386139  5.38613861],0
a4,1,0.207578,1.588235,[14 20] ; [37 31],[17. 17.] ; [34. 34.],0
v1,1,0.260315,1.267081,[16 18] ; [40 28],[18.66666667 15.33333333] ; [37.33333333 30.66666667],0
a5,1,0.260768,1.264676,[23 11] ; [53 15],[25.33333333  8.66666667] ; [50.66666667 17.33333333],0
s5,1,0.291799,1.111304,[10 23] ; [26 37],[12.375 20.625] ; [23.625 39.375],0
r1,1,0.29884,1.079365,[25  9] ; [56 12],[27.  7.] ; [54. 14.],0
v3,1,0.311561,1.024047,[13 19] ; [34 32],[15.34693878 16.65306122] ; [31.65306122 34.34693878],0
p1,1,0.350798,0.870567,[ 3 30] ; [ 3 65],[ 1.96039604 31.03960396] ; [ 4.03960396 63.96039604],0
p4,1,0.393551,0.727941,[15 18] ; [36 30],[17. 16.] ; [34. 32.],0
r4,1,0.45237,0.564706,[27  7] ; [58 10],[28.33333333  5.66666667] ; [56.66666667 11.33333333],0
r2,1,0.507234,0.439769,[33  1] ; [63  4],[32.31683168  1.68316832] ; [63.68316832  3.31683168],0
s3,1,0.526044,0.402027,[16 18] ; [36 31],[17.5049505 16.4950495] ; [34.4950495 32.5049505],0
s4,1,0.527806,0.398614,[ 9 25] ; [14 53],[ 7.74257426 26.25742574] ; [15.25742574 51.74257426],0
a2,1,0.542601,0.370741,[ 9 25] ; [22 46],[10.33333333 23.66666667] ; [20.66666667 47.33333333],0
b5,1,0.562423,0.335526,[20 14] ; [44 24],[21.33333333 12.66666667] ; [42.66666667 25.33333333],0
p12,1,0.581465,0.303872,[ 1 31] ; [ 1 67],[ 0.64 31.36] ; [ 1.36 66.64],0
u1,1,0.603438,0.269841,[ 6 28] ; [15 53],[ 7. 27.] ; [14. 54.],0
d5,1,0.684066,0.165584,[30  4] ; [58 10],[29.33333333  4.66666667] ; [58.66666667  9.33333333],0
d4,1,0.700208,0.148256,[28  6] ; [58 10],[28.66666667  5.33333333] ; [57.33333333 10.66666667],0
a1,1,0.718326,0.130102,[ 1 33] ; [ 3 65],[ 1.33333333 32.66666667] ; [ 2.66666667 65.33333333],0
s1,1,0.720129,0.128369,[ 2 31] ; [ 3 65],[ 1.63366337 31.36633663] ; [ 3.36633663 64.63366337],0
a6,1,0.770864,0.084823,[21 13] ; [44 24],[21.66666667 12.33333333] ; [43.33333333 24.66666667],0
d1,1,0.77426,0.082258,[20 14] ; [42 26],[20.66666667 13.33333333] ; [41.33333333 26.66666667],0
b3,1,0.790864,0.070325,[ 4 10] ; [12 25],[4.39215686 9.60784314] ; [11.60784314 25.39215686],0
b2,1,0.790864,0.070325,[ 4 10] ; [12 25],[4.39215686 9.60784314] ; [11.60784314 25.39215686],0
u2,1,0.836687,0.042491,[6 7] ; [8 8],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
a7,1,0.876654,0.024091,[24 10] ; [49 19],[24.33333333  9.66666667] ; [48.66666667 19.33333333],0
p8,1,0.879229,0.023088,[11 21] ; [22 45],[10.66666667 21.33333333] ; [22.33333333 44.66666667],0
b4,1,0.887581,0.019984,[19 15] ; [39 29],[19.33333333 14.66666667] ; [38.66666667 29.33333333],0
u3,1,0.960732,0.002424,[7 6] ; [9 8],[6.93333333 6.06666667] ; [9.06666667 7.93333333],0
v4,1,1.0,0.0,[31  3] ; [62  6],[31.  3.] ; [62.  6.],0
