Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000628,11.691228,[12 22] ; [26  8],[19. 15.] ; [19. 15.],1
p7,1,0.001273,10.38121,[ 7 27] ; [20 14],[13.5 20.5] ; [13.5 20.5],0
r3,1,0.001404,10.2,[18 16] ; [30  4],[24. 10.] ; [24. 10.],0
v4,1,0.00307,8.765625,[17 17] ; [27  5],[22.66666667 11.33333333] ; [21.33333333 10.66666667],0
b3,1,0.005412,7.73649,[11 12] ; [ 2 19],[ 6.79545455 16.20454545] ; [ 6.20454545 14.79545455],0
b2,1,0.005412,7.73649,[11 12] ; [ 2 19],[ 6.79545455 16.20454545] ; [ 6.20454545 14.79545455],0
p3,1,0.00731,7.195294,[ 4 29] ; [14 20],[ 8.86567164 24.13432836] ; [ 9.13432836 24.86567164],0
p11,1,0.011162,6.439394,[ 7 27] ; [17 17],[12. 22.] ; [12. 22.],0
s4,1,0.021152,5.314195,[ 2 32] ; [ 9 25],[ 5.5 28.5] ; [ 5.5 28.5],0
r1,1,0.072774,3.219324,[19 15] ; [26  8],[22.5 11.5] ; [22.5 11.5],0
b5,1,0.086087,2.946065,[11 23] ; [18 16],[14.5 19.5] ; [14.5 19.5],0
n1,1,0.087648,2.917053,[ 8 10] ; [ 2 11],[ 5.80645161 12.19354839] ; [4.19354839 8.80645161],0
s1,1,0.09427,2.799906,[ 5 29] ; [ 1 32],[ 3.04477612 30.95522388] ; [ 2.95522388 30.04477612],0
p6,1,0.098648,2.727273,[ 3 30] ; [ 8 25],[ 5.5 27.5] ; [ 5.5 27.5],0
v1,1,0.110294,2.55,[ 7 27] ; [13 21],[10. 24.] ; [10. 24.],0
p4,1,0.110294,2.55,[ 7 27] ; [13 21],[10. 24.] ; [10. 24.],0
p8,1,0.114148,2.495835,[ 6 27] ; [12 22],[ 8.86567164 24.13432836] ; [ 9.13432836 24.86567164],0
d5,1,0.119874,2.418972,[20 14] ; [26  8],[23. 11.] ; [23. 11.],0
b4,1,0.139296,2.185714,[17 17] ; [23 11],[20. 14.] ; [20. 14.],0
s6,1,0.189386,1.722391,[ 8 26] ; [13 21],[10.5 23.5] ; [10.5 23.5],0
u3,1,0.197631,1.659799,[6 8] ; [10  5],[7.72413793 6.27586207] ; [8.27586207 6.72413793],0
p10,1,0.203225,1.619048,[ 4 30] ; [ 8 26],[ 6. 28.] ; [ 6. 28.],0
n2,1,0.207656,1.587696,[ 8 11] ; [9 5],[9.78787879 9.21212121] ; [7.21212121 6.78787879],0
a6,1,0.215262,1.535682,[18 16] ; [23 11],[20.5 13.5] ; [20.5 13.5],0
s5,1,0.261421,1.261218,[ 3 31] ; [ 6 27],[ 4.56716418 29.43283582] ; [ 4.43283582 28.56716418],0
s8,1,0.283018,1.152542,[ 3 31] ; [ 6 28],[ 4.5 29.5] ; [ 4.5 29.5],0
n5,1,0.310088,1.030303,[14 20] ; [10 24],[12. 22.] ; [12. 22.],0
b1,1,0.324324,0.971429,[18 16] ; [22 12],[20. 14.] ; [20. 14.],0
a5,1,0.324324,0.971429,[22 12] ; [18 16],[20. 14.] ; [20. 14.],0
n3,1,0.337482,0.919974,[8 9] ; [9 5],[9.32258065 7.67741935] ; [7.67741935 6.32258065],0
d4,1,0.339439,0.912551,[21 13] ; [24  9],[22.8358209 11.1641791] ; [22.1641791 10.8358209],0
a8,1,0.348255,0.879806,[ 3 31] ; [ 1 30],[ 2.09230769 31.90769231] ; [ 1.90769231 29.09230769],0
n4,1,0.466661,0.52987,[16 18] ; [19 15],[17.5 16.5] ; [17.5 16.5],0
r2,1,0.52114,0.411637,[24  9] ; [27  7],[25.11940299  7.88059701] ; [25.88059701  8.11940299],0
s3,1,0.534095,0.386594,[14 19] ; [17 17],[15.26865672 17.73134328] ; [15.73134328 18.26865672],0
d1,1,0.617721,0.249084,[12 22] ; [14 20],[13. 21.] ; [13. 21.],0
a4,1,0.617721,0.249084,[14 20] ; [12 22],[13. 21.] ; [13. 21.],0
a7,1,0.627029,0.236111,[17 17] ; [19 15],[18. 16.] ; [18. 16.],0
d3,1,0.627029,0.236111,[17 17] ; [19 15],[18. 16.] ; [18. 16.],0
s7,1,0.648224,0.208147,[ 5 26] ; [ 6 23],[ 5.68333333 25.31666667] ; [ 5.31666667 23.68333333],0
p1,1,0.667013,0.185116,[ 3 31] ; [ 2 31],[ 2.53731343 31.46268657] ; [ 2.46268657 30.53731343],0
a3,1,0.695112,0.153607,[20 13] ; [19 15],[19.20895522 13.79104478] ; [19.79104478 14.20895522],0
v2,1,0.796153,0.066734,[11 22] ; [12 21],[11.5 21.5] ; [11.5 21.5],0
d2,1,0.808284,0.058874,[17 17] ; [16 18],[16.5 17.5] ; [16.5 17.5],0
u2,1,0.875948,0.02437,[8 6] ; [9 6],[8.20689655 5.79310345] ; [8.79310345 6.20689655],0
v3,1,0.948179,0.004224,[ 7 26] ; [ 7 25],[ 7.10769231 25.89230769] ; [ 6.89230769 25.10769231],0
s2,1,1.0,0.0,[ 9 25] ; [ 9 25],[ 9. 25.] ; [ 9. 25.],0
a2,1,1.0,0.0,[ 5 29] ; [ 5 29],[ 5. 29.] ; [ 5. 29.],0
