Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.7e-05,17.599709,[107 301] ; [20 13],[117.49659864 290.50340136] ; [ 9.50340136 23.49659864],1
p1,1,0.000879,11.065719,[ 23 397] ; [ 7 28],[ 27.69230769 392.30769231] ; [ 2.30769231 32.69230769],1
p4,1,0.002022,9.529241,[197 221] ; [26  9],[205.77041943 212.22958057] ; [17.22958057 17.77041943],0
v1,1,0.00399,8.288229,[190 217] ; [24  9],[197.95 209.05] ; [16.05 16.95],0
r2,1,0.012841,6.190875,[389  25] ; [29  6],[385.41648107  28.58351893] ; [32.58351893  2.41648107],0
d2,1,0.019031,5.49866,[178 242] ; [22 13],[184.61538462 235.38461538] ; [15.38461538 19.61538462],0
d1,1,0.019832,5.426629,[227 194] ; [26  9],[233.58114035 187.41885965] ; [19.41885965 15.58114035],0
p12,1,0.02441,5.065269,[ 22 399] ; [ 5 29],[ 24.98241758 396.01758242] ; [ 2.01758242 31.98241758],0
p3,1,0.024539,5.056157,[170 250] ; [21 14],[176.30769231 243.69230769] ; [14.69230769 20.30769231],0
b3,1,0.043621,4.071162,[ 75 160] ; [13 12],[ 79.53846154 155.46153846] ; [ 8.46153846 16.53846154],0
b2,1,0.043621,4.071162,[ 75 160] ; [13 12],[ 79.53846154 155.46153846] ; [ 8.46153846 16.53846154],0
b5,1,0.085465,2.957775,[255 166] ; [16 19],[250.1995614 170.8004386] ; [20.8004386 14.1995614],0
r3,1,0.090946,2.857549,[399  20] ; [31  4],[396.85022026  22.14977974] ; [33.14977974  1.85022026],0
d4,1,0.094214,2.800862,[336  85] ; [32  3],[339.75438596  81.24561404] ; [28.24561404  6.75438596],0
p8,1,0.102794,2.661645,[190 226] ; [21 14],[194.62527716 221.37472284] ; [16.37472284 18.62527716],0
v3,1,0.10353,2.650305,[151 255] ; [17 16],[155.37129841 250.62870159] ; [12.62870159 20.37129841],0
s7,1,0.128682,2.308328,[171 232] ; [19 15],[175.2173913 227.7826087] ; [14.7826087 19.2173913],0
