Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.2e-05,18.010085,[34 34] ; [11 58],[22.33576642 45.66423358] ; [22.66423358 46.33576642],1
s6,1,0.000865,11.096763,[38 27] ; [21 49],[28.40740741 36.59259259] ; [30.59259259 39.40740741],1
a7,1,0.002071,9.485757,[45 23] ; [28 42],[35.97101449 32.02898551] ; [37.02898551 32.97101449],0
v3,1,0.017013,5.695083,[20 48] ; [ 9 61],[14.28985507 53.71014493] ; [14.71014493 55.28985507],0
d2,1,0.018211,5.575699,[ 6 61] ; [17 54],[11.16666667 55.83333333] ; [11.83333333 59.16666667],0
s5,1,0.019758,5.433129,[17 46] ; [ 8 63],[11.75373134 51.24626866] ; [13.24626866 57.75373134],0
u2,1,0.023033,5.166025,[20 13] ; [16 30],[15.03797468 17.96202532] ; [20.96202532 25.03797468],0
d5,1,0.027231,4.876079,[39 29] ; [27 43],[32.52173913 35.47826087] ; [33.47826087 36.52173913],0
v1,1,0.045647,3.994563,[28 37] ; [19 52],[22.46323529 42.53676471] ; [24.53676471 46.46323529],0
s2,1,0.048936,3.877534,[29 39] ; [19 52],[23.48201439 44.51798561] ; [24.51798561 46.48201439],0
r3,1,0.054394,3.700565,[57 11] ; [49 21],[52.23188406 15.76811594] ; [53.76811594 16.23188406],0
a3,1,0.065235,3.399036,[34 33] ; [25 46],[28.64492754 38.35507246] ; [30.35507246 40.64492754],0
n2,1,0.079792,3.069141,[17  3] ; [16 10],[14.34782609  5.65217391] ; [18.65217391  7.34782609],0
a1,1,0.099768,2.709241,[ 8 60] ; [ 3 68],[ 5.38129496 62.61870504] ; [ 5.61870504 65.38129496],0
a5,1,0.109736,2.558017,[30 38] ; [22 49],[25.43884892 42.56115108] ; [26.56115108 44.43884892],0
p5,1,0.110205,2.551278,[ 8 60] ; [ 3 66],[ 5.45985401 62.54014599] ; [ 5.54014599 63.45985401],0
s7,1,0.116512,2.463588,[24 42] ; [16 51],[19.84962406 46.15037594] ; [20.15037594 46.84962406],0
n5,1,0.13291,2.258179,[40 27] ; [51 20],[44.18115942 22.81884058] ; [46.81884058 24.18115942],0
p11,1,0.164378,1.933479,[47 21] ; [41 30],[43.05035971 24.94964029] ; [44.94964029 26.05035971],0
r4,1,0.199644,1.644973,[39 29] ; [33 38],[35.22302158 32.77697842] ; [36.77697842 34.22302158],0
v4,1,0.205531,1.602627,[58 10] ; [53 16],[55.09489051 12.90510949] ; [55.90510949 13.09489051],0
p3,1,0.209324,1.576096,[27 41] ; [21 50],[23.48201439 44.51798561] ; [24.51798561 46.48201439],0
v2,1,0.230935,1.435095,[22 46] ; [16 53],[18.86131387 49.13868613] ; [19.13868613 49.86131387],0
p10,1,0.260792,1.264549,[45 21] ; [40 28],[41.86567164 24.13432836] ; [43.13432836 24.86567164],0
p9,1,0.264474,1.245186,[52 15] ; [47 21],[49.13333333 17.86666667] ; [49.86666667 18.13333333],0
u3,1,0.271893,1.207174,[14 19] ; [14 32],[11.69620253 21.30379747] ; [16.30379747 29.69620253],0
b5,1,0.313205,1.017111,[44 24] ; [40 31],[41.09352518 26.90647482] ; [42.90647482 28.09352518],0
