Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.572418,[33 63] ; [226  55],[65.95225464 30.04774536] ; [193.04774536  87.95225464],1
d3,1,0.0,55.87184,[39 57] ; [228  54],[67.80952381 28.19047619] ; [199.19047619  82.80952381],1
a2,1,0.0,28.448605,[ 6 90] ; [ 97 186],[26.08970976 69.91029024] ; [ 76.91029024 206.08970976],1
u1,1,1e-06,23.637441,[ 4 92] ; [ 79 204],[21.0237467 74.9762533] ; [ 61.9762533 221.0237467],1
b5,1,3.6e-05,17.072153,[39 57] ; [183 100],[56.23218997 39.76781003] ; [165.76781003 117.23218997],1
r4,1,0.000798,11.246704,[80 16] ; [267  16],[87.8944591  8.1055409] ; [259.1055409  23.8944591],1
r1,1,0.004399,8.111323,[72 24] ; [247  36],[80.80211082 15.19788918] ; [238.19788918  44.80211082],0
d1,1,0.015595,5.848027,[52 44] ; [192  91],[61.80474934 34.19525066] ; [182.19525066 100.80474934],0
s6,1,0.03143,4.629307,[59 35] ; [206  71],[67.14285714 26.85714286] ; [197.85714286  79.14285714],0
p1,1,0.043466,4.077176,[ 3 93] ; [ 27 255],[ 7.61904762 88.38095238] ; [ 22.38095238 259.61904762],0
r2,1,0.04553,3.998885,[83  9] ; [270  12],[86.8342246  5.1657754] ; [266.1657754  15.8342246],0
p12,1,0.053438,3.730159,[ 5 89] ; [ 35 247],[10. 84.] ; [ 30. 252.],0
a4,1,0.067975,3.331262,[38 58] ; [142 140],[45.71428571 50.28571429] ; [134.28571429 147.71428571],0
b1,1,0.072779,3.219215,[42 54] ; [ 95 188],[34.70184697 61.29815303] ; [102.29815303 180.70184697],0
v4,1,0.080702,3.050715,[88  7] ; [273   9],[90.96816976  4.03183024] ; [270.03183024  11.96816976],0
u3,1,0.085095,2.964799,[ 7 11] ; [43 27],[10.22727273  7.77272727] ; [39.77272727 30.22727273],0
a5,1,0.12561,2.345936,[71 25] ; [230  53],[76.24274406 19.75725594] ; [224.75725594  58.24274406],0
r3,1,0.127928,2.317472,[90  6] ; [273   8],[92.43501326  3.56498674] ; [270.56498674  10.43501326],0
v1,1,0.149002,2.082443,[71 22] ; [191  88],[65.5 27.5] ; [196.5  82.5],0
b4,1,0.149592,2.076407,[51 45] ; [174 109],[56.99208443 39.00791557] ; [168.00791557 114.99208443],0
p7,1,0.159332,1.980557,[72 21] ; [192  83],[66.7173913 26.2826087] ; [197.2826087  77.7173913],0
p4,1,0.192604,1.697589,[59 35] ; [196  84],[64.09090909 29.90909091] ; [190.90909091  89.09090909],0
n2,1,0.202147,1.626794,[15  5] ; [42  6],[16.76470588  3.23529412] ; [40.23529412  7.76470588],0
a8,1,0.228283,1.451529,[12 80] ; [ 45 197],[15.7005988 76.2994012] ; [ 41.2994012 200.7005988],0
s3,1,0.244619,1.353775,[50 46] ; [162 113],[54.85714286 41.14285714] ; [157.14285714 117.85714286],0
a3,1,0.250305,1.321603,[78 18] ; [213  69],[73.9047619 22.0952381] ; [217.0952381  64.9047619],0
s1,1,0.291096,1.114546,[ 3 92] ; [  4 272],[ 1.79245283 93.20754717] ; [  5.20754717 270.79245283],0
n3,1,0.320792,0.985714,[18  3] ; [36 12],[16.43478261  4.56521739] ; [37.56521739 10.43478261],0
p3,1,0.387827,0.745745,[52 43] ; [168 113],[55.58510638 39.41489362] ; [164.41489362 116.58510638],0
u4,1,0.393137,0.729217,[ 4 92] ; [  7 276],[ 2.78627968 93.21372032] ; [  8.21372032 274.78627968],0
n6,1,0.395118,0.723135,[85 11] ; [257  24],[87.08753316  8.91246684] ; [254.91246684  26.08753316],0
s5,1,0.400997,0.705334,[38 54] ; [ 99 173],[34.62637363 57.37362637] ; [102.37362637 169.62637363],0
b2,1,0.438352,0.600593,[29 38] ; [ 67 110],[26.36065574 40.63934426] ; [ 69.63934426 107.36065574],0
b3,1,0.438352,0.600593,[29 38] ; [ 67 110],[26.36065574 40.63934426] ; [ 69.63934426 107.36065574],0
u2,1,0.482674,0.492815,[8 9] ; [39 30],[9.29069767 7.70930233] ; [37.70930233 31.29069767],0
p6,1,0.489181,0.478327,[37 56] ; [122 156],[39.85714286 53.14285714] ; [119.14285714 158.85714286],0
n1,1,0.50233,0.450011,[ 6 13] ; [19 28],[ 7.1969697 11.8030303] ; [17.8030303 29.1969697],0
p11,1,0.503101,0.448389,[79 17] ; [241  42],[81.05540897 14.94459103] ; [238.94459103  44.05540897],0
d4,1,0.554296,0.349676,[80 16] ; [242  40],[81.77777778 14.22222222] ; [240.22222222  41.77777778],0
v3,1,0.5954,0.28199,[60 36] ; [164 112],[57.80645161 38.19354839] ; [166.19354839 109.80645161],0
d2,1,0.711128,0.137153,[53 43] ; [149 132],[51.43766578 44.56233422] ; [150.56233422 130.43766578],0
n4,1,0.732684,0.116661,[87  9] ; [253  30],[86.12137203  9.87862797] ; [253.87862797  29.12137203],0
s4,1,0.780655,0.077543,[12 84] ; [ 38 241],[12.8 83.2] ; [ 37.2 241.8],0
p8,1,0.818112,0.052888,[54 39] ; [164 112],[54.94308943 38.05691057] ; [163.05691057 112.94308943],0
p9,1,0.818745,0.052514,[85 10] ; [251  27],[85.57640751  9.42359249] ; [250.42359249  27.57640751],0
s8,1,0.841903,0.039784,[50 46] ; [141 136],[49.15817694 46.84182306] ; [141.84182306 135.15817694],0
p5,1,0.854273,0.033734,[14 82] ; [ 39 243],[13.46031746 82.53968254] ; [ 39.53968254 242.46031746],0
p2,1,0.894243,0.017672,[81 14] ; [242  40],[81.39257294 13.60742706] ; [241.60742706  40.39257294],0
s7,1,0.903431,0.014721,[53 39] ; [154 110],[53.49438202 38.50561798] ; [153.50561798 110.49438202],0
p10,1,0.907414,0.013526,[84 10] ; [249  31],[83.69518717 10.30481283] ; [249.30481283  30.69518717],0
s2,1,0.92033,0.010004,[53 43] ; [154 122],[53.41935484 42.58064516] ; [153.58064516 122.41935484],0
a1,1,0.931349,0.007421,[ 6 90] ; [ 17 266],[ 5.82585752 90.17414248] ; [ 17.17414248 265.82585752],0
d5,1,0.938631,0.005928,[81 15] ; [237  45],[80.76190476 15.23809524] ; [237.23809524  44.76190476],0
