Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,31.245002,[93 63] ; [25 78],[71.07335907 84.92664093] ; [46.92664093 56.07335907],1
v1,1,0.0,30.520329,[124  34] ; [46 56],[103.30769231  54.69230769] ; [66.69230769 35.30769231],1
b4,1,0.011067,6.4545,[103  57] ; [50 53],[93.07984791 66.92015209] ; [59.92015209 43.07984791],0
s4,1,0.018702,5.529147,[ 22 137] ; [25 73],[ 29.07782101 129.92217899] ; [17.92217899 80.07782101],0
a7,1,0.039404,4.243383,[122  37] ; [67 36],[114.69847328  44.30152672] ; [74.30152672 28.69847328],0
p12,1,0.081578,3.033179,[ 26 133] ; [ 9 93],[ 21.32183908 137.67816092] ; [13.67816092 88.32183908],0
p2,1,0.098962,2.722199,[143  17] ; [98  5],[146.61596958  13.38403042] ; [94.38403042  8.61596958],0
n3,1,0.134611,2.238502,[20  6] ; [10  8],[17.72727273  8.27272727] ; [12.27272727  5.72727273],0
s7,1,0.141773,2.158608,[103  47] ; [59 40],[97.59036145 52.40963855] ; [64.40963855 34.59036145],0
b1,1,0.143036,2.144992,[ 60 100] ; [48 55],[65.70342205 94.29657795] ; [42.29657795 60.70342205],0
r2,1,0.14665,2.10675,[150   9] ; [100   2],[152.29885057   6.70114943] ; [97.70114943  4.29885057],0
p3,1,0.147792,2.094891,[111  48] ; [63 40],[105.59541985  53.40458015] ; [68.40458015 34.59541985],0
s1,1,0.163236,1.943992,[  3 156] ; [ 5 96],[  4.89230769 154.10769231] ; [ 3.10769231 97.89230769],0
p1,1,0.165355,1.924561,[ 17 143] ; [17 86],[ 20.68441065 139.31558935] ; [13.31558935 89.68441065],0
a5,1,0.20029,1.640259,[126  34] ; [74 29],[121.6730038  38.3269962] ; [78.3269962 24.6730038],0
v4,1,0.202337,1.625427,[151   8] ; [101   2],[152.93129771   6.06870229] ; [99.06870229  3.93129771],0
u1,1,0.202586,1.623632,[ 42 118] ; [20 83],[ 37.71863118 122.28136882] ; [24.28136882 78.71863118],0
u2,1,0.204669,1.60874,[23 14] ; [14 16],[20.43283582 16.56716418] ; [16.56716418 13.43283582],0
p9,1,0.217148,1.52312,[150   9] ; [93 10],[147.46946565  11.53053435] ; [95.53053435  7.46946565],0
b5,1,0.227128,1.458755,[99 61] ; [56 47],[94.29657795 65.70342205] ; [60.70342205 42.29657795],0
a1,1,0.233599,1.418813,[ 14 146] ; [ 5 98],[ 11.55893536 148.44106464] ; [ 7.44106464 95.55893536],0
p10,1,0.257935,1.279805,[143  16] ; [87 15],[140.11494253  18.88505747] ; [89.88505747 12.11494253],0
s8,1,0.282403,1.155491,[98 60] ; [57 46],[93.83141762 64.16858238] ; [61.16858238 41.83141762],0
u4,1,0.289367,1.122564,[  7 153] ; [  2 101],[  5.47528517 154.52471483] ; [ 3.52471483 99.47528517],0
a3,1,0.291259,1.113794,[123  36] ; [73 29],[119.40229885  39.59770115] ; [76.59770115 25.40229885],0
a6,1,0.353441,0.861064,[107  51] ; [64 39],[103.51724138  54.48275862] ; [67.48275862 35.51724138],0
d4,1,0.371937,0.797182,[136  23] ; [83 19],[133.4137931  25.5862069] ; [85.5862069 16.4137931],0
s3,1,0.388506,0.743612,[97 61] ; [68 34],[100.26923077  57.73076923] ; [64.73076923 37.26923077],0
a4,1,0.390393,0.737717,[76 84] ; [54 48],[79.38931298 80.61068702] ; [50.61068702 51.38931298],0
u3,1,0.438759,0.599525,[22 15] ; [15 15],[20.43283582 16.56716418] ; [16.56716418 13.43283582],0
a8,1,0.460202,0.545403,[ 25 117] ; [13 80],[ 22.96170213 119.03829787] ; [15.03829787 77.96170213],0
n2,1,0.466608,0.529996,[18  8] ; [15  4],[19.06666667  6.93333333] ; [13.93333333  5.06666667],0
d2,1,0.469105,0.524083,[86 73] ; [51 52],[83.14122137 75.85877863] ; [53.85877863 49.14122137],0
s5,1,0.491069,0.474184,[65 86] ; [47 52],[67.648 83.352] ; [44.352 54.648],0
r4,1,0.568265,0.325593,[146  14] ; [96  7],[147.2243346  12.7756654] ; [94.7756654  8.2243346],0
r1,1,0.676707,0.173857,[132  28] ; [87 16],[133.23193916  26.76806084] ; [85.76806084 17.23193916],0
b2,1,0.707037,0.141255,[51 51] ; [32 36],[49.8 52.2] ; [33.2 34.8],0
b3,1,0.707037,0.141255,[51 51] ; [32 36],[49.8 52.2] ; [33.2 34.8],0
d1,1,0.707099,0.141192,[102  58] ; [68 35],[103.42205323  56.57794677] ; [66.57794677 36.42205323],0
p4,1,0.718572,0.129865,[130  29] ; [86 17],[131.08396947  27.91603053] ; [84.91603053 18.08396947],0
a2,1,0.719312,0.129153,[ 42 118] ; [25 78],[ 40.76045627 119.23954373] ; [26.23954373 76.76045627],0
p8,1,0.723949,0.12474,[115  43] ; [77 26],[116.22988506  41.77011494] ; [75.77011494 27.22988506],0
p11,1,0.743302,0.107246,[133  27] ; [84 19],[132.01520913  27.98479087] ; [84.98479087 18.01520913],0
n6,1,0.806721,0.059858,[147  11] ; [95  8],[146.49808429  11.50191571] ; [95.50191571  7.49808429],0
s2,1,0.808006,0.059048,[99 59] ; [63 40],[98.06896552 59.93103448] ; [63.93103448 39.06896552],0
s6,1,0.827436,0.04752,[122  35] ; [75 23],[121.29019608  35.70980392] ; [75.70980392 22.29019608],0
d5,1,0.843929,0.038758,[131  28] ; [85 17],[131.5862069  27.4137931] ; [84.4137931 17.5862069],0
p7,1,0.860147,0.031042,[136  22] ; [87 15],[135.51538462  22.48461538] ; [87.48461538 14.51538462],0
n4,1,0.860901,0.030704,[147  13] ; [94  9],[146.61596958  13.38403042] ; [94.38403042  8.61596958],0
d3,1,0.930671,0.007569,[113  46] ; [73 29],[113.31034483  45.68965517] ; [72.68965517 29.31034483],0
r3,1,0.962578,0.002201,[151   8] ; [97  5],[151.08045977   7.91954023] ; [96.91954023  5.08045977],0
n1,1,0.966861,0.001726,[12 13] ; [ 9 10],[11.93181818 13.06818182] ; [9.06818182 9.93181818],0
p5,1,0.974279,0.00104,[ 36 124] ; [23 80],[ 35.89353612 124.10646388] ; [23.10646388 79.89353612],0
