Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.220671,1.5,[17  8] ; [10 10],[15. 10.] ; [12.  8.],0
p11,1,0.344743,0.892713,[ 9 16] ; [10 10],[10.55555556 14.44444444] ; [ 8.44444444 11.55555556],0
p2,1,0.671373,0.18,[16  9] ; [14  6],[16.66666667  8.33333333] ; [13.33333333  6.66666667],0
p6,1,0.703004,0.145366,[ 6 17] ; [ 4 15],[ 5.47619048 17.52380952] ; [ 4.52380952 14.47619048],0
p7,1,0.885497,0.020737,[17  8] ; [14  6],[17.22222222  7.77777778] ; [13.77777778  6.22222222],0
