Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,42.108894,[130   6] ; [2 5],[125.53846154  10.46153846] ; [6.46153846 0.53846154],1
r4,1,3e-06,21.784945,[123  14] ; [2 5],[118.92361111  18.07638889] ; [6.07638889 0.92361111],1
n2,1,0.002339,9.262523,[34  5] ; [1 3],[31.74418605  7.25581395] ; [3.25581395 0.74418605],0
s3,1,0.005034,7.867171,[103  32] ; [2 5],[99.82394366 35.17605634] ; [5.17605634 1.82394366],0
r3,1,0.012819,6.193862,[129   7] ; [5 2],[127.44055944   8.55944056] ; [6.55944056 0.44055944],0
s1,1,0.012819,6.193862,[  7 129] ; [2 5],[  8.55944056 127.44055944] ; [0.44055944 6.55944056],0
d5,1,0.023633,5.121352,[108  28] ; [3 4],[105.56643357  30.43356643] ; [5.43356643 1.56643357],0
a6,1,0.061911,3.485429,[86 49] ; [2 5],[83.66197183 51.33802817] ; [4.33802817 2.66197183],0
p1,1,0.064339,3.421856,[ 11 126] ; [2 5],[ 12.36805556 124.63194444] ; [0.63194444 6.36805556],0
v2,1,0.105795,2.615944,[78 53] ; [2 5],[75.94202899 55.05797101] ; [4.05797101 2.94202899],0
a4,1,0.107163,2.595561,[62 75] ; [1 6],[59.9375 77.0625] ; [3.0625 3.9375],0
s2,1,0.117443,2.451099,[97 40] ; [3 4],[95.13888889 41.86111111] ; [4.86111111 2.13888889],0
d1,1,0.163502,1.941533,[76 61] ; [2 5],[74.20833333 62.79166667] ; [3.79166667 3.20833333],0
s5,1,0.18259,1.776415,[52 80] ; [1 6],[50.33093525 81.66906475] ; [2.66906475 4.33093525],0
p7,1,0.205517,1.602728,[68 60] ; [2 5],[66.37037037 61.62962963] ; [3.62962963 3.37037037],0
a1,1,0.234543,1.413099,[  6 131] ; [1 6],[  6.65972222 130.34027778] ; [0.34027778 6.65972222],0
d2,1,0.302475,1.063252,[66 70] ; [2 5],[64.67132867 71.32867133] ; [3.32867133 3.67132867],0
p5,1,0.304881,1.052722,[  7 129] ; [1 6],[  7.60839161 128.39160839] ; [0.39160839 6.60839161],0
n1,1,0.316603,1.002928,[20 19] ; [1 3],[19.04651163 19.95348837] ; [1.95348837 2.04651163],0
d3,1,0.359513,0.839592,[82 54] ; [3 4],[80.83916084 55.16083916] ; [4.16083916 2.83916084],0
n6,1,0.391723,0.733586,[110  26] ; [4 2],[109.18309859  26.81690141] ; [4.81690141 1.18309859],0
b1,1,0.394495,0.725041,[56 81] ; [4 3],[57.08333333 79.91666667] ; [2.91666667 4.08333333],0
n5,1,0.42178,0.645351,[97 39] ; [4 3],[96.05594406 39.94405594] ; [4.94405594 2.05594406],0
p9,1,0.447625,0.576659,[110  23] ; [5 2],[109.25  23.75] ; [5.75 1.25],0
n3,1,0.457244,0.552632,[26 12] ; [2 2],[25.33333333 12.66666667] ; [2.66666667 1.33333333],0
p2,1,0.468832,0.524728,[96 41] ; [4 3],[95.13888889 41.86111111] ; [4.86111111 2.13888889],0
b2,1,0.468911,0.52454,[40 52] ; [3 2],[40.78350515 51.21649485] ; [2.21649485 2.78350515],0
b3,1,0.468911,0.52454,[40 52] ; [3 2],[40.78350515 51.21649485] ; [2.21649485 2.78350515],0
r1,1,0.494893,0.46587,[112  25] ; [5 2],[111.3125  25.6875] ; [5.6875 1.3125],0
d4,1,0.50174,0.451254,[111  25] ; [5 2],[110.32167832  25.67832168] ; [5.67832168 1.32167832],0
s4,1,0.520231,0.413435,[ 34 102] ; [1 6],[ 33.28671329 102.71328671] ; [1.71328671 5.28671329],0
s6,1,0.575842,0.313006,[109  27] ; [5 2],[108.41958042  27.58041958] ; [5.58041958 1.41958042],0
a2,1,0.577512,0.310274,[ 32 105] ; [1 6],[ 31.39583333 105.60416667] ; [1.60416667 5.39583333],0
p10,1,0.58335,0.30085,[108  27] ; [5 2],[107.42957746  27.57042254] ; [5.57042254 1.42957746],0
a3,1,0.612928,0.255933,[108  28] ; [5 2],[107.46853147  28.53146853] ; [5.53146853 1.46853147],0
s8,1,0.613223,0.255508,[91 46] ; [4 3],[90.38194444 46.61805556] ; [4.61805556 2.38194444],0
p8,1,0.619953,0.245933,[50 82] ; [2 5],[49.38129496 82.61870504] ; [2.61870504 4.38129496],0
a7,1,0.643016,0.21482,[90 47] ; [4 3],[89.43055556 47.56944444] ; [4.56944444 2.43055556],0
n4,1,0.649939,0.205976,[107  29] ; [5 2],[106.51748252  29.48251748] ; [5.48251748 1.51748252],0
v1,1,0.655918,0.19852,[69 65] ; [3 4],[68.42553191 65.57446809] ; [3.57446809 3.42553191],0
a8,1,0.848276,0.036603,[ 21 102] ; [1 6],[ 20.81538462 102.18461538] ; [1.18461538 5.81538462],0
b4,1,0.871289,0.026251,[74 63] ; [4 3],[74.20833333 62.79166667] ; [3.79166667 3.20833333],0
b5,1,0.917197,0.010809,[81 56] ; [4 3],[80.86805556 56.13194444] ; [4.13194444 2.86805556],0
u2,1,0.922085,0.009566,[15 13] ; [1 1],[14.93333333 13.06666667] ; [1.06666667 0.93333333],0
a5,1,0.927627,0.00825,[100  37] ; [5 2],[99.89583333 37.10416667] ; [5.10416667 1.89583333],0
v3,1,0.955159,0.003162,[58 74] ; [3 4],[57.92805755 74.07194245] ; [3.07194245 3.92805755],0
p11,1,0.961666,0.00231,[99 38] ; [5 2],[98.94444444 38.05555556] ; [5.05555556 1.94444444],0
