Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,36.680736,[131  26] ; [14 25],[116.14795918  40.85204082] ; [28.85204082 10.14795918],1
d3,1,1e-06,23.729833,[117  40] ; [13 26],[104.13265306  52.86734694] ; [25.86734694 13.13265306],1
d2,1,0.000163,14.211649,[67 90] ; [ 4 35],[ 56.87244898 100.12755102] ; [14.12755102 24.87244898],1
p1,1,0.001869,9.673491,[  3 152] ; [ 5 33],[  6.42487047 148.57512953] ; [ 1.57512953 36.42487047],0
a4,1,0.003891,8.334137,[58 99] ; [ 5 34],[ 50.46428571 106.53571429] ; [12.53571429 26.46428571],0
s5,1,0.013856,6.056394,[ 40 110] ; [ 3 35],[ 34.30851064 115.69148936] ; [ 8.69148936 29.30851064],0
a3,1,0.01564,5.842918,[101  55] ; [17 22],[94.4 61.6] ; [23.6 15.4],0
a7,1,0.020358,5.380957,[118  39] ; [22 17],[112.14285714  44.85714286] ; [27.85714286 11.14285714],0
v2,1,0.02683,4.901726,[76 71] ; [12 26],[69.92432432 77.07567568] ; [18.07567568 19.92432432],0
r1,1,0.037486,4.328211,[118  38] ; [23 16],[112.8  43.2] ; [28.2 10.8],0
a5,1,0.054091,3.709877,[99 58] ; [18 21],[93.71938776 63.28061224] ; [23.28061224 15.71938776],0
p8,1,0.082901,3.007084,[ 49 107] ; [18 21],[ 53.6 102.4] ; [13.4 25.6],0
b2,1,0.120069,2.416422,[25 58] ; [ 3 19],[22.13333333 60.86666667] ; [ 5.86666667 16.13333333],0
b3,1,0.120069,2.416422,[25 58] ; [ 3 19],[22.13333333 60.86666667] ; [ 5.86666667 16.13333333],0
b4,1,0.133455,2.251846,[101  56] ; [20 19],[96.92346939 60.07653061] ; [24.07653061 14.92346939],0
u2,1,0.191419,1.706659,[31 23] ; [ 9 13],[28.42105263 25.57894737] ; [11.57894737 10.42105263],0
s1,1,0.202911,1.621295,[  5 152] ; [ 3 36],[  6.40816327 150.59183673] ; [ 1.59183673 37.40816327],0
a2,1,0.207591,1.588145,[ 19 138] ; [ 2 37],[ 16.82142857 140.17857143] ; [ 4.17857143 34.82142857],0
v3,1,0.218792,1.512277,[ 42 103] ; [ 7 30],[ 39.03846154 105.96153846] ; [ 9.96153846 27.03846154],0
n2,1,0.33038,0.947407,[25 19] ; [10  4],[26.55172414 17.44827586] ; [8.44827586 5.55172414],0
v4,1,0.374967,0.787136,[135  21] ; [34  3],[136.60103627  19.39896373] ; [32.39896373  4.60103627],0
p9,1,0.38402,0.757793,[104  49] ; [23 15],[101.73298429  51.26701571] ; [25.26701571 12.73298429],0
r4,1,0.435565,0.607939,[122  35] ; [28 11],[120.15306122  36.84693878] ; [29.84693878  9.15306122],0
s6,1,0.469303,0.523617,[80 76] ; [17 21],[78. 78.] ; [19. 19.],0
s3,1,0.470455,0.520908,[71 83] ; [20 18],[72.98958333 81.01041667] ; [18.01041667 19.98958333],0
p7,1,0.477846,0.503776,[64 92] ; [18 20],[65.93814433 90.06185567] ; [16.06185567 21.93814433],0
s8,1,0.502923,0.448762,[ 40 117] ; [12 27],[ 41.65306122 115.34693878] ; [10.34693878 28.65306122],0
p2,1,0.540436,0.374733,[107  49] ; [28 10],[108.55670103  47.44329897] ; [26.44329897 11.55670103],0
r3,1,0.546428,0.363755,[142  15] ; [34  5],[140.97959184  16.02040816] ; [35.02040816  3.97959184],0
s2,1,0.596644,0.280088,[61 96] ; [13 25],[59.57948718 97.42051282] ; [14.42051282 23.57948718],0
n6,1,0.633059,0.227936,[90 67] ; [24 15],[91.31632653 65.68367347] ; [22.68367347 16.31632653],0
n3,1,0.648372,0.207959,[31 13] ; [10  3],[31.64912281 12.35087719] ; [9.35087719 3.64912281],0
p3,1,0.650821,0.204867,[ 46 111] ; [10 29],[ 44.85714286 112.14285714] ; [11.14285714 27.85714286],0
u3,1,0.65945,0.194193,[30 24] ; [11 11],[29.13157895 24.86842105] ; [11.86842105 10.13157895],0
p10,1,0.664575,0.188013,[94 61] ; [21 16],[92.83854167 62.16145833] ; [22.16145833 14.83854167],0
n4,1,0.674694,0.17616,[58 99] ; [13 26],[ 56.87244898 100.12755102] ; [14.12755102 24.87244898],0
v1,1,0.683015,0.166751,[53 98] ; [12 26],[51.93121693 99.06878307] ; [13.06878307 24.93121693],0
b5,1,0.738149,0.111761,[92 65] ; [24 15],[92.91836735 64.08163265] ; [23.08163265 15.91836735],0
a6,1,0.748437,0.102849,[93 64] ; [22 17],[92.11734694 64.88265306] ; [22.88265306 16.11734694],0
a8,1,0.765087,0.089286,[ 10 134] ; [ 2 34],[  9.6 134.4] ; [ 2.4 33.6],0
n1,1,0.816807,0.053663,[11 34] ; [ 3 11],[10.6779661 34.3220339] ; [ 3.3220339 10.6779661],0
s4,1,0.835733,0.042996,[ 26 131] ; [ 7 32],[ 26.43367347 130.56632653] ; [ 6.56632653 32.43367347],0
s7,1,0.846393,0.037528,[ 41 106] ; [10 28],[ 40.52432432 106.47567568] ; [10.47567568 27.52432432],0
p4,1,0.859956,0.031128,[ 54 103] ; [14 25],[ 54.46938776 102.53061224] ; [13.53061224 25.46938776],0
b1,1,0.919315,0.010261,[ 55 102] ; [14 25],[ 55.27040816 101.72959184] ; [13.72959184 25.27040816],0
r2,1,0.934943,0.006663,[135  19] ; [34  5],[134.84974093  19.15025907] ; [34.15025907  4.84974093],0
p11,1,0.977525,0.000794,[97 60] ; [24 15],[96.92346939 60.07653061] ; [24.07653061 14.92346939],0
