Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000651,11.625442,[80  5] ; [97 30],[70.96698113 14.03301887] ; [106.03301887  20.96698113],1
s4,1,0.001171,10.535084,[29 54] ; [ 20 108],[19.27488152 63.72511848] ; [29.72511848 98.27488152],0
d4,1,0.0082,6.989258,[77  8] ; [97 30],[69.76415094 15.23584906] ; [104.23584906  22.76415094],0
s7,1,0.01933,5.471456,[58 22] ; [68 53],[50.14925373 29.85074627] ; [75.85074627 45.14925373],0
v4,1,0.033485,4.520827,[83  1] ; [118  10],[79.64150943  4.35849057] ; [121.35849057   6.64150943],0
r2,1,0.034925,4.448831,[82  1] ; [118  10],[78.67298578  4.32701422] ; [121.32701422   6.67298578],0
a2,1,0.039354,4.245509,[31 54] ; [30 98],[24.342723 60.657277] ; [36.657277 91.342723],0
n2,1,0.039666,4.232119,[23  3] ; [25 13],[19.5  6.5] ; [28.5  9.5],0
a5,1,0.040735,4.187005,[68 17] ; [86 42],[61.45539906 23.54460094] ; [92.54460094 35.45539906],0
p5,1,0.043833,4.062968,[ 6 79] ; [  2 122],[ 3.25358852 81.74641148] ; [  4.74641148 119.25358852],0
a3,1,0.05721,3.616464,[69 16] ; [89 39],[63.05164319 21.94835681] ; [94.94835681 33.05164319],0
p6,1,0.092724,2.826441,[28 56] ; [29 98],[22.69194313 61.30805687] ; [34.30805687 92.69194313],0
d3,1,0.096099,2.769119,[62 23] ; [78 48],[56.39810427 28.60189573] ; [83.60189573 42.39810427],0
d5,1,0.121879,2.39301,[75 10] ; [101  25],[70.90047393 14.09952607] ; [105.09952607  20.90047393],0
p11,1,0.158372,1.989702,[54 31] ; [93 35],[58.66197183 26.33802817] ; [88.33802817 39.66197183],0
b5,1,0.175112,1.838626,[62 23] ; [82 46],[57.46478873 27.53521127] ; [86.53521127 41.46478873],0
u3,1,0.191175,1.708539,[13  3] ; [24 14],[10.96296296  5.03703704] ; [26.03703704 11.96296296],0
r4,1,0.195685,1.674293,[78  7] ; [110  18],[75.02347418  9.97652582] ; [112.97652582  15.02347418],0
s3,1,0.199376,1.646942,[76  8] ; [108  20],[72.90566038 11.09433962] ; [111.09433962  16.90566038],0
p2,1,0.206842,1.593393,[67 18] ; [91 37],[63.05164319 21.94835681] ; [94.94835681 33.05164319],0
s8,1,0.24881,1.329973,[50 35] ; [65 63],[45.89201878 39.10798122] ; [69.10798122 58.89201878],0
a4,1,0.25136,1.315728,[46 39] ; [59 69],[41.90140845 43.09859155] ; [63.09859155 64.90140845],0
b4,1,0.262681,1.25457,[55 30] ; [73 55],[51.07981221 33.92018779] ; [76.92018779 51.07981221],0
n6,1,0.268344,1.225191,[71 12] ; [101  26],[67.98095238 15.01904762] ; [104.01904762  22.98095238],0
v3,1,0.271565,1.208823,[26 56] ; [46 71],[29.66834171 52.33165829] ; [42.33165829 74.66834171],0
a1,1,0.27772,1.178212,[ 3 82] ; [  9 119],[ 4.78873239 80.21126761] ; [  7.21126761 120.78873239],0
p1,1,0.289511,1.121894,[ 7 78] ; [  6 122],[ 5.18779343 79.81220657] ; [  7.81220657 120.18779343],0
p4,1,0.2995,1.07642,[48 37] ; [63 65],[44.29577465 40.70422535] ; [66.70422535 61.29577465],0
p9,1,0.350197,0.872742,[72 11] ; [104  23],[69.56190476 13.43809524] ; [106.43809524  20.56190476],0
a8,1,0.398436,0.71304,[ 8 67] ; [ 18 103],[ 9.94897959 65.05102041] ; [ 16.05102041 104.94897959],0
b1,1,0.408898,0.682003,[33 52] ; [57 71],[35.91549296 49.08450704] ; [54.08450704 73.91549296],0
p3,1,0.408971,0.681789,[36 49] ; [47 81],[33.12206573 51.87793427] ; [49.87793427 78.12206573],0
p12,1,0.424926,0.636653,[ 7 78] ; [  7 121],[ 5.58685446 79.41314554] ; [  8.41314554 119.58685446],0
d1,1,0.43907,0.598712,[53 32] ; [73 55],[50.28169014 34.71830986] ; [75.71830986 52.28169014],0
