Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,66.475006,[143   9] ; [12 21],[127.35135135  24.64864865] ; [27.64864865  5.35135135],1
n6,1,1e-06,24.194309,[144   8] ; [21 11],[136.30434783  15.69565217] ; [28.69565217  3.30434783],1
p11,1,0.000842,11.145439,[128  25] ; [19 14],[120.91935484  32.08064516] ; [26.08064516  6.91935484],1
v4,1,0.001428,10.168786,[151   2] ; [29  4],[148.06451613   4.93548387] ; [31.93548387  1.06451613],0
p9,1,0.001801,9.742469,[144   8] ; [25  7],[139.60869565  12.39130435] ; [29.39130435  2.60869565],0
s4,1,0.00367,8.440125,[ 39 112] ; [17 16],[ 45.95652174 105.04347826] ; [10.04347826 22.95652174],0
r1,1,0.004806,7.951161,[135  17] ; [23 10],[129.81621622  22.18378378] ; [28.18378378  4.81621622],0
n2,1,0.00729,7.2,[33  3] ; [7 5],[30.  6.] ; [10.  2.],0
s2,1,0.007314,7.194133,[134  18] ; [23 10],[128.99459459  23.00540541] ; [28.00540541  4.99459459],0
p2,1,0.010214,6.597161,[137  16] ; [24  9],[132.43548387  20.56451613] ; [28.56451613  4.43548387],0
p5,1,0.01233,6.262846,[ 40 113] ; [ 2 31],[ 34.5483871 118.4516129] ; [ 7.4516129 25.5483871],0
v3,1,0.017818,5.613908,[82 69] ; [10 22],[75.91256831 75.08743169] ; [16.08743169 15.91256831],0
a5,1,0.018653,5.53373,[129  24] ; [22 11],[124.20967742  28.79032258] ; [26.79032258  6.20967742],0
b4,1,0.019316,5.472698,[87 66] ; [26  7],[92.9516129 60.0483871] ; [20.0483871 12.9516129],0
p4,1,0.019725,5.436033,[113  38] ; [18 15],[107.50543478  43.49456522] ; [23.49456522  9.50543478],0
p8,1,0.022707,5.190792,[98 52] ; [14 18],[92.30769231 57.69230769] ; [19.69230769 12.30769231],0
r2,1,0.036434,4.376696,[149   3] ; [30  3],[147.07027027   4.92972973] ; [31.92972973  1.07027027],0
a3,1,0.043225,4.086562,[132  20] ; [24  9],[128.17297297  23.82702703] ; [27.82702703  5.17297297],0
p7,1,0.052836,3.749094,[116  30] ; [21 12],[111.74301676  34.25698324] ; [25.25698324  7.74301676],0
p12,1,0.053214,3.737175,[ 24 129] ; [ 1 32],[ 20.56451613 132.43548387] ; [ 4.43548387 28.56451613],0
r4,1,0.058215,3.58753,[147   6] ; [29  4],[144.77419355   8.22580645] ; [31.22580645  1.77419355],0
s3,1,0.071345,3.251799,[125  25] ; [23 10],[121.31147541  28.68852459] ; [26.68852459  6.31147541],0
v1,1,0.086899,2.930891,[98 54] ; [16 17],[93.66486486 58.33513514] ; [20.33513514 12.66486486],0
s6,1,0.09794,2.738766,[145   7] ; [29  4],[142.96216216   9.03783784] ; [31.03783784  1.96216216],0
d5,1,0.122686,2.382686,[126  25] ; [31  2],[128.8423913  22.1576087] ; [28.1576087  4.8423913],0
p10,1,0.132479,2.263212,[138  14] ; [27  6],[135.56756757  16.43243243] ; [29.43243243  3.56756757],0
p3,1,0.136316,2.219066,[95 57] ; [16 17],[91.2 60.8] ; [19.8 13.2],0
v2,1,0.136956,2.211828,[98 52] ; [17 16],[94.26229508 55.73770492] ; [20.73770492 12.26229508],0
s8,1,0.137787,2.2025,[115  36] ; [21 12],[111.60869565  39.39130435] ; [24.39130435  8.60869565],0
d1,1,0.140833,2.168838,[104  49] ; [18 15],[100.35483871  52.64516129] ; [21.64516129 11.35483871],0
d4,1,0.141812,2.158185,[127  24] ; [31  2],[129.66304348  21.33695652] ; [28.33695652  4.66304348],0
b5,1,0.170323,1.880097,[85 68] ; [14 19],[81.43548387 71.56451613] ; [17.56451613 15.43548387],0
a6,1,0.17263,1.859956,[97 54] ; [17 16],[93.55434783 57.44565217] ; [20.44565217 12.55434783],0
b2,1,0.189632,1.720478,[41 58] ; [14 11],[43.91129032 55.08870968] ; [11.08870968 13.91129032],0
b3,1,0.189632,1.720478,[41 58] ; [14 11],[43.91129032 55.08870968] ; [11.08870968 13.91129032],0
a2,1,0.21936,1.508556,[ 49 104] ; [ 7 26],[ 46.06451613 106.93548387] ; [ 9.93548387 23.06451613],0
s1,1,0.224724,1.473945,[  6 143] ; [ 3 30],[  7.36813187 141.63186813] ; [ 1.63186813 31.36813187],0
a4,1,0.273018,1.201522,[81 72] ; [14 19],[78.14516129 74.85483871] ; [16.85483871 16.14516129],0
p1,1,0.340697,0.907807,[ 19 134] ; [ 6 26],[ 20.67567568 132.32432432] ; [ 4.32432432 27.67567568],0
a1,1,0.438751,0.599547,[ 10 143] ; [ 1 32],[  9.0483871 143.9516129] ; [ 1.9516129 31.0483871],0
u1,1,0.460566,0.544518,[ 42 111] ; [ 7 26],[ 40.30645161 112.69354839] ; [ 8.69354839 24.30645161],0
a8,1,0.479733,0.499469,[ 21 115] ; [ 3 26],[ 19.78181818 116.21818182] ; [ 4.21818182 24.78181818],0
d3,1,0.528726,0.39684,[114  38] ; [23 10],[112.56216216  39.43783784] ; [24.43783784  8.56216216],0
d2,1,0.548158,0.360628,[87 65] ; [17 16],[85.44864865 66.55135135] ; [18.55135135 14.44864865],0
b1,1,0.562336,0.335675,[64 89] ; [12 21],[62.51612903 90.48387097] ; [13.48387097 19.51612903],0
a7,1,0.643127,0.214676,[105  48] ; [24  9],[106.11290323  46.88709677] ; [22.88709677 10.11290323],0
u2,1,0.794231,0.068027,[15  6] ; [6 3],[14.7  6.3] ; [6.3 2.7],0
n3,1,0.834944,0.043416,[25 11] ; [8 3],[25.27659574 10.72340426] ; [7.72340426 3.27659574],0
n1,1,0.866596,0.028219,[20 16] ; [7 5],[20.25 15.75] ; [6.75 5.25],0
u3,1,0.924953,0.008873,[16  5] ; [7 2],[16.1  4.9] ; [6.9 2.1],0
r3,1,0.944126,0.004912,[148   5] ; [32  1],[148.06451613   4.93548387] ; [31.93548387  1.06451613],0
p6,1,0.979928,0.000633,[82 69] ; [18 15],[82.06521739 68.93478261] ; [17.93478261 15.06521739],0
