Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.8e-05,17.550159,[307  99] ; [15 20],[296.44444444 109.55555556] ; [25.55555556  9.44444444],1
p8,1,0.000135,14.566003,[275 131] ; [13 23],[264.54298643 141.45701357] ; [23.45701357 12.54298643],1
p10,1,0.002933,8.848497,[362  44] ; [26 10],[356.39819005  49.60180995] ; [31.60180995  4.39819005],0
p9,1,0.012425,6.249156,[370  37] ; [28  8],[365.65688488  41.34311512] ; [32.34311512  3.65688488],0
p6,1,0.029471,4.739892,[217 189] ; [12 23],[210.82539683 195.17460317] ; [18.17460317 16.82539683],0
s7,1,0.037012,4.349852,[230 156] ; [14 20],[224.24761905 161.75238095] ; [19.75238095 14.24761905],0
d5,1,0.040612,4.192149,[356  52] ; [27  9],[351.94594595  56.05405405] ; [31.05405405  4.94594595],0
a7,1,0.058332,3.584176,[308 100] ; [22 14],[303.24324324 104.75675676] ; [26.75675676  9.24324324],0
a3,1,0.063507,3.443351,[307 101] ; [22 14],[302.32432432 105.67567568] ; [26.67567568  9.32432432],0
n5,1,0.07252,3.225045,[367  40] ; [29  7],[363.81941309  43.18058691] ; [32.18058691  3.81941309],0
d3,1,0.073318,3.207132,[306 103] ; [22 14],[301.46516854 107.53483146] ; [26.53483146  9.46516854],0
v1,1,0.09065,2.862799,[254 147] ; [16 17],[249.47004608 151.52995392] ; [20.52995392 12.47004608],0
p1,1,0.093701,2.809608,[ 49 360] ; [ 1 35],[ 45.95505618 363.04494382] ; [ 4.04494382 31.95505618],0
s1,1,0.104017,2.642841,[ 13 392] ; [ 3 32],[ 14.72727273 390.27272727] ; [ 1.27272727 33.72727273],0
a2,1,0.111677,2.530325,[119 290] ; [ 6 30],[114.88764045 294.11235955] ; [10.11235955 25.88764045],0
r3,1,0.11416,2.495667,[393  13] ; [33  3],[391.30316742  14.69683258] ; [34.69683258  1.30316742],0
a5,1,0.126737,2.332027,[328  81] ; [25 11],[324.44269663  84.55730337] ; [28.55730337  7.44269663],0
a6,1,0.131383,2.276086,[288 121] ; [21 15],[284.00224719 124.99775281] ; [24.99775281 11.00224719],0
n3,1,0.219415,1.508191,[43 17] ; [9 1],[44.57142857 15.42857143] ; [7.42857143 2.57142857],0
v3,1,0.220637,1.500226,[182 212] ; [12 22],[178.58878505 215.41121495] ; [15.41121495 18.58878505],0
s3,1,0.235101,1.40973,[240 159] ; [18 18],[236.64827586 162.35172414] ; [21.35172414 14.64827586],0
r4,1,0.275432,1.18949,[383  26] ; [32  4],[381.42696629  27.57303371] ; [33.57303371  2.42696629],0
r1,1,0.290473,1.117428,[344  63] ; [28  8],[341.76975169  65.23024831] ; [30.23024831  5.76975169],0
v2,1,0.313627,1.015339,[240 159] ; [18 17],[237.19354839 161.80645161] ; [20.80645161 14.19354839],0
a8,1,0.320456,0.987086,[ 55 309] ; [ 3 31],[ 53.04522613 310.95477387] ; [ 4.95477387 29.04522613],0
