Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,31.854839,[42 51] ; [116  28],[62. 31.] ; [96. 48.],1
p8,1,1e-06,23.916389,[36 55] ; [102  40],[53.89699571 37.10300429] ; [84.10300429 57.89699571],1
p7,1,0.000127,14.690901,[53 36] ; [117  25],[65.4978355 23.5021645] ; [104.5021645  37.4978355],1
p5,1,0.000646,11.638741,[ 5 89] ; [ 31 113],[14.21848739 79.78151261] ; [ 21.78151261 122.21848739],1
p6,1,0.001004,10.819637,[33 60] ; [81 60],[45.30769231 47.69230769] ; [68.69230769 72.30769231],0
p2,1,0.004117,8.231654,[73 21] ; [131  13],[80.57142857 13.42857143] ; [123.42857143  20.57142857],0
p1,1,0.004599,8.030921,[ 2 92] ; [ 18 125],[ 7.93248945 86.06751055] ; [ 12.06751055 130.93248945],0
b2,1,0.00863,6.897742,[17 44] ; [52 55],[25.05357143 35.94642857] ; [43.94642857 63.05357143],0
b3,1,0.00863,6.897742,[17 44] ; [52 55],[25.05357143 35.94642857] ; [43.94642857 63.05357143],0
n1,1,0.014168,6.017094,[ 5 17] ; [13  9],[ 9. 13.] ; [ 9. 13.],0
a5,1,0.023704,5.116166,[70 24] ; [124  20],[76.62184874 17.37815126] ; [117.37815126  26.62184874],0
d1,1,0.025962,4.958548,[57 37] ; [107  37],[64.77310924 29.22689076] ; [99.22689076 44.77310924],0
p12,1,0.027632,4.850907,[ 6 87] ; [ 23 120],[11.4279661 81.5720339] ; [ 17.5720339 125.4279661],0
a3,1,0.040519,4.196007,[71 23] ; [123  20],[76.94514768 17.05485232] ; [117.05485232  25.94514768],0
n6,1,0.047335,3.933455,[79 14] ; [132  10],[83.50212766  9.49787234] ; [127.49787234  14.50212766],0
v1,1,0.056103,3.648992,[58 32] ; [108  34],[64.39655172 25.60344828] ; [101.60344828  40.39655172],0
s5,1,0.060973,3.510722,[35 53] ; [71 64],[41.82959641 46.17040359] ; [64.17040359 70.82959641],0
p9,1,0.076663,3.134273,[80 12] ; [134   9],[83.7787234  8.2212766] ; [130.2212766  12.7787234],0
p10,1,0.099784,2.708995,[77 15] ; [129  13],[80.99145299 11.00854701] ; [125.00854701  16.99145299],0
n3,1,0.117709,2.44754,[16  8] ; [19  3],[18.26086957  5.73913043] ; [16.73913043  5.26086957],0
s1,1,0.119251,2.427135,[ 1 90] ; [  7 136],[ 3.11111111 87.88888889] ; [  4.88888889 138.11111111],0
a8,1,0.120813,2.406748,[20 61] ; [ 21 110],[15.66509434 65.33490566] ; [ 25.33490566 105.66509434],0
b1,1,0.129373,2.300013,[30 64] ; [60 84],[35.54621849 58.45378151] ; [54.45378151 89.54621849],0
a7,1,0.133862,2.247137,[74 20] ; [100  43],[69.01265823 24.98734177] ; [104.98734177  38.01265823],0
u2,1,0.138069,2.199349,[17  6] ; [11 10],[14.63636364  8.36363636] ; [13.36363636  7.63636364],0
n5,1,0.14986,2.07367,[71 21] ; [121  22],[75.16595745 16.83404255] ; [116.83404255  26.16595745],0
d4,1,0.150571,2.066461,[79 15] ; [130  14],[82.54621849 11.45378151] ; [126.45378151  17.54621849],0
d5,1,0.150571,2.066461,[79 15] ; [130  14],[82.54621849 11.45378151] ; [126.45378151  17.54621849],0
r2,1,0.171929,1.866039,[87  5] ; [139   3],[88.85470085  3.14529915] ; [137.14529915   4.85470085],0
b5,1,0.177577,1.817785,[63 31] ; [84 60],[58.05882353 35.94117647] ; [88.94117647 55.05882353],0
u4,1,0.197562,1.660304,[ 2 92] ; [  8 136],[ 3.94957983 90.05042017] ; [  6.05042017 137.94957983],0
p11,1,0.21603,1.530547,[73 21] ; [121  23],[76.62184874 17.37815126] ; [117.37815126  26.62184874],0
v3,1,0.267501,1.229518,[55 37] ; [95 47],[58.97435897 33.02564103] ; [91.02564103 50.97435897],0
a2,1,0.274444,1.194401,[22 72] ; [ 43 101],[25.67226891 68.32773109] ; [ 39.32773109 104.67226891],0
n2,1,0.331802,0.941851,[18  6] ; [19  3],[19.30434783  4.69565217] ; [17.69565217  4.30434783],0
n4,1,0.340803,0.907407,[78 16] ; [125  18],[80.51476793 13.48523207] ; [122.48523207  20.51476793],0
s7,1,0.35354,0.86071,[74 15] ; [107  30],[71.27876106 17.72123894] ; [109.72123894  27.27876106],0
r4,1,0.373491,0.792015,[86  8] ; [136   8],[87.68067227  6.31932773] ; [134.31932773   9.68067227],0
s4,1,0.395043,0.723362,[17 77] ; [ 20 123],[14.67510549 79.32489451] ; [ 22.32489451 120.67510549],0
v4,1,0.515674,0.422536,[88  4] ; [140   4],[88.88135593  3.11864407] ; [139.11864407   4.88135593],0
u1,1,0.525097,0.403871,[22 72] ; [ 39 105],[24.09243697 69.90756303] ; [ 36.90756303 107.09243697],0
d2,1,0.648534,0.207753,[54 40] ; [87 57],[55.68907563 38.31092437] ; [85.31092437 58.68907563],0
s2,1,0.657704,0.196325,[67 26] ; [106  36],[68.46382979 24.53617021] ; [104.53617021  37.46382979],0
d3,1,0.678281,0.172067,[67 27] ; [99 45],[65.56302521 28.43697479] ; [100.43697479  43.56302521],0
a6,1,0.698841,0.14968,[66 28] ; [97 46],[64.64978903 29.35021097] ; [98.35021097 44.64978903],0
a4,1,0.716067,0.132292,[46 48] ; [67 77],[44.6302521 49.3697479] ; [68.3697479 75.6302521],0
a1,1,0.718525,0.12991,[ 7 87] ; [  9 135],[ 6.31932773 87.68067227] ; [  9.68067227 134.31932773],0
s6,1,0.75422,0.098019,[76 16] ; [115  27],[75.09401709 16.90598291] ; [115.90598291  26.09401709],0
