Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.024693,5.045292,[11 12] ; [38 13],[15.22972973  7.77027027] ; [33.77027027 17.22972973],0
r2,1,0.036809,4.359244,[17  6] ; [46  4],[19.84931507  3.15068493] ; [43.15068493  6.84931507],0
n5,1,0.05549,3.667295,[ 8 15] ; [30 21],[11.81081081 11.18918919] ; [26.18918919 24.81081081],0
v4,1,0.090515,2.865188,[18  5] ; [47  4],[20.2027027  2.7972973] ; [44.7972973  6.2027027],0
p11,1,0.11632,2.466181,[ 9 14] ; [30 21],[12.12162162 10.87837838] ; [26.87837838 24.12162162],0
a5,1,0.121026,2.403991,[17  6] ; [28 23],[13.98648649  9.01351351] ; [31.01351351 19.98648649],0
a7,1,0.135347,2.230074,[13 10] ; [37 13],[15.75342466  7.24657534] ; [34.24657534 15.75342466],0
b5,1,0.171057,1.873657,[11 12] ; [33 18],[13.67567568  9.32432432] ; [30.32432432 20.67567568],0
s4,1,0.302301,1.064017,[ 1 22] ; [ 6 44],[ 2.20547945 20.79452055] ; [ 4.79452055 45.20547945],0
a3,1,0.377875,0.777605,[16  7] ; [30 21],[14.2972973  8.7027027] ; [31.7027027 19.2972973],0
p4,1,0.38711,0.748,[ 9 14] ; [25 25],[10.71232877 12.28767123] ; [23.28767123 26.71232877],0
p2,1,0.391313,0.734858,[12 11] ; [32 19],[13.67567568  9.32432432] ; [30.32432432 20.67567568],0
p10,1,0.394913,0.723761,[ 5 18] ; [16 35],[ 6.52702703 16.47297297] ; [14.47297297 36.52702703],0
s3,1,0.427966,0.628336,[11 12] ; [19 31],[ 9.45205479 13.54794521] ; [20.54794521 29.45205479],0
a4,1,0.433587,0.613197,[ 6 17] ; [18 33],[ 7.45945946 15.54054054] ; [16.54054054 34.45945946],0
d5,1,0.443362,0.587567,[19  4] ; [38 13],[17.71621622  5.28378378] ; [39.28378378 11.71621622],0
p6,1,0.456057,0.555556,[ 6 15] ; [10 39],[ 4.8 16.2] ; [11.2 37.8],0
s2,1,0.472832,0.51535,[10 13] ; [17 32],[ 8.625 14.375] ; [18.375 30.625],0
b3,1,0.497224,0.460857,[5 8] ; [ 9 23],[4.04444444 8.95555556] ; [ 9.95555556 22.04444444],0
b2,1,0.497224,0.460857,[5 8] ; [ 9 23],[4.04444444 8.95555556] ; [ 9.95555556 22.04444444],0
s7,1,0.509651,0.434783,[ 6 15] ; [18 31],[ 7.2 13.8] ; [16.8 32.2],0
p3,1,0.535111,0.384677,[ 9 13] ; [17 34],[ 7.83561644 14.16438356] ; [18.16438356 32.83561644],0
v1,1,0.550111,0.357119,[10 13] ; [26 25],[11.18918919 11.81081081] ; [24.81081081 26.18918919],0
s5,1,0.556341,0.346079,[ 4 18] ; [12 37],[ 4.95774648 17.04225352] ; [11.04225352 37.95774648],0
d3,1,0.569501,0.323518,[16  7] ; [32 19],[14.91891892  8.08108108] ; [33.08108108 17.91891892],0
v3,1,0.578035,0.309421,[ 9 13] ; [24 26],[10.08333333 11.91666667] ; [22.91666667 27.08333333],0
p8,1,0.611764,0.257614,[10 13] ; [19 32],[ 9.01351351 13.98648649] ; [19.98648649 31.01351351],0
b4,1,0.644069,0.21346,[15  8] ; [36 15],[15.85135135  7.14864865] ; [35.14864865 15.85135135],0
p1,1,0.655422,0.199133,[ 2 21] ; [ 3 48],[ 1.55405405 21.44594595] ; [ 3.44594595 47.55405405],0
r4,1,0.65756,0.196502,[16  7] ; [38 13],[16.78378378  6.21621622] ; [37.21621622 13.78378378],0
n1,1,0.658273,0.195629,[2 5] ; [5 8],[2.45 4.55] ; [4.55 8.45],0
u2,1,0.658387,0.195489,[4 3] ; [ 9 10],[3.5 3.5] ; [9.5 9.5],0
n2,1,0.675706,0.175,[6 3] ; [9 3],[6.42857143 2.57142857] ; [8.57142857 3.42857143],0
s8,1,0.731527,0.117714,[ 6 17] ; [15 35],[ 6.61643836 16.38356164] ; [14.38356164 35.61643836],0
s6,1,0.740372,0.1098,[12 11] ; [24 26],[11.34246575 11.65753425] ; [24.65753425 25.34246575],0
d2,1,0.760271,0.093101,[11 12] ; [22 28],[10.39726027 12.60273973] ; [22.60273973 27.39726027],0
p7,1,0.800456,0.063886,[11 12] ; [25 24],[11.5 11.5] ; [24.5 24.5],0
s1,1,0.817855,0.05304,[ 1 21] ; [ 3 48],[ 1.20547945 20.79452055] ; [ 2.79452055 48.20547945],0
d1,1,0.827472,0.0475,[12 11] ; [28 23],[12.43243243 10.56756757] ; [27.56756757 23.43243243],0
a6,1,0.837985,0.041809,[15  8] ; [32 19],[14.60810811  8.39189189] ; [32.39189189 18.60810811],0
r3,1,0.860431,0.030915,[21  2] ; [45  5],[20.79452055  2.20547945] ; [45.20547945  4.79452055],0
d4,1,0.881556,0.0222,[19  4] ; [42  8],[19.21917808  3.78082192] ; [41.78082192  8.21917808],0
n3,1,0.898977,0.016117,[6 3] ; [9 4],[6.13636364 2.86363636] ; [8.86363636 4.13636364],0
r1,1,0.956626,0.002958,[17  6] ; [38 13],[17.09459459  5.90540541] ; [37.90540541 13.09459459],0
b1,1,0.978137,0.000751,[13 10] ; [29 22],[13.05405405  9.94594595] ; [28.94594595 22.05405405],0
a2,1,0.978653,0.000716,[ 4 19] ; [ 9 42],[ 4.04054054 18.95945946] ; [ 8.95945946 42.04054054],0
u3,1,1.0,0.0,[3 4] ; [ 9 12],[3. 4.] ; [ 9. 12.],0
a8,1,1.0,0.0,[ 2 19] ; [ 4 38],[ 2. 19.] ; [ 4. 38.],0
