Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000291,13.125,[ 3 27] ; [4 1],[ 6. 24.] ; [1. 4.],1
p6,1,0.007785,7.082388,[ 1 28] ; [2 3],[ 2.55882353 26.44117647] ; [0.44117647 4.55882353],0
p3,1,0.015725,5.833333,[ 4 26] ; [3 2],[ 6. 24.] ; [1. 4.],0
p4,1,0.015725,5.833333,[ 4 26] ; [3 2],[ 6. 24.] ; [1. 4.],0
s1,1,0.030087,4.704301,[ 2 28] ; [2 3],[ 3.42857143 26.57142857] ; [0.57142857 4.42857143],0
n4,1,0.032175,4.589161,[21  9] ; [1 4],[18.85714286 11.14285714] ; [3.14285714 1.85714286],0
s2,1,0.03265,4.564043,[ 5 25] ; [3 2],[ 6.85714286 23.14285714] ; [1.14285714 3.85714286],0
u2,1,0.052261,3.767399,[ 2 12] ; [2 1],[ 3.29411765 10.70588235] ; [0.70588235 2.29411765],0
n5,1,0.096458,2.763158,[18 12] ; [1 4],[16.28571429 13.71428571] ; [2.71428571 2.28571429],0
d5,1,0.096458,2.763158,[18 12] ; [1 4],[16.28571429 13.71428571] ; [2.71428571 2.28571429],0
b1,1,0.128822,2.306645,[17 13] ; [1 4],[15.42857143 14.57142857] ; [2.57142857 2.42857143],0
b5,1,0.128822,2.306645,[13 17] ; [4 1],[14.57142857 15.42857143] ; [2.42857143 2.57142857],0
v3,1,0.227195,1.458333,[ 5 25] ; [2 3],[ 6. 24.] ; [1. 4.],0
d1,1,0.264616,1.244444,[14 16] ; [1 4],[12.85714286 17.14285714] ; [2.14285714 2.85714286],0
b4,1,0.324127,0.972222,[19 11] ; [2 3],[18. 12.] ; [3. 2.],0
r3,1,0.402784,0.7,[12 18] ; [3 2],[12.85714286 17.14285714] ; [2.14285714 2.85714286],0
a7,1,0.402784,0.7,[12 18] ; [3 2],[12.85714286 17.14285714] ; [2.14285714 2.85714286],0
a5,1,0.402784,0.7,[12 18] ; [3 2],[12.85714286 17.14285714] ; [2.14285714 2.85714286],0
p11,1,0.429853,0.623219,[ 7 23] ; [2 3],[ 7.71428571 22.28571429] ; [1.28571429 3.71428571],0
a6,1,0.488551,0.479715,[13 17] ; [3 2],[13.71428571 16.28571429] ; [2.28571429 2.71428571],0
a3,1,0.530172,0.394061,[16 13] ; [2 3],[15.35294118 13.64705882] ; [2.64705882 2.35294118],0
s6,1,0.541193,0.373333,[ 8 22] ; [2 3],[ 8.57142857 21.42857143] ; [1.42857143 3.57142857],0
d4,1,0.552119,0.353535,[20 10] ; [4 1],[20.57142857  9.42857143] ; [3.42857143 1.57142857],0
n6,1,0.561994,0.336264,[12 18] ; [1 3],[11.47058824 18.52941176] ; [1.52941176 2.47058824],0
s3,1,0.573687,0.316552,[ 8 21] ; [2 3],[ 8.52941176 20.47058824] ; [1.47058824 3.52941176],0
d2,1,0.62822,0.234483,[15 14] ; [2 3],[14.5 14.5] ; [2.5 2.5],0
d3,1,0.678721,0.171569,[15 15] ; [2 3],[14.57142857 15.42857143] ; [2.42857143 2.57142857],0
v2,1,0.752172,0.099715,[ 8 22] ; [1 4],[ 7.71428571 22.28571429] ; [1.28571429 3.71428571],0
r1,1,0.781745,0.076754,[14 16] ; [2 3],[13.71428571 16.28571429] ; [2.28571429 2.71428571],0
v1,1,0.869467,0.027006,[ 7 23] ; [1 4],[ 6.85714286 23.14285714] ; [1.14285714 3.85714286],0
n2,1,0.943209,0.005075,[ 5 11] ; [1 2],[ 5.05263158 10.94736842] ; [0.94736842 2.05263158],0
r2,1,0.953847,0.00335,[17 12] ; [3 2],[17.05882353 11.94117647] ; [2.94117647 2.05882353],0
r4,1,1.0,0.0,[ 6 24] ; [1 4],[ 6. 24.] ; [1. 4.],0
n3,1,1.0,0.0,[ 5 10] ; [1 2],[ 5. 10.] ; [1. 2.],0
p2,1,1.0,0.0,[ 6 24] ; [1 4],[ 6. 24.] ; [1. 4.],0
