Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-05,18.221778,[35 17] ; [ 60 116],[21.66666667 30.33333333] ; [ 73.33333333 102.66666667],1
s1,1,4.8e-05,16.531465,[ 6 46] ; [  1 178],[ 1.57575758 50.42424242] ; [  5.42424242 173.57575758],1
s6,1,9.6e-05,15.205849,[43  9] ; [94 85],[30.83982684 21.16017316] ; [106.16017316  72.83982684],1
p5,1,0.00012,14.798842,[ 9 43] ; [  5 173],[ 3.16521739 48.83478261] ; [ 10.83478261 167.16521739],1
s3,1,0.000944,10.934891,[34 16] ; [ 74 104],[23.68421053 26.31578947] ; [84.31578947 93.68421053],1
p12,1,0.002178,9.392826,[10 42] ; [ 10 168],[ 4.52173913 47.47826087] ; [ 15.47826087 162.52173913],0
s7,1,0.005846,7.597097,[26 25] ; [ 52 121],[17.75892857 33.24107143] ; [ 60.24107143 112.75892857],0
r3,1,0.008082,7.015129,[45  6] ; [174   5],[48.56086957  2.43913043] ; [170.43913043   8.56086957],0
p1,1,0.020324,5.383853,[ 8 44] ; [ 10 169],[ 4.05194805 47.94805195] ; [ 13.94805195 165.05194805],0
d2,1,0.043551,4.073892,[30 20] ; [ 79 101],[23.69565217 26.30434783] ; [85.30434783 94.69565217],0
p3,1,0.059244,3.558423,[22 30] ; [ 51 128],[16.43290043 35.56709957] ; [ 56.56709957 122.43290043],0
a1,1,0.100641,2.695348,[ 3 49] ; [  3 177],[ 1.34482759 50.65517241] ; [  4.65517241 175.34482759],0
s4,1,0.101948,2.674806,[10 40] ; [ 20 159],[ 6.55021834 43.44978166] ; [ 23.44978166 155.55021834],0
b4,1,0.102406,2.667661,[39 13] ; [113  67],[34.06896552 17.93103448] ; [117.93103448  62.06896552],0
u3,1,0.106113,2.611183,[12  3] ; [35 26],[9.27631579 5.72368421] ; [37.72368421 23.27631579],0
a8,1,0.159645,1.977582,[ 2 44] ; [ 19 149],[ 4.51401869 41.48598131] ; [ 16.48598131 151.51401869],0
d1,1,0.184244,1.763057,[32 20] ; [92 88],[27.79310345 24.20689655] ; [96.20689655 83.79310345],0
p6,1,0.21853,1.513998,[10 41] ; [ 23 157],[ 7.28571429 43.71428571] ; [ 25.71428571 154.28571429],0
a7,1,0.221032,1.49766,[32 19] ; [129  51],[35.54545455 15.45454545] ; [125.45454545  54.54545455],0
p2,1,0.234032,1.416188,[35 17] ; [136  44],[38.32758621 13.67241379] ; [132.67241379  47.32758621],0
d4,1,0.241772,1.370235,[43  8] ; [138  42],[39.96103896 11.03896104] ; [141.03896104  38.96103896],0
b3,1,0.252563,1.309073,[15 18] ; [34 65],[12.25 20.75] ; [36.75 62.25],0
b2,1,0.252563,1.309073,[15 18] ; [34 65],[12.25 20.75] ; [36.75 62.25],0
a6,1,0.256195,1.289204,[33 19] ; [129  51],[36.31034483 15.68965517] ; [125.68965517  54.31034483],0
s8,1,0.287776,1.129999,[19 32] ; [ 53 127],[15.8961039 35.1038961] ; [ 56.1038961 123.8961039],0
n1,1,0.324918,0.969048,[6 5] ; [20 32],[4.53968254 6.46031746] ; [21.46031746 30.53968254],0
p8,1,0.331925,0.941372,[10 41] ; [ 47 132],[12.63913043 38.36086957] ; [ 44.36086957 134.63913043],0
p10,1,0.346126,0.88761,[43  9] ; [137  42],[40.51948052 11.48051948] ; [139.48051948  39.51948052],0
u2,1,0.378947,0.774116,[10  5] ; [33 28],[8.48684211 6.51315789] ; [34.51315789 26.48684211],0
a4,1,0.410971,0.675991,[25 27] ; [ 75 105],[22.4137931 29.5862069] ; [ 77.5862069 102.4137931],0
d3,1,0.416218,0.660969,[30 22] ; [115  65],[32.5 19.5] ; [112.5  67.5],0
n6,1,0.417085,0.658515,[46  6] ; [151  29],[44.15517241  7.84482759] ; [152.84482759  27.15517241],0
p4,1,0.470961,0.51972,[24 28] ; [ 73 107],[21.74137931 30.25862069] ; [ 75.25862069 104.74137931],0
a3,1,0.494946,0.465755,[37 15] ; [119  61],[34.96551724 17.03448276] ; [121.03448276  58.96551724],0
n4,1,0.520855,0.4122,[37 15] ; [136  44],[38.77586207 13.22413793] ; [134.22413793  45.77586207],0
v1,1,0.528955,0.396398,[26 26] ; [77 94],[24.01793722 27.98206278] ; [78.98206278 92.01793722],0
a2,1,0.581045,0.304548,[11 41] ; [ 32 148],[ 9.63793103 42.36206897] ; [ 33.36206897 146.63793103],0
n2,1,0.607715,0.263516,[9 2] ; [38 13],[8.33870968 2.66129032] ; [38.66129032 12.33870968],0
r4,1,0.642065,0.216051,[45  7] ; [151  29],[43.93103448  8.06896552] ; [152.06896552  27.93103448],0
d5,1,0.654384,0.200418,[38 14] ; [137  43],[39.22413793 12.77586207] ; [135.77586207  44.22413793],0
p9,1,0.703983,0.144361,[43  8] ; [146  32],[42.09170306  8.90829694] ; [146.90829694  31.09170306],0
u4,1,0.732327,0.116986,[ 1 51] ; [  5 175],[ 1.34482759 50.65517241] ; [  4.65517241 175.34482759],0
n3,1,0.740702,0.109511,[7 3] ; [39 13],[7.41935484 2.58064516] ; [38.58064516 13.41935484],0
r1,1,0.746088,0.104847,[38 13] ; [130  50],[37.09090909 13.90909091] ; [130.90909091  49.09090909],0
r2,1,0.778475,0.079133,[48  4] ; [163  16],[47.4978355  4.5021645] ; [163.5021645  15.4978355],0
v4,1,0.778475,0.079133,[48  4] ; [163  16],[47.4978355  4.5021645] ; [163.5021645  15.4978355],0
b5,1,0.786311,0.073498,[34 18] ; [114  66],[33.17241379 18.82758621] ; [114.82758621  65.17241379],0
b1,1,0.872622,0.025705,[15 37] ; [ 54 126],[15.46551724 36.53448276] ; [ 53.53448276 126.46551724],0
n5,1,0.897429,0.016618,[37 15] ; [129  50],[37.36796537 14.63203463] ; [128.63203463  50.36796537],0
a5,1,0.903323,0.014754,[38 14] ; [130  50],[37.65517241 14.34482759] ; [130.34482759  49.65517241],0
v3,1,0.909164,0.013017,[16 33] ; [ 55 118],[15.67117117 33.32882883] ; [ 55.32882883 117.67117117],0
u1,1,0.945582,0.004659,[ 8 44] ; [ 27 153],[ 7.84482759 44.15517241] ; [ 27.15517241 152.84482759],0
