Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.002647,9.036041,[33  6] ; [13 13],[27.6 11.4] ; [18.4  7.6],0
d1,1,0.009017,6.819452,[31  9] ; [12 14],[26.06060606 13.93939394] ; [16.93939394  9.06060606],0
p4,1,0.017295,5.666209,[30 10] ; [12 14],[25.45454545 14.54545455] ; [16.54545455  9.45454545],0
s1,1,0.053248,3.736116,[ 1 39] ; [ 4 22],[ 3.03030303 36.96969697] ; [ 1.96969697 24.03030303],0
d5,1,0.055859,3.65625,[35  5] ; [17  8],[32.  8.] ; [20.  5.],0
d2,1,0.074861,3.173077,[30 10] ; [14 12],[26.66666667 13.33333333] ; [17.33333333  8.66666667],0
u3,1,0.084978,2.967033,[6 1] ; [6 7],[4.2 2.8] ; [7.8 5.2],0
p8,1,0.104943,2.62877,[22 18] ; [ 9 17],[18.78787879 21.21212121] ; [12.21212121 13.78787879],0
d4,1,0.125719,2.34459,[34  6] ; [18  8],[31.51515152  8.48484848] ; [20.48484848  5.51515152],0
p7,1,0.153289,2.039216,[32  8] ; [16  9],[29.53846154 10.46153846] ; [18.46153846  6.53846154],0
r4,1,0.153644,2.035693,[37  3] ; [21  5],[35.15151515  4.84848485] ; [22.84848485  3.15151515],0
a5,1,0.161697,1.958282,[31  9] ; [16 10],[28.48484848 11.51515152] ; [18.51515152  7.48484848],0
s6,1,0.167432,1.905786,[29  9] ; [15 10],[26.53968254 11.46031746] ; [17.46031746  7.53968254],0
d3,1,0.233038,1.422222,[32  8] ; [16  8],[30. 10.] ; [18.  6.],0
a4,1,0.269663,1.218462,[24 16] ; [12 14],[21.81818182 18.18181818] ; [14.18181818 11.81818182],0
b5,1,0.30307,1.060635,[26 14] ; [20  6],[27.87878788 12.12121212] ; [18.12121212  7.87878788],0
s4,1,0.328284,0.955656,[12 28] ; [ 5 21],[10.3030303 29.6969697] ; [ 6.6969697 19.3030303],0
r3,1,0.342038,0.902778,[37  2] ; [23  3],[36.  3.] ; [24.  2.],0
p1,1,0.355068,0.855263,[ 6 33] ; [ 2 24],[ 4.8 34.2] ; [ 3.2 22.8],0
b1,1,0.366819,0.814413,[23 17] ; [12 14],[21.21212121 18.78787879] ; [13.78787879 12.21212121],0
a7,1,0.396504,0.718903,[31  9] ; [17  8],[29.53846154 10.46153846] ; [18.46153846  6.53846154],0
s2,1,0.446226,0.58022,[24 16] ; [18  8],[25.45454545 14.54545455] ; [16.54545455  9.45454545],0
n3,1,0.465693,0.532176,[9 1] ; [7 2],[8.42105263 1.57894737] ; [7.57894737 1.42105263],0
v1,1,0.482284,0.493693,[18 22] ; [14 12],[19.39393939 20.60606061] ; [12.60606061 13.39393939],0
v2,1,0.484747,0.488166,[25 15] ; [14 12],[23.63636364 16.36363636] ; [15.36363636 10.63636364],0
a2,1,0.491223,0.473846,[14 26] ; [ 7 19],[12.72727273 27.27272727] ; [ 8.27272727 17.72727273],0
n1,1,0.497739,0.459753,[6 4] ; [4 5],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
