Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,55.733058,[ 21 430] ; [23 53],[ 37.65464896 413.34535104] ; [ 6.34535104 69.65464896],1
p1,1,0.0,35.278055,[ 28 422] ; [21 55],[ 41.92015209 408.07984791] ; [ 7.07984791 68.92015209],1
s5,1,0.0,32.070311,[154 293] ; [49 21],[175.51450677 271.48549323] ; [27.48549323 42.51450677],1
p4,1,1e-06,23.802393,[295 157] ; [70  5],[313.05502846 138.94497154] ; [51.94497154 23.05502846],1
p6,1,1.1e-05,19.348162,[202 246] ; [55 21],[219.72519084 228.27480916] ; [37.27480916 38.72519084],1
p3,1,1.2e-05,19.176036,[260 193] ; [63 12],[277.11931818 175.88068182] ; [45.88068182 29.11931818],1
a1,1,3.8e-05,16.98572,[ 18 435] ; [12 64],[ 25.6899811 427.3100189] ; [ 4.3100189 71.6899811],1
s7,1,0.000131,14.630384,[218 216] ; [53 18],[232.8990099 201.1009901] ; [38.1009901 32.8990099],1
p8,1,0.000225,13.611409,[293 156] ; [65 10],[306.75954198 142.24045802] ; [51.24045802 23.75954198],1
v3,1,0.000719,11.439917,[178 262] ; [45 28],[191.26705653 248.73294347] ; [31.73294347 41.26705653],1
s6,1,0.000936,10.950238,[302 144] ; [61  9],[313.75581395 132.24418605] ; [49.24418605 20.75581395],1
u4,1,0.001181,10.5196,[  5 448] ; [ 5 71],[  8.56332703 444.43667297] ; [ 1.43667297 74.56332703],0
s8,1,0.001526,10.047085,[209 242] ; [49 25],[221.63428571 229.36571429] ; [36.36571429 37.63428571],0
n5,1,0.002886,8.878068,[340 111] ; [69  7],[350.0170778 100.9829222] ; [58.9829222 17.0170778],0
n4,1,0.004071,8.252023,[351 100] ; [70  6],[360.28652751  90.71347249] ; [60.71347249 15.28652751],0
b5,1,0.005927,7.57223,[273 180] ; [33 43],[262.03780718 190.96219282] ; [43.96219282 32.03780718],0
p9,1,0.017301,5.665552,[388  62] ; [72  3],[394.28571429  55.71428571] ; [65.71428571  9.28571429],0
r2,1,0.03521,4.434972,[439  10] ; [71  5],[436.17142857  12.82857143] ; [73.82857143  2.17142857],0
v1,1,0.058534,3.57843,[249 197] ; [50 24],[256.45 189.55] ; [42.55 31.45],0
n6,1,0.060499,3.523654,[392  58] ; [71  4],[396.85714286  53.14285714] ; [66.14285714  8.85714286],0
a2,1,0.069023,3.306114,[122 331] ; [13 63],[115.60491493 337.39508507] ; [19.39508507 56.60491493],0
d5,1,0.069891,3.285573,[380  70] ; [57 18],[374.57142857  75.42857143] ; [62.42857143 12.57142857],0
p10,1,0.07892,3.086996,[380  70] ; [70  6],[384.98098859  65.01901141] ; [65.01901141 10.98098859],0
p11,1,0.09562,2.777112,[370  83] ; [68  8],[375.07372401  77.92627599] ; [62.92627599 13.07372401],0
b2,1,0.09646,2.763116,[100 175] ; [27 29],[105.51359517 169.48640483] ; [21.48640483 34.51359517],0
b3,1,0.09646,2.763116,[100 175] ; [27 29],[105.51359517 169.48640483] ; [21.48640483 34.51359517],0
n3,1,0.121765,2.394475,[69 11] ; [9 4],[67.09677419 12.90322581] ; [10.90322581  2.09677419],0
s2,1,0.184861,1.758102,[230 221] ; [45 31],[235.34155598 215.65844402] ; [39.65844402 36.34155598],0
d3,1,0.202709,1.622746,[327 124] ; [49 26],[322.3878327 128.6121673] ; [53.6121673 21.3878327],0
