Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-05,19.606663,[49  8] ; [141 119],[34.16403785 22.83596215] ; [155.83596215 104.16403785],1
s3,1,4.3e-05,16.749353,[44 13] ; [124 138],[30.01880878 26.98119122] ; [137.98119122 124.01880878],1
s2,1,8.7e-05,15.410343,[38 19] ; [101 163],[24.68224299 32.31775701] ; [114.31775701 149.68224299],1
s7,1,0.004682,7.998497,[35 23] ; [101 152],[25.36334405 32.63665595] ; [110.63665595 142.36334405],0
b3,1,0.007846,7.068258,[ 3 28] ; [ 52 103],[ 9.16666667 21.83333333] ; [ 45.83333333 109.16666667],0
b2,1,0.007846,7.068258,[ 3 28] ; [ 52 103],[ 9.16666667 21.83333333] ; [ 45.83333333 109.16666667],0
d5,1,0.014681,5.954366,[36 22] ; [206  60],[43.32098765 14.67901235] ; [198.67901235  67.32098765],0
s5,1,0.018159,5.580764,[22 31] ; [ 66 193],[14.94871795 38.05128205] ; [ 73.05128205 185.94871795],0
a8,1,0.029965,4.711279,[ 2 53] ; [ 35 210],[ 6.78333333 48.21666667] ; [ 30.21666667 214.78333333],0
n3,1,0.074258,3.186295,[14  1] ; [50 20],[11.29411765  3.70588235] ; [52.70588235 17.29411765],0
a4,1,0.084924,2.968051,[17 41] ; [110 155],[22.80495356 35.19504644] ; [104.19504644 160.80495356],0
r4,1,0.098356,2.731998,[46 12] ; [233  33],[49.94444444  8.05555556] ; [229.05555556  36.94444444],0
n4,1,0.099895,2.707222,[37 21] ; [198  68],[42.06790123 15.93209877] ; [192.93209877  73.06790123],0
s1,1,0.10175,2.677901,[ 4 53] ; [  7 256],[ 1.959375 55.040625] ; [  9.040625 253.959375],0
v2,1,0.103217,2.655116,[18 37] ; [114 141],[23.41935484 31.58064516] ; [108.58064516 146.41935484],0
b1,1,0.111873,2.527559,[15 43] ; [ 98 168],[20.22839506 37.77160494] ; [ 92.77160494 173.22839506],0
a3,1,0.118215,2.440806,[32 26] ; [175  90],[37.17027864 20.82972136] ; [169.82972136  95.17027864],0
n2,1,0.157698,1.996162,[13  2] ; [48 22],[10.76470588  4.23529412] ; [50.23529412 19.76470588],0
