Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000863,11.101466,[14 17] ; [63 18],[21.3125  9.6875] ; [55.6875 25.3125],1
v4,1,0.000863,11.10106,[21 10] ; [74  6],[26.53153153  4.46846847] ; [68.46846847 11.53153153],1
p10,1,0.001498,10.080671,[10 19] ; [54 25],[17.18518519 11.81481481] ; [46.81481481 32.18518519],0
p11,1,0.002259,9.326147,[13 18] ; [59 22],[19.92857143 11.07142857] ; [52.07142857 28.92857143],0
p9,1,0.002323,9.274634,[12 17] ; [57 21],[18.70093458 10.29906542] ; [50.29906542 27.70093458],0
r3,1,0.005827,7.602911,[19 12] ; [69 12],[24.35714286  6.64285714] ; [63.64285714 17.35714286],0
p2,1,0.007426,7.166924,[16 15] ; [62 18],[21.78378378  9.21621622] ; [56.21621622 23.78378378],0
a1,1,0.007466,7.157358,[ 4 27] ; [ 1 80],[ 1.38392857 29.61607143] ; [ 3.61607143 77.38392857],0
s3,1,0.024622,5.050299,[ 8 23] ; [39 40],[13.24545455 17.75454545] ; [33.75454545 45.24545455],0
s7,1,0.027056,4.887218,[ 4 24] ; [28 48],[ 8.61538462 19.38461538] ; [23.38461538 52.61538462],0
s5,1,0.036503,4.373439,[ 3 27] ; [23 56],[ 7.1559633 22.8440367] ; [18.8440367 60.1559633],0
b1,1,0.044229,4.04779,[18 13] ; [30 51],[13.28571429 17.71428571] ; [34.71428571 46.28571429],0
s2,1,0.051805,3.782056,[ 6 25] ; [31 49],[10.33333333 20.66666667] ; [26.66666667 53.33333333],0
r2,1,0.084574,2.974727,[22  9] ; [69 12],[25.1875  5.8125] ; [65.8125 15.1875],0
b4,1,0.110592,2.545743,[12 19] ; [45 36],[15.77678571 15.22321429] ; [41.22321429 39.77678571],0
s6,1,0.120816,2.406715,[11 20] ; [41 38],[14.65454545 16.34545455] ; [37.34545455 41.65454545],0
p6,1,0.126137,2.33941,[ 5 25] ; [25 55],[ 8.18181818 21.81818182] ; [21.81818182 58.18181818],0
p3,1,0.162295,1.952712,[ 8 23] ; [32 48],[11.17117117 19.82882883] ; [28.82882883 51.17117117],0
a4,1,0.168498,1.896258,[ 9 22] ; [14 67],[ 6.36607143 24.63392857] ; [16.63392857 64.36607143],0
s8,1,0.169564,1.886791,[ 5 26] ; [23 57],[ 7.81981982 23.18018018] ; [20.18018018 59.81981982],0
p8,1,0.22638,1.463462,[10 19] ; [38 42],[12.7706422 16.2293578] ; [35.2293578 44.7706422],0
p7,1,0.256124,1.28959,[14 16] ; [47 33],[16.63636364 13.36363636] ; [44.36363636 35.63636364],0
n4,1,0.300164,1.073463,[17 14] ; [53 28],[19.375 11.625] ; [50.625 30.375],0
