Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000264,13.311657,[18 15] ; [ 5 32],[10.84285714 22.15714286] ; [12.15714286 24.84285714],1
b2,1,0.000264,13.311657,[18 15] ; [ 5 32],[10.84285714 22.15714286] ; [12.15714286 24.84285714],1
p6,1,0.000829,11.175604,[ 6 61] ; [18 36],[13.2892562 53.7107438] ; [10.7107438 43.2892562],1
p3,1,0.003198,8.691045,[13 55] ; [24 31],[20.45528455 47.54471545] ; [16.54471545 38.45528455],0
p2,1,0.004066,8.254168,[32 36] ; [40 15],[39.80487805 28.19512195] ; [32.19512195 22.80487805],0
p8,1,0.00512,7.83662,[17 50] ; [27 27],[24.36363636 42.63636364] ; [19.63636364 34.36363636],0
p4,1,0.006814,7.321458,[16 51] ; [26 29],[23.06557377 43.93442623] ; [18.93442623 36.06557377],0
n5,1,0.008084,7.014834,[47 21] ; [25 30],[39.80487805 28.19512195] ; [32.19512195 22.80487805],0
b4,1,0.012262,6.272574,[45 23] ; [24 31],[38.14634146 29.85365854] ; [30.85365854 24.14634146],0
p9,1,0.037465,4.329159,[48 18] ; [30 25],[42.54545455 23.45454545] ; [35.45454545 19.54545455],0
s3,1,0.045473,4.000997,[20 46] ; [26 28],[25.3 40.7] ; [20.7 33.3],0
v2,1,0.066502,3.367319,[17 45] ; [24 31],[21.72649573 40.27350427] ; [19.27350427 35.72649573],0
n1,1,0.107102,2.596467,[10 13] ; [ 3 13],[ 7.66666667 15.33333333] ; [ 5.33333333 10.66666667],0
n3,1,0.107102,2.596467,[13 10] ; [13  3],[15.33333333  7.66666667] ; [10.66666667  5.33333333],0
p5,1,0.136105,2.221454,[ 2 66] ; [ 5 49],[ 3.90163934 64.09836066] ; [ 3.09836066 50.90163934],0
s2,1,0.167276,1.907184,[14 51] ; [18 37],[17.33333333 47.66666667] ; [14.66666667 40.33333333],0
n4,1,0.168853,1.8931,[43 25] ; [28 27],[39.25203252 28.74796748] ; [31.74796748 23.25203252],0
r3,1,0.196833,1.66572,[51 16] ; [47  8],[53.81967213 13.18032787] ; [44.18032787 10.81967213],0
v1,1,0.23538,1.408054,[22 45] ; [23 30],[25.125 41.875] ; [19.875 33.125],0
p10,1,0.257583,1.2817,[41 25] ; [28 26],[37.95 28.05] ; [31.05 22.95],0
a3,1,0.270775,1.212818,[24 42] ; [25 29],[26.95 39.05] ; [22.05 31.95],0
a5,1,0.3356,0.927169,[28 40] ; [18 37],[25.43089431 42.56910569] ; [20.56910569 34.43089431],0
b5,1,0.34417,0.894836,[35 33] ; [33 22],[37.59349593 30.40650407] ; [30.40650407 24.59349593],0
a7,1,0.408983,0.681755,[32 36] ; [30 25],[34.27642276 33.72357724] ; [27.72357724 27.27642276],0
s4,1,0.45286,0.563485,[12 56] ; [ 7 48],[10.50406504 57.49593496] ; [ 8.49593496 46.50406504],0
b1,1,0.498167,0.458839,[28 40] ; [26 29],[29.85365854 38.14634146] ; [24.14634146 30.85365854],0
d4,1,0.498167,0.458839,[28 40] ; [26 29],[29.85365854 38.14634146] ; [24.14634146 30.85365854],0
s1,1,0.505745,0.442861,[ 3 63] ; [ 4 50],[ 3.85 62.15] ; [ 3.15 50.85],0
d2,1,0.522204,0.409538,[14 54] ; [14 41],[15.4796748 52.5203252] ; [12.5203252 42.4796748],0
u2,1,0.528813,0.396671,[19 25] ; [10 18],[17.72222222 26.27777778] ; [11.27777778 16.72222222],0
v4,1,0.550199,0.35696,[54 14] ; [46  9],[55.28455285 12.71544715] ; [44.71544715 10.28455285],0
s6,1,0.57944,0.307141,[24 43] ; [22 32],[25.47107438 41.52892562] ; [20.52892562 33.47107438],0
s8,1,0.631536,0.229984,[ 8 60] ; [ 5 50],[ 7.18699187 60.81300813] ; [ 5.81300813 49.18699187],0
n2,1,0.664513,0.188088,[18  6] ; [11  5],[17.4  6.6] ; [11.6  4.4],0
p12,1,0.671199,0.180203,[ 5 63] ; [ 3 52],[ 4.42276423 63.57723577] ; [ 3.57723577 51.42276423],0
r2,1,0.684689,0.164895,[54 14] ; [42 13],[53.07317073 14.92682927] ; [42.92682927 12.07317073],0
v3,1,0.703785,0.144564,[16 50] ; [15 40],[16.90909091 49.09090909] ; [14.09090909 40.90909091],0
a1,1,0.725841,0.122965,[ 5 63] ; [ 5 50],[ 5.52845528 62.47154472] ; [ 4.47154472 50.52845528],0
a6,1,0.726823,0.122049,[38 30] ; [29 26],[37.04065041 30.95934959] ; [29.95934959 25.04065041],0
d3,1,0.768958,0.086282,[23 45] ; [20 35],[23.77235772 44.22764228] ; [19.22764228 35.77235772],0
r1,1,0.783637,0.075396,[40 28] ; [31 24],[39.25203252 28.74796748] ; [31.74796748 23.25203252],0
p11,1,0.79759,0.065775,[46 22] ; [36 19],[45.33333333 22.66666667] ; [36.66666667 18.33333333],0
d1,1,0.828586,0.046879,[ 3 65] ; [ 2 53],[ 2.76422764 65.23577236] ; [ 2.23577236 52.76422764],0
a2,1,0.828586,0.046879,[ 3 65] ; [ 2 53],[ 2.76422764 65.23577236] ; [ 2.23577236 52.76422764],0
a8,1,0.843401,0.039024,[ 7 57] ; [ 5 46],[ 6.67826087 57.32173913] ; [ 5.32173913 45.67826087],0
n6,1,0.857126,0.032412,[48 20] ; [38 17],[47.54471545 20.45528455] ; [38.45528455 16.54471545],0
r4,1,0.864149,0.029274,[46 22] ; [38 17],[46.43902439 21.56097561] ; [37.56097561 17.43902439],0
u3,1,0.869562,0.026966,[16 28] ; [10 19],[15.67123288 28.32876712] ; [10.32876712 18.67123288],0
s5,1,0.8781,0.023525,[10 54] ; [ 9 45],[10.30508475 53.69491525] ; [ 8.69491525 45.30508475],0
a4,1,0.901899,0.015194,[13 54] ; [10 44],[12.73553719 54.26446281] ; [10.26446281 43.73553719],0
p1,1,0.958794,0.002669,[ 6 62] ; [ 5 50],[ 6.08130081 61.91869919] ; [ 4.91869919 50.08130081],0
