Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4e-06,21.109297,[117  18] ; [18 17],[107.20588235  27.79411765] ; [27.79411765  7.20588235],1
p10,1,2e-05,18.143555,[113  20] ; [18 17],[103.70833333  29.29166667] ; [27.29166667  7.70833333],1
n5,1,0.000184,13.983656,[113  23] ; [18 16],[104.8  31.2] ; [26.2  7.8],1
p8,1,0.001461,10.126646,[91 43] ; [13 21],[82.95238095 51.04761905] ; [21.04761905 12.95238095],0
s8,1,0.005758,7.624585,[76 60] ; [10 24],[68.8 67.2] ; [17.2 16.8],0
r1,1,0.009191,6.785325,[104  32] ; [19 16],[97.8245614 38.1754386] ; [25.1754386  9.8245614],0
n4,1,0.009333,6.757894,[109  27] ; [20 14],[103.2  32.8] ; [25.8  8.2],0
b4,1,0.023148,5.15737,[64 72] ; [24 11],[69.98830409 66.01169591] ; [18.01169591 16.98830409],0
n6,1,0.024048,5.091146,[115  21] ; [23 11],[110.4  25.6] ; [27.6  6.4],0
a5,1,0.025308,5.002686,[97 39] ; [18 17],[91.4619883 44.5380117] ; [23.5380117 11.4619883],0
p2,1,0.028425,4.802074,[119  15] ; [26  9],[114.9704142  19.0295858] ; [30.0295858  4.9704142],0
b5,1,0.030946,4.655978,[54 82] ; [21 14],[59.64912281 76.35087719] ; [15.35087719 19.64912281],0
a3,1,0.040433,4.199605,[97 39] ; [18 16],[92. 44.] ; [23. 11.],0
d5,1,0.055573,3.664809,[106  29] ; [22 13],[101.64705882  33.35294118] ; [26.35294118  8.64705882],0
s7,1,0.070914,3.261737,[77 55] ; [13 19],[72.43902439 59.56097561] ; [17.56097561 14.43902439],0
b3,1,0.079604,3.072965,[40 54] ; [ 4 15],[36.60176991 57.39823009] ; [ 7.39823009 11.60176991],0
b2,1,0.079604,3.072965,[40 54] ; [ 4 15],[36.60176991 57.39823009] ; [ 7.39823009 11.60176991],0
r3,1,0.094359,2.798393,[128   8] ; [30  5],[125.66081871  10.33918129] ; [32.33918129  2.66081871],0
r2,1,0.096494,2.76256,[120  13] ; [28  7],[117.16666667  15.83333333] ; [30.83333333  4.16666667],0
v4,1,0.12852,2.310293,[126   9] ; [29  5],[123.81656805  11.18343195] ; [31.18343195  2.81656805],0
v1,1,0.162637,1.949536,[77 57] ; [15 19],[73.38095238 60.61904762] ; [18.61904762 15.38095238],0
r4,1,0.198515,1.653269,[117  19] ; [27  8],[114.52631579  21.47368421] ; [29.47368421  5.52631579],0
n3,1,0.251541,1.314723,[21 10] ; [11  2],[22.54545455  8.45454545] ; [9.45454545 3.54545455],0
s2,1,0.287223,1.132591,[72 64] ; [15 20],[69.19298246 66.80701754] ; [17.80701754 17.19298246],0
b1,1,0.287223,1.132591,[64 72] ; [20 15],[66.80701754 69.19298246] ; [17.19298246 17.80701754],0
d1,1,0.290929,1.115319,[68 68] ; [14 21],[65.21637427 70.78362573] ; [16.78362573 18.21637427],0
u2,1,0.334191,0.932591,[21 17] ; [ 7 10],[19.34545455 18.65454545] ; [8.65454545 8.34545455],0
p4,1,0.356113,0.851555,[87 48] ; [19 15],[84.67455621 50.32544379] ; [21.32544379 12.67455621],0
d4,1,0.378043,0.777056,[105  30] ; [24 10],[103.04733728  31.95266272] ; [25.95266272  8.04733728],0
p6,1,0.401034,0.705222,[65 67] ; [14 20],[62.81927711 69.18072289] ; [16.18072289 17.81927711],0
p5,1,0.475852,0.508355,[ 22 113] ; [ 4 31],[ 20.64705882 114.35294118] ; [ 5.35294118 29.64705882],0
a2,1,0.549618,0.358002,[ 12 124] ; [ 2 33],[ 11.13450292 124.86549708] ; [ 2.86549708 32.13450292],0
p3,1,0.551514,0.354612,[77 58] ; [18 17],[75.44117647 59.55882353] ; [19.55882353 15.44117647],0
v3,1,0.586946,0.295139,[59 77] ; [13 21],[57.6 78.4] ; [14.4 19.6],0
s5,1,0.626789,0.23644,[56 76] ; [16 18],[57.25301205 74.74698795] ; [14.74698795 19.25301205],0
p1,1,0.636515,0.223329,[ 11 125] ; [ 2 33],[ 10.33918129 125.66081871] ; [ 2.66081871 32.33918129],0
d3,1,0.651054,0.204574,[68 68] ; [16 19],[66.80701754 69.19298246] ; [17.19298246 17.80701754],0
s6,1,0.685781,0.16369,[83 49] ; [22 11],[84. 48.] ; [21. 12.],0
v2,1,0.703829,0.144519,[70 64] ; [19 15],[70.98809524 63.01190476] ; [18.01190476 15.98809524],0
d2,1,0.75963,0.093616,[66 70] ; [18 17],[66.80701754 69.19298246] ; [17.19298246 17.80701754],0
s3,1,0.776467,0.080614,[83 52] ; [20 14],[82.27810651 52.72189349] ; [20.72189349 13.27810651],0
s1,1,0.808879,0.058502,[  5 130] ; [ 1 34],[  4.76470588 130.23529412] ; [ 1.23529412 33.76470588],0
u3,1,0.810243,0.057654,[17 22] ; [8 9],[17.41071429 21.58928571] ; [7.58928571 9.41071429],0
s4,1,0.844218,0.038613,[ 29 107] ; [ 8 27],[ 29.42690058 106.57309942] ; [ 7.57309942 27.42690058],0
a1,1,0.845964,0.037741,[  9 127] ; [ 2 33],[  8.74853801 127.25146199] ; [ 2.25146199 32.74853801],0
n2,1,0.848705,0.036394,[23  8] ; [10  3],[23.25  7.75] ; [9.75 3.25],0
