Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,9e-06,19.702925,[38 16] ; [ 91 153],[23.37583893 30.62416107] ; [105.62416107 138.37583893],1
n4,1,0.00022,13.655507,[41 20] ; [220  33],[50.70382166 10.29617834] ; [210.29617834  42.70382166],1
n6,1,0.000297,13.089278,[45 15] ; [230  21],[53.05466238  6.94533762] ; [221.94533762  29.05466238],1
s2,1,0.003894,8.332791,[46 15] ; [139 113],[36.0543131 24.9456869] ; [148.9456869 103.0543131],0
s6,1,0.004369,8.123877,[53  6] ; [178  69],[44.53921569 14.46078431] ; [186.46078431  60.53921569],0
a8,1,0.015325,5.87875,[ 3 55] ; [ 41 186],[ 8.95438596 49.04561404] ; [ 35.04561404 191.95438596],0
v3,1,0.024071,5.089536,[17 42] ; [111 136],[24.67973856 34.32026144] ; [103.32026144 143.67973856],0
n5,1,0.027,4.890816,[42 19] ; [205  46],[48.29166667 12.70833333] ; [198.70833333  52.29166667],0
s3,1,0.036554,4.371083,[44 17] ; [145 107],[36.83386581 24.16613419] ; [152.16613419  99.83386581],0
s7,1,0.039797,4.226519,[44 16] ; [142  99],[37.07641196 22.92358804] ; [148.92358804  92.07641196],0
d1,1,0.060476,3.524284,[45 16] ; [154  99],[38.65923567 22.34076433] ; [160.34076433  92.65923567],0
v2,1,0.065137,3.401496,[29 30] ; [155  94],[35.24675325 23.75324675] ; [148.75324675 100.24675325],0
p3,1,0.088002,2.910549,[46 15] ; [161  91],[40.34185304 20.65814696] ; [166.65814696  85.34185304],0
v1,1,0.099293,2.716862,[32 28] ; [162  88],[37.5483871 22.4516129] ; [156.4516129  93.5483871],0
p4,1,0.113534,2.504325,[53  8] ; [196  56],[48.52715655 12.47284345] ; [200.47284345  51.52715655],0
d3,1,0.125585,2.346249,[48 12] ; [176  75],[43.21543408 16.78456592] ; [180.78456592  70.21543408],0
