Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2.1e-05,18.079918,[10 20] ; [34  7],[18.5915493 11.4084507] ; [25.4084507 15.5915493],1
a3,1,2.1e-05,18.079918,[10 20] ; [34  7],[18.5915493 11.4084507] ; [25.4084507 15.5915493],1
d1,1,0.000189,13.939305,[ 5 25] ; [25 16],[12.67605634 17.32394366] ; [17.32394366 23.67605634],1
a6,1,0.000676,11.553968,[ 9 21] ; [29 12],[16.05633803 13.94366197] ; [21.94366197 19.05633803],1
a4,1,0.000713,11.454074,[ 4 26] ; [21 19],[10.71428571 19.28571429] ; [14.28571429 25.71428571],1
d2,1,0.004972,7.889729,[ 9 21] ; [25 14],[14.7826087 15.2173913] ; [19.2173913 19.7826087],0
d4,1,0.049987,3.841893,[16 14] ; [31 10],[19.85915493 10.14084507] ; [27.14084507 13.85915493],0
p3,1,0.06422,3.424898,[ 4 26] ; [13 27],[ 7.28571429 22.71428571] ; [ 9.71428571 30.28571429],0
d3,1,0.105457,2.621008,[11 19] ; [23 18],[14.36619718 15.63380282] ; [19.63380282 21.36619718],0
s7,1,0.140374,2.17386,[ 4 25] ; [11 27],[ 6.49253731 22.50746269] ; [ 8.50746269 29.49253731],0
v3,1,0.160544,1.969096,[ 9 21] ; [ 6 32],[ 6.61764706 23.38235294] ; [ 8.38235294 29.61764706],0
a7,1,0.180193,1.796028,[12 18] ; [23 18],[14.78873239 15.21126761] ; [20.21126761 20.78873239],0
s2,1,0.190549,1.713372,[ 6 24] ; [14 27],[ 8.45070423 21.54929577] ; [11.54929577 29.45070423],0
s4,1,0.216076,1.530246,[ 7 23] ; [ 5 36],[ 5.07042254 24.92957746] ; [ 6.92957746 34.07042254],0
s3,1,0.269131,1.221169,[ 7 22] ; [15 26],[ 9.11428571 19.88571429] ; [12.88571429 28.11428571],0
b1,1,0.28794,1.129229,[13 17] ; [23 18],[15.21126761 14.78873239] ; [20.78873239 20.21126761],0
v2,1,0.288159,1.128205,[ 7 20] ; [15 24],[ 9. 18.] ; [13. 26.],0
n1,1,0.298433,1.081182,[5 4] ; [ 7 13],[3.72413793 5.27586207] ; [ 8.27586207 11.72413793],0
n4,1,0.309342,1.033485,[19 11] ; [21 20],[16.90140845 13.09859155] ; [23.09859155 17.90140845],0
p7,1,0.32407,0.97245,[ 7 23] ; [14 27],[ 8.87323944 21.12676056] ; [12.12676056 28.87323944],0
b2,1,0.342666,0.900433,[ 8 14] ; [13 13],[ 9.625 12.375] ; [11.375 14.625],0
