Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.064147,3.426773,[14 17] ; [23 62],[ 9.88793103 21.11206897] ; [27.11206897 57.88793103],0
a2,1,0.081021,3.044307,[ 2 29] ; [17 68],[ 5.07758621 25.92241379] ; [13.92241379 71.07758621],0
d5,1,0.125375,2.348859,[18 13] ; [62 23],[21.37931034  9.62068966] ; [58.62068966 26.37931034],0
u3,1,0.1262,2.338636,[9 5] ; [11 17],[6.66666667 7.33333333] ; [13.33333333 14.66666667],0
v2,1,0.127063,2.32803,[ 8 21] ; [35 45],[11.44036697 17.55963303] ; [31.55963303 48.44036697],0
a7,1,0.127463,2.323137,[16 15] ; [57 28],[19.50862069 11.49137931] ; [53.49137931 31.50862069],0
s7,1,0.1516,2.056079,[ 7 20] ; [11 68],[ 4.58490566 22.41509434] ; [13.41509434 65.58490566],0
d4,1,0.15452,2.027053,[23  7] ; [53 32],[19.82608696 10.17391304] ; [56.17391304 28.82608696],0
p7,1,0.189297,1.723077,[16 12] ; [36 48],[13. 15.] ; [39. 45.],0
a3,1,0.195886,1.672787,[17 14] ; [57 27],[19.94782609 11.05217391] ; [54.05217391 29.94782609],0
a1,1,0.210998,1.564568,[ 4 27] ; [ 5 80],[ 2.40517241 28.59482759] ; [ 6.59482759 78.40517241],0
n2,1,0.246008,1.34583,[10  4] ; [17 15],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
a8,1,0.278453,1.174626,[ 1 28] ; [ 8 73],[ 2.37272727 26.62727273] ; [ 6.62727273 74.37272727],0
b1,1,0.279878,1.167682,[14 17] ; [48 37],[16.56896552 14.43103448] ; [45.43103448 39.56896552],0
s1,1,0.297096,1.087185,[ 3 27] ; [ 4 81],[ 1.82608696 28.17391304] ; [ 5.17391304 79.82608696],0
b3,1,0.329335,0.951512,[ 4 14] ; [17 32],[ 5.64179104 12.35820896] ; [15.35820896 33.64179104],0
b2,1,0.329335,0.951512,[ 4 14] ; [17 32],[ 5.64179104 12.35820896] ; [15.35820896 33.64179104],0
