Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.026505,4.92278,[32 42] ; [19  9],[37. 37.] ; [14. 14.],0
a5,1,0.032024,4.59721,[48 26] ; [25  4],[52.44660194 21.55339806] ; [20.55339806  8.44660194],0
p7,1,0.04657,3.960864,[34 35] ; [20  8],[38.41237113 30.58762887] ; [15.58762887 12.41237113],0
v1,1,0.04778,3.917697,[33 39] ; [19  9],[37.44 34.56] ; [14.56 13.44],0
r4,1,0.060032,3.536509,[61 13] ; [28  1],[63.94174757 10.05825243] ; [25.05825243  3.94174757],0
s4,1,0.081299,3.038732,[22 50] ; [ 4 25],[18.53465347 53.46534653] ; [ 7.46534653 21.53465347],0
r1,1,0.08774,2.915356,[55 19] ; [26  3],[58.19417476 15.80582524] ; [22.80582524  6.19417476],0
n4,1,0.116675,2.46139,[46 28] ; [22  6],[49.33333333 24.66666667] ; [18.66666667  9.33333333],0
p6,1,0.118219,2.440765,[13 60] ; [ 9 19],[15.9009901 57.0990099] ; [ 6.0990099 21.9009901],0
u1,1,0.131274,2.277375,[ 9 65] ; [ 7 22],[11.49514563 62.50485437] ; [ 4.50485437 24.49514563],0
p8,1,0.135573,2.227497,[24 47] ; [14 14],[27.25252525 43.74747475] ; [10.74747475 17.25252525],0
v2,1,0.140819,2.168989,[34 35] ; [19 10],[37.31632653 31.68367347] ; [15.68367347 13.31632653],0
a7,1,0.146772,2.105479,[49 24] ; [15 14],[45.80392157 27.19607843] ; [18.19607843 10.80392157],0
d2,1,0.157957,1.993672,[34 39] ; [18 11],[37.21568627 35.78431373] ; [14.78431373 14.21568627],0
b1,1,0.172639,1.859875,[25 49] ; [14 15],[28.01941748 45.98058252] ; [10.98058252 18.01941748],0
b5,1,0.193378,1.691695,[38 36] ; [19 10],[40.95145631 33.04854369] ; [16.04854369 12.95145631],0
v3,1,0.208431,1.582293,[18 53] ; [11 18],[20.59 50.41] ; [ 8.41 20.59],0
d1,1,0.247215,1.338973,[34 40] ; [17 12],[36.6407767 37.3592233] ; [14.3592233 14.6407767],0
r3,1,0.274398,1.194628,[67  5] ; [25  4],[65.58415842  6.41584158] ; [26.41584158  2.58415842],0
b2,1,0.28606,1.138075,[18 29] ; [10  9],[19.93939394 27.06060606] ; [ 8.06060606 10.93939394],0
b3,1,0.28606,1.138075,[18 29] ; [10  9],[19.93939394 27.06060606] ; [ 8.06060606 10.93939394],0
s6,1,0.350886,0.87025,[61 13] ; [20  7],[59.34653465 14.65346535] ; [21.65346535  5.34653465],0
b4,1,0.361713,0.831935,[48 26] ; [16 13],[45.98058252 28.01941748] ; [18.01941748 10.98058252],0
v4,1,0.373655,0.791475,[65  6] ; [28  1],[66.03  4.97] ; [26.97  2.03],0
a3,1,0.381473,0.765949,[51 22] ; [22  6],[52.76237624 20.23762376] ; [20.23762376  7.76237624],0
a4,1,0.400313,0.707387,[29 45] ; [14 15],[30.89320388 43.10679612] ; [12.10679612 16.89320388],0
p2,1,0.418042,0.655813,[56 17] ; [20  9],[54.39215686 18.60784314] ; [21.60784314  7.39215686],0
a2,1,0.448347,0.574828,[13 61] ; [ 7 22],[14.36893204 59.63106796] ; [ 5.63106796 23.36893204],0
p12,1,0.465802,0.531916,[ 9 65] ; [ 2 26],[ 7.98039216 66.01960784] ; [ 3.01960784 24.98039216],0
d3,1,0.472167,0.516901,[39 35] ; [13 16],[37.3592233 36.6407767] ; [14.6407767 14.3592233],0
n3,1,0.501594,0.451561,[16  7] ; [5 1],[16.65517241  6.34482759] ; [4.34482759 1.65517241],0
n5,1,0.502434,0.449792,[47 26] ; [20  8],[48.42574257 24.57425743] ; [18.57425743  9.42574257],0
a6,1,0.507347,0.439534,[45 29] ; [15 13],[43.52941176 30.47058824] ; [16.47058824 11.52941176],0
p1,1,0.552411,0.353015,[ 7 65] ; [ 4 25],[ 7.84158416 64.15841584] ; [ 3.15841584 25.84158416],0
p5,1,0.553631,0.350853,[ 5 68] ; [ 3 26],[ 5.7254902 67.2745098] ; [ 2.2745098 26.7254902],0
p10,1,0.598268,0.277617,[57 16] ; [24  5],[57.97058824 15.02941176] ; [23.02941176  5.97058824],0
s7,1,0.625014,0.238883,[41 33] ; [14 14],[39.90196078 34.09803922] ; [15.09803922 12.90196078],0
p9,1,0.63254,0.228631,[58 13] ; [24  4],[58.80808081 12.19191919] ; [23.19191919  4.80808081],0
a1,1,0.677647,0.172787,[ 4 70] ; [ 1 28],[ 3.59223301 70.40776699] ; [ 1.40776699 27.59223301],0
s2,1,0.691358,0.15762,[49 25] ; [18 11],[48.13592233 25.86407767] ; [18.86407767 10.13592233],0
d5,1,0.694729,0.154013,[56 18] ; [23  6],[56.75728155 17.24271845] ; [22.24271845  6.75728155],0
s3,1,0.733741,0.115704,[49 22] ; [19 10],[48.28 22.72] ; [19.72  9.28],0
a8,1,0.757621,0.095238,[11 52] ; [ 4 23],[10.5 52.5] ; [ 4.5 22.5],0
