Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.489937,[15 91] ; [17 13],[24.94117647 81.05882353] ; [ 7.05882353 22.94117647],1
p7,1,9e-06,19.736043,[24 79] ; [20 10],[34.07518797 68.92481203] ; [ 9.92481203 20.07518797],1
s6,1,0.000516,12.058704,[57 48] ; [26  3],[65.03731343 39.96268657] ; [17.96268657 11.03731343],1
v1,1,0.003213,8.682302,[34 68] ; [19 11],[40.95454545 61.04545455] ; [12.04545455 17.95454545],0
p4,1,0.003444,8.555834,[29 75] ; [17 13],[35.70149254 68.29850746] ; [10.29850746 19.70149254],0
s5,1,0.003776,8.388529,[24 77] ; [15 14],[30.3 70.7] ; [ 8.7 20.3],0
s2,1,0.008919,6.839072,[38 66] ; [19 11],[44.23880597 59.76119403] ; [12.76119403 17.23880597],0
s7,1,0.009089,6.805211,[35 65] ; [18 11],[41.08527132 58.91472868] ; [11.91472868 17.08527132],0
p9,1,0.00971,6.687267,[58 43] ; [25  5],[63.99236641 37.00763359] ; [19.00763359 10.99236641],0
p3,1,0.014314,5.999036,[31 75] ; [16 14],[36.63235294 69.36764706] ; [10.36764706 19.63235294],0
v2,1,0.017393,5.656239,[46 57] ; [19  8],[51.5 51.5] ; [13.5 13.5],0
s8,1,0.020891,5.335882,[37 69] ; [17 12],[42.4 63.6] ; [11.6 17.4],0
p5,1,0.0578,3.599401,[ 6 97] ; [ 5 25],[ 8.51879699 94.48120301] ; [ 2.48120301 27.51879699],0
r4,1,0.089957,2.875134,[85 21] ; [28  2],[88.07352941 17.92647059] ; [24.92647059  5.07352941],0
p12,1,0.155159,2.020789,[  6 100] ; [ 4 26],[ 7.79411765 98.20588235] ; [ 2.20588235 27.79411765],0
u3,1,0.179733,1.799831,[20 20] ; [8 3],[21.96078431 18.03921569] ; [6.03921569 4.96078431],0
p1,1,0.323915,0.973071,[ 8 98] ; [ 4 26],[ 9.35294118 96.64705882] ; [ 2.64705882 27.35294118],0
r3,1,0.326259,0.96369,[92 14] ; [28  2],[93.52941176 12.47058824] ; [26.47058824  3.52941176],0
v3,1,0.335045,0.929298,[35 65] ; [13 16],[37.20930233 62.79069767] ; [10.79069767 18.20930233],0
p10,1,0.34714,0.883885,[63 41] ; [21  9],[65.19402985 38.80597015] ; [18.80597015 11.19402985],0
n3,1,0.349575,0.875,[23 13] ; [5 1],[24. 12.] ; [4. 2.],0
a2,1,0.361448,0.832856,[22 84] ; [ 4 26],[20.26470588 85.73529412] ; [ 5.73529412 24.26470588],0
a4,1,0.399347,0.710291,[43 61] ; [15 15],[45.01492537 58.98507463] ; [12.98507463 17.01492537],0
d4,1,0.406519,0.688957,[82 24] ; [21  9],[80.27941176 25.72058824] ; [22.72058824  7.27941176],0
b4,1,0.419076,0.652906,[62 44] ; [20 10],[63.91176471 42.08823529] ; [18.08823529 11.91176471],0
a5,1,0.435878,0.607109,[66 40] ; [21  9],[67.80882353 38.19117647] ; [19.19117647 10.80882353],0
a6,1,0.473285,0.514296,[63 43] ; [20 10],[64.69117647 41.30882353] ; [18.30882353 11.69117647],0
u1,1,0.482662,0.492842,[20 86] ; [ 4 26],[18.70588235 87.29411765] ; [ 5.29411765 24.70588235],0
u2,1,0.51965,0.414588,[17 22] ; [6 5],[17.94 21.06] ; [5.06 5.94],0
s1,1,0.538676,0.378,[ 7 98] ; [ 3 27],[ 7.77777778 97.22222222] ; [ 2.22222222 27.77777778],0
r1,1,0.571323,0.320473,[72 34] ; [22  8],[73.26470588 32.73529412] ; [20.73529412  9.26470588],0
n5,1,0.589282,0.291467,[76 30] ; [23  7],[77.16176471 28.83823529] ; [21.83823529  8.16176471],0
b2,1,0.608815,0.261905,[25 41] ; [ 7 15],[24. 42.] ; [ 8. 14.],0
b3,1,0.608815,0.261905,[25 41] ; [ 7 15],[24. 42.] ; [ 8. 14.],0
n2,1,0.611974,0.25731,[28 10] ; [5 1],[28.5  9.5] ; [4.5 1.5],0
s4,1,0.644002,0.213546,[25 79] ; [ 6 24],[24.05970149 79.94029851] ; [ 6.94029851 23.05970149],0
a8,1,0.702038,0.146361,[ 8 91] ; [ 3 26],[ 8.5078125 90.4921875] ; [ 2.4921875 26.5078125],0
d2,1,0.747663,0.103506,[52 52] ; [14 16],[51.2238806 52.7761194] ; [14.7761194 15.2238806],0
n1,1,0.757209,0.095573,[16 21] ; [3 3],[16.34883721 20.65116279] ; [2.65116279 3.34883721],0
s3,1,0.808407,0.058798,[44 60] ; [13 16],[44.57142857 59.42857143] ; [12.42857143 16.57142857],0
n4,1,0.860121,0.031053,[76 30] ; [22  8],[76.38235294 29.61764706] ; [21.61764706  8.38235294],0
d1,1,0.888635,0.019609,[55 51] ; [16 14],[55.33823529 50.66176471] ; [15.66176471 14.33823529],0
u4,1,0.90993,0.012798,[  4 102] ; [ 1 29],[  3.89705882 102.10294118] ; [ 1.10294118 28.89705882],0
a7,1,0.914954,0.011405,[66 40] ; [19 11],[66.25 39.75] ; [18.75 11.25],0
b5,1,0.914954,0.011405,[66 40] ; [19 11],[66.25 39.75] ; [18.75 11.25],0
