Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.3e-05,19.052744,[54  2] ; [16 11],[47.22891566  8.77108434] ; [22.77108434  4.22891566],1
v2,1,0.010974,6.469586,[30 20] ; [ 8 19],[24.67532468 25.32467532] ; [13.32467532 13.67532468],0
r2,1,0.021693,5.270254,[54  2] ; [22  5],[51.27710843  4.72289157] ; [24.72289157  2.27710843],0
v4,1,0.021693,5.270254,[54  2] ; [22  5],[51.27710843  4.72289157] ; [24.72289157  2.27710843],0
p10,1,0.034325,4.47844,[43 12] ; [15 12],[38.90243902 16.09756098] ; [19.09756098  7.90243902],0
a2,1,0.037388,4.332659,[12 44] ; [ 1 26],[ 8.77108434 47.22891566] ; [ 4.22891566 22.77108434],0
a7,1,0.041328,4.162509,[45 11] ; [16 11],[41.15662651 14.84337349] ; [19.84337349  7.15662651],0
d3,1,0.053801,3.718867,[41 15] ; [14 13],[37.10843373 18.89156627] ; [17.89156627  9.10843373],0
d5,1,0.055601,3.663969,[46 10] ; [17 10],[42.5060241 13.4939759] ; [20.4939759  6.5060241],0
a3,1,0.057888,3.596897,[39 17] ; [13 14],[35.08433735 20.91566265] ; [16.91566265 10.08433735],0
p11,1,0.073564,3.201642,[42 14] ; [15 12],[38.45783133 17.54216867] ; [18.54216867  8.45783133],0
s4,1,0.087691,2.916264,[11 45] ; [10 17],[14.1686747 41.8313253] ; [ 6.8313253 20.1686747],0
s2,1,0.119855,2.419215,[23 33] ; [16 11],[26.31325301 29.68674699] ; [12.68674699 14.31325301],0
n1,1,0.121335,2.4,[1 9] ; [4 6],[2.5 7.5] ; [2.5 7.5],0
p7,1,0.126464,2.335384,[45 10] ; [18  9],[42.25609756 12.74390244] ; [20.74390244  6.25609756],0
u1,1,0.146335,2.110047,[ 8 48] ; [ 1 26],[ 6.07228916 49.92771084] ; [ 2.92771084 24.07228916],0
u2,1,0.15631,2.009569,[12  4] ; [7 7],[10.13333333  5.86666667] ; [8.86666667 5.13333333],0
n3,1,0.159599,1.978022,[8 2] ; [5 5],[6.5 3.5] ; [6.5 3.5],0
p9,1,0.163738,1.939356,[46  9] ; [19  8],[43.59756098 11.40243902] ; [21.40243902  5.59756098],0
a4,1,0.163961,1.937307,[21 35] ; [ 6 21],[18.21686747 37.78313253] ; [ 8.78313253 18.21686747],0
p2,1,0.210315,1.569259,[47  8] ; [20  7],[44.93902439 10.06097561] ; [22.06097561  4.93902439],0
p8,1,0.212424,1.554831,[37 19] ; [14 13],[34.40963855 21.59036145] ; [16.59036145 10.40963855],0
v3,1,0.257909,1.279946,[16 35] ; [ 5 21],[13.90909091 37.09090909] ; [ 7.09090909 18.90909091],0
a5,1,0.340237,0.90954,[41 15] ; [17 10],[39.13253012 16.86746988] ; [18.86746988  8.13253012],0
r3,1,0.342959,0.899338,[53  3] ; [24  3],[51.95180723  4.04819277] ; [25.04819277  1.95180723],0
n6,1,0.34457,0.893356,[35 20] ; [20  7],[36.8902439 18.1097561] ; [18.1097561  8.8902439],0
