Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.152706,[107  37] ; [ 3 27],[91.03448276 52.96551724] ; [18.96551724 11.03448276],1
v4,1,0.0,29.571231,[124  18] ; [13 17],[113.10465116  28.89534884] ; [23.89534884  6.10465116],1
u3,1,0.000493,12.142437,[33 27] ; [ 1 15],[26.84210526 33.15789474] ; [7.15789474 8.84210526],1
a6,1,0.000886,11.052622,[95 49] ; [10 20],[86.89655172 57.10344828] ; [18.10344828 11.89655172],1
r3,1,0.002375,9.234848,[117  27] ; [16 13],[110.70520231  33.29479769] ; [22.29479769  6.70520231],0
d5,1,0.002401,9.214446,[99 44] ; [12 18],[91.75144509 51.24855491] ; [19.24855491 10.75144509],0
r1,1,0.003248,8.662447,[85 58] ; [ 9 21],[77.69942197 65.30057803] ; [16.30057803 13.69942197],0
d1,1,0.005679,7.649313,[63 81] ; [ 5 25],[56.27586207 87.72413793] ; [11.72413793 18.27586207],0
p11,1,0.005782,7.617011,[92 52] ; [11 19],[85.24137931 58.75862069] ; [17.75862069 12.24137931],0
n4,1,0.009841,6.663402,[94 50] ; [12 18],[87.72413793 56.27586207] ; [18.27586207 11.72413793],0
d2,1,0.013358,6.121068,[63 79] ; [ 6 24],[56.96511628 85.03488372] ; [12.03488372 17.96511628],0
p10,1,0.013405,6.114819,[87 55] ; [11 19],[80.90697674 61.09302326] ; [17.09302326 12.90697674],0
p8,1,0.015208,5.892185,[53 90] ; [ 4 25],[47.38953488 95.61046512] ; [ 9.61046512 19.38953488],0
b1,1,0.022827,5.181618,[54 90] ; [18 12],[59.5862069 84.4137931] ; [12.4137931 17.5862069],0
a5,1,0.030131,4.701825,[84 60] ; [11 19],[78.62068966 65.37931034] ; [16.37931034 13.62068966],0
d3,1,0.035279,4.431609,[82 60] ; [11 19],[76.77906977 65.22093023] ; [16.22093023 13.77906977],0
v1,1,0.047903,3.913389,[44 97] ; [ 4 26],[ 39.57894737 101.42105263] ; [ 8.42105263 21.57894737],0
a7,1,0.049931,3.843778,[94 49] ; [14 16],[89.2716763 53.7283237] ; [18.7283237 11.2716763],0
p6,1,0.056292,3.643397,[ 32 111] ; [ 2 27],[ 28.26744186 114.73255814] ; [ 5.73255814 23.26744186],0
p3,1,0.067912,3.332788,[48 95] ; [ 5 25],[43.80924855 99.19075145] ; [ 9.19075145 20.80924855],0
b4,1,0.072636,3.222416,[75 69] ; [21  9],[79.44827586 64.55172414] ; [16.55172414 13.44827586],0
v3,1,0.080331,3.058184,[ 21 117] ; [ 1 29],[ 18.07142857 119.92857143] ; [ 3.92857143 26.07142857],0
u2,1,0.146149,2.111991,[31 29] ; [ 5 11],[28.42105263 31.57894737] ; [7.57894737 8.42105263],0
