Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.023254,5.149425,[4 2] ; [ 6 23],[1.71428571 4.28571429] ; [ 8.28571429 20.71428571],0
a6,1,0.116623,2.462095,[1 5] ; [15 14],[2.74285714 3.25714286] ; [13.25714286 15.74285714],0
p9,1,0.162111,1.954422,[4 2] ; [10 18],[2.47058824 3.52941176] ; [11.52941176 16.47058824],0
p7,1,0.166994,1.909722,[3 3] ; [ 6 21],[1.63636364 4.36363636] ; [ 7.36363636 19.63636364],0
a3,1,0.178872,1.806973,[5 1] ; [15 13],[3.52941176 2.47058824] ; [16.47058824 11.52941176],0
n5,1,0.195424,1.676245,[2 4] ; [18 11],[3.42857143 2.57142857] ; [16.57142857 12.42857143],0
d3,1,0.195424,1.676245,[4 2] ; [11 18],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
a8,1,0.216037,1.530506,[1 5] ; [ 1 27],[0.35294118 5.64705882] ; [ 1.64705882 26.35294118],0
s3,1,0.222605,1.4875,[3 3] ; [ 7 21],[1.76470588 4.23529412] ; [ 8.23529412 19.76470588],0
r2,1,0.230918,1.4352,[5 1] ; [16 12],[3.70588235 2.29411765] ; [17.29411765 10.70588235],0
p10,1,0.30859,1.036702,[3 3] ; [ 8 20],[1.94117647 4.05882353] ; [ 9.05882353 18.94117647],0
a7,1,0.329919,0.949215,[4 2] ; [13 16],[2.91428571 3.08571429] ; [14.08571429 14.91428571],0
v1,1,0.372994,0.793666,[3 3] ; [ 9 20],[2.05714286 3.94285714] ; [ 9.94285714 19.05714286],0
d5,1,0.411963,0.673127,[4 2] ; [14 15],[3.08571429 2.91428571] ; [14.91428571 14.08571429],0
s1,1,0.436471,0.605544,[1 5] ; [ 2 27],[0.51428571 5.48571429] ; [ 2.48571429 26.51428571],0
s2,1,0.436471,0.605544,[1 5] ; [ 2 27],[0.51428571 5.48571429] ; [ 2.48571429 26.51428571],0
b4,1,0.503623,0.447293,[4 2] ; [15 14],[3.25714286 2.74285714] ; [15.74285714 13.25714286],0
n4,1,0.503623,0.447293,[4 2] ; [15 14],[3.25714286 2.74285714] ; [15.74285714 13.25714286],0
b5,1,0.582804,0.301724,[3 3] ; [11 18],[2.4 3.6] ; [11.6 17.4],0
d2,1,0.582804,0.301724,[3 3] ; [11 18],[2.4 3.6] ; [11.6 17.4],0
b2,1,0.59256,0.286364,[1 2] ; [9 9],[1.42857143 1.57142857] ; [8.57142857 9.42857143],0
b3,1,0.59256,0.286364,[1 2] ; [9 9],[1.42857143 1.57142857] ; [8.57142857 9.42857143],0
a4,1,0.604542,0.268199,[2 4] ; [13 16],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
s5,1,0.657738,0.196283,[1 5] ; [ 3 26],[0.68571429 5.31428571] ; [ 3.31428571 25.68571429],0
p1,1,0.657738,0.196283,[1 5] ; [ 3 26],[0.68571429 5.31428571] ; [ 3.31428571 25.68571429],0
v4,1,0.697713,0.150862,[3 3] ; [12 17],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
a5,1,0.697713,0.150862,[3 3] ; [12 17],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
r1,1,0.776675,0.08046,[2 4] ; [ 8 21],[1.71428571 4.28571429] ; [ 8.28571429 20.71428571],0
v3,1,0.822564,0.050287,[1 5] ; [ 6 23],[1.2 4.8] ; [ 5.8 23.2],0
s4,1,0.854721,0.033525,[1 5] ; [ 4 25],[0.85714286 5.14285714] ; [ 4.14285714 24.85714286],0
s6,1,0.854721,0.033525,[1 5] ; [ 4 25],[0.85714286 5.14285714] ; [ 4.14285714 24.85714286],0
p8,1,0.881208,0.022332,[1 5] ; [ 4 24],[0.88235294 5.11764706] ; [ 4.11764706 23.88235294],0
p2,1,0.956941,0.002915,[2 4] ; [10 19],[2.05714286 3.94285714] ; [ 9.94285714 19.05714286],0
b1,1,0.956941,0.002915,[4 2] ; [19 10],[3.94285714 2.05714286] ; [19.05714286  9.94285714],0
