Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.7e-05,16.545801,[10 53] ; [25 23],[19.86486486 43.13513514] ; [15.13513514 32.86486486],1
v1,1,0.000433,12.385185,[22 44] ; [32 16],[31.26315789 34.73684211] ; [22.73684211 25.26315789],1
b1,1,0.051935,3.777862,[33 33] ; [16 34],[27.87931034 38.12068966] ; [21.12068966 28.87931034],0
p11,1,0.055183,3.676536,[42 24] ; [40 10],[46.65517241 19.34482759] ; [35.34482759 14.65517241],0
s8,1,0.10697,2.598425,[27 39] ; [28 22],[31.29310345 34.70689655] ; [23.70689655 26.29310345],0
s1,1,0.119235,2.427335,[ 6 59] ; [ 1 47],[ 4.02654867 60.97345133] ; [ 2.97345133 45.02654867],0
a4,1,0.151123,2.060883,[ 9 57] ; [12 38],[11.94827586 54.05172414] ; [ 9.05172414 40.94827586],0
p7,1,0.168818,1.893408,[38 24] ; [34 12],[41.33333333 20.66666667] ; [30.66666667 15.33333333],0
n5,1,0.172696,1.859386,[45 21] ; [39 10],[48.20869565 17.79130435] ; [35.79130435 13.20869565],0
u2,1,0.196706,1.666667,[24 12] ; [12 12],[21.6 14.4] ; [14.4  9.6],0
p6,1,0.207596,1.58811,[21 45] ; [20 26],[24.16071429 41.83928571] ; [16.83928571 29.16071429],0
p10,1,0.20879,1.579799,[49 16] ; [40  7],[51.65178571 13.34821429] ; [37.34821429  9.65178571],0
p12,1,0.210594,1.56734,[ 2 64] ; [ 4 44],[ 3.47368421 62.52631579] ; [ 2.52631579 45.47368421],0
s6,1,0.223774,1.480002,[50 16] ; [40  7],[52.56637168 13.43362832] ; [37.43362832  9.56637168],0
u3,1,0.228951,1.447368,[25 11] ; [13 11],[22.8 13.2] ; [15.2  8.8],0
d1,1,0.240986,1.374815,[22 44] ; [22 28],[25.03448276 40.96551724] ; [18.96551724 31.03448276],0
p4,1,0.25837,1.277471,[38 28] ; [23 26],[35.00869565 30.99130435] ; [25.99130435 23.00869565],0
a7,1,0.284521,1.145369,[46 19] ; [30 19],[43.33333333 21.66666667] ; [32.66666667 16.33333333],0
r3,1,0.288406,1.127046,[61  4] ; [48  1],[62.14912281  2.85087719] ; [46.85087719  2.14912281],0
b5,1,0.338533,0.915977,[44 22] ; [29 21],[41.53448276 24.46551724] ; [31.46551724 18.53448276],0
r1,1,0.355349,0.854263,[45 21] ; [38 12],[47.22413793 18.77586207] ; [35.77586207 14.22413793],0
d5,1,0.364671,0.821745,[43 22] ; [37 13],[45.2173913 19.7826087] ; [34.7826087 15.2173913],0
p3,1,0.36553,0.818803,[27 39] ; [16 33],[24.67826087 41.32173913] ; [18.32173913 30.67826087],0
a3,1,0.389233,0.741336,[29 37] ; [26 24],[31.29310345 34.70689655] ; [23.70689655 26.29310345],0
d2,1,0.397521,0.715813,[14 52] ; [14 36],[15.93103448 50.06896552] ; [12.06896552 37.93103448],0
r4,1,0.421158,0.647081,[53 13] ; [43  7],[54.62068966 11.37931034] ; [41.37931034  8.62068966],0
v4,1,0.426627,0.631989,[60  5] ; [47  2],[61.00877193  3.99122807] ; [45.99122807  3.00877193],0
d4,1,0.467416,0.528077,[49 17] ; [40 10],[50.63793103 15.36206897] ; [38.36206897 11.63793103],0
b4,1,0.556886,0.345124,[36 30] ; [30 20],[37.55172414 28.44827586] ; [28.44827586 21.55172414],0
p5,1,0.586214,0.296296,[ 8 55] ; [ 8 41],[ 9. 54.] ; [ 7. 42.],0
