Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,32.979259,[34 31] ; [280  53],[51.28140704 13.71859296] ; [262.71859296  70.28140704],1
s7,1,0.0,29.086951,[24 36] ; [242  81],[41.67101828 18.32898172] ; [224.32898172  98.67101828],1
s8,1,1e-06,24.545864,[21 44] ; [216 115],[38.90151515 26.09848485] ; [198.09848485 132.90151515],1
s5,1,3e-06,21.652458,[ 8 51] ; [148 174],[24.15748031 34.84251969] ; [131.84251969 190.15748031],1
n6,1,0.000231,13.558063,[49 16] ; [302  29],[57.61363636  7.38636364] ; [293.38636364  37.61363636],1
p4,1,0.000402,12.520905,[29 36] ; [224 107],[41.52777778 23.47222222] ; [211.47222222 119.52777778],1
p9,1,0.000413,12.471824,[47 18] ; [295  37],[55.99496222  9.00503778] ; [286.00503778  45.99496222],1
v4,1,0.000416,12.457414,[56  8] ; [322   9],[61.24556962  2.75443038] ; [316.75443038  14.24556962],1
r3,1,0.001016,10.798924,[57  8] ; [321  10],[62.04545455  2.95454545] ; [315.95454545  15.04545455],0
p5,1,0.001328,10.303757,[ 1 62] ; [ 57 274],[ 9.27411168 53.72588832] ; [ 48.72588832 282.27411168],0
u3,1,0.00644,7.422846,[ 7 13] ; [50 23],[12.25806452  7.74193548] ; [44.74193548 28.25806452],0
d5,1,0.009718,6.685935,[46 19] ; [278  52],[53.3164557 11.6835443] ; [270.6835443  59.3164557],0
p8,1,0.019962,5.415171,[26 39] ; [184 146],[34.55696203 30.44303797] ; [175.44303797 154.55696203],0
a2,1,0.024903,5.030634,[10 55] ; [ 96 237],[17.31155779 47.68844221] ; [ 88.68844221 244.31155779],0
p2,1,0.034556,4.466983,[50 15] ; [289  43],[55.50377834  9.49622166] ; [283.49622166  48.50377834],0
n5,1,0.040128,4.212478,[52 13] ; [296  36],[56.97732997  8.02267003] ; [291.02267003  40.97732997],0
u1,1,0.051633,3.787608,[ 8 57] ; [ 77 256],[13.88190955 51.11809045] ; [ 71.11809045 261.88190955],0
p12,1,0.058852,3.569442,[ 3 61] ; [ 43 289],[ 7.43434343 56.56565657] ; [ 38.56565657 293.43434343],0
u2,1,0.071655,3.244702,[ 8 12] ; [45 27],[11.52173913  8.47826087] ; [41.47826087 30.52173913],0
r4,1,0.075818,3.152334,[56  9] ; [309  24],[59.61055276  5.38944724] ; [305.38944724  27.61055276],0
p6,1,0.075994,3.148563,[21 44] ; [145 183],[27.45547074 37.54452926] ; [138.54452926 189.45547074],0
p10,1,0.083962,2.986495,[50 15] ; [283  48],[54.65909091 10.34090909] ; [278.34090909  52.65909091],0
d4,1,0.08596,2.948447,[50 15] ; [282  48],[54.63291139 10.36708861] ; [277.36708861  52.63291139],0
d2,1,0.086608,2.936318,[28 37] ; [181 150],[34.30555556 30.69444444] ; [174.69444444 156.30555556],0
p7,1,0.087192,2.925475,[38 27] ; [224  99],[43.89175258 21.10824742] ; [218.10824742 104.89175258],0
b3,1,0.094667,2.793159,[21 21] ; [ 78 137],[16.17898833 25.82101167] ; [ 82.82101167 132.17898833],0
b2,1,0.094667,2.793159,[21 21] ; [ 78 137],[16.17898833 25.82101167] ; [ 82.82101167 132.17898833],0
a4,1,0.106434,2.606381,[25 40] ; [164 168],[30.94458438 34.05541562] ; [158.05541562 173.94458438],0
v1,1,0.107592,2.589239,[30 34] ; [185 135],[35.83333333 28.16666667] ; [179.16666667 140.83333333],0
a3,1,0.112509,2.518625,[45 20] ; [260  72],[49.93702771 15.06297229] ; [255.06297229  76.93702771],0
p11,1,0.135167,2.232134,[49 16] ; [277  56],[53.24120603 11.75879397] ; [272.75879397  60.24120603],0
p1,1,0.135913,2.223634,[ 3 62] ; [ 35 296],[ 6.23737374 58.76262626] ; [ 31.76262626 299.23737374],0
p3,1,0.138583,2.193624,[30 34] ; [189 143],[35.39393939 28.60606061] ; [183.60606061 148.39393939],0
d1,1,0.146877,2.104393,[36 29] ; [216 117],[41.15577889 23.84422111] ; [210.84422111 122.15577889],0
s4,1,0.157796,1.995219,[ 8 57] ; [ 65 264],[12.04314721 52.95685279] ; [ 60.95685279 268.04314721],0
r1,1,0.171328,1.871288,[51 14] ; [283  49],[54.68513854 10.31486146] ; [279.31486146  52.68513854],0
n1,1,0.248727,1.330442,[10  5] ; [29 29],[8.01369863 6.98630137] ; [30.98630137 27.01369863],0
b1,1,0.262845,1.253711,[24 41] ; [148 185],[28.09045226 36.90954774] ; [143.90954774 189.09045226],0
b5,1,0.305871,1.04842,[35 30] ; [202 131],[38.70603015 26.29396985] ; [198.29396985 134.70603015],0
