Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000597,11.785714,[21 11] ; [ 6 22],[14.4 17.6] ; [12.6 15.4],1
d4,1,0.001057,10.725446,[13 19] ; [23  5],[19.2 12.8] ; [16.8 11.2],0
u3,1,0.003932,8.315028,[ 3 11] ; [10  3],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
d3,1,0.014378,5.991153,[ 9 22] ; [17 11],[13.66101695 17.33898305] ; [12.33898305 15.66101695],0
p8,1,0.015137,5.900408,[ 3 27] ; [10 17],[ 6.84210526 23.15789474] ; [ 6.15789474 20.84210526],0
s4,1,0.033921,4.498669,[ 4 28] ; [10 18],[ 7.46666667 24.53333333] ; [ 6.53333333 21.46666667],0
a7,1,0.038434,4.285714,[12 20] ; [18 10],[16. 16.] ; [14. 14.],0
d1,1,0.044136,4.051339,[ 7 25] ; [13 15],[10.66666667 21.33333333] ; [ 9.33333333 18.66666667],0
d5,1,0.05428,3.704082,[15 17] ; [20  8],[18.66666667 13.33333333] ; [16.33333333 11.66666667],0
s7,1,0.074295,3.185487,[ 6 25] ; [11 16],[ 9.0862069 21.9137931] ; [ 7.9137931 19.0862069],0
s5,1,0.102245,2.670171,[ 3 28] ; [ 7 20],[ 5.34482759 25.65517241] ; [ 4.65517241 22.34482759],0
p3,1,0.126687,2.332635,[ 5 26] ; [ 9 18],[ 7.48275862 23.51724138] ; [ 6.51724138 20.48275862],0
s6,1,0.142163,2.154392,[ 9 23] ; [13 15],[11.73333333 20.26666667] ; [10.26666667 17.73333333],0
r3,1,0.161601,1.959184,[16 16] ; [19  9],[18.66666667 13.33333333] ; [16.33333333 11.66666667],0
n3,1,0.192373,1.699346,[12  4] ; [5 5],[10.46153846  5.53846154] ; [6.53846154 3.46153846],0
s2,1,0.235322,1.408399,[ 8 24] ; [11 17],[10.13333333 21.86666667] ; [ 8.86666667 19.13333333],0
a6,1,0.329662,0.950226,[20 12] ; [14 14],[18.13333333 13.86666667] ; [15.86666667 12.13333333],0
u2,1,0.331693,0.942278,[6 8] ; [8 5],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
p1,1,0.334922,0.929773,[ 3 29] ; [ 5 23],[ 4.26666667 27.73333333] ; [ 3.73333333 24.26666667],0
p6,1,0.399051,0.711185,[ 6 24] ; [ 8 19],[ 7.36842105 22.63157895] ; [ 6.63157895 20.36842105],0
n1,1,0.407626,0.685714,[8 6] ; [4 6],[7. 7.] ; [5. 5.],0
v1,1,0.457199,0.552744,[ 9 21] ; [11 17],[10.34482759 19.65517241] ; [ 9.65517241 18.34482759],0
s1,1,0.49404,0.467715,[ 1 30] ; [ 2 26],[ 1.57627119 29.42372881] ; [ 1.42372881 26.57627119],0
s8,1,0.557702,0.343699,[ 6 26] ; [ 7 21],[ 6.93333333 25.06666667] ; [ 6.06666667 21.93333333],0
r2,1,0.573618,0.316667,[21  9] ; [17 10],[20. 10.] ; [18.  9.],0
a1,1,0.576675,0.311641,[ 5 27] ; [ 3 25],[ 4.26666667 27.73333333] ; [ 3.73333333 24.26666667],0
a5,1,0.580069,0.306122,[16 16] ; [12 16],[14.93333333 17.06666667] ; [13.06666667 14.93333333],0
b5,1,0.580069,0.306122,[16 16] ; [16 12],[17.06666667 14.93333333] ; [14.93333333 13.06666667],0
v4,1,0.598843,0.276745,[19 12] ; [19  9],[19.96610169 11.03389831] ; [18.03389831  9.96610169],0
p2,1,0.611014,0.258702,[17 13] ; [14 14],[16.03448276 13.96551724] ; [14.96551724 13.03448276],0
