Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,36.185142,[13 72] ; [51 34],[32. 53.] ; [32. 53.],1
v1,1,0.001337,10.290598,[35 51] ; [56 30],[45.5 40.5] ; [45.5 40.5],0
d3,1,0.013432,6.111345,[51 36] ; [67 21],[58.66285714 28.33714286] ; [59.33714286 28.66285714],0
r1,1,0.027406,4.865059,[60 26] ; [73 14],[66.11560694 19.88439306] ; [66.88439306 20.11560694],0
a3,1,0.031201,4.641845,[47 39] ; [62 26],[53.87356322 32.12643678] ; [55.12643678 32.87356322],0
a5,1,0.031594,4.620366,[52 35] ; [66 22],[58.66285714 28.33714286] ; [59.33714286 28.66285714],0
r3,1,0.041421,4.158714,[77 10] ; [85  3],[80.53714286  6.46285714] ; [81.46285714  6.53714286],0
p4,1,0.057125,3.61894,[38 49] ; [50 36],[44.25433526 42.74566474] ; [43.74566474 42.25433526],0
r4,1,0.073752,3.197481,[71 16] ; [80  8],[75.06857143 11.93142857] ; [75.93142857 12.06857143],0
a6,1,0.079103,3.083227,[46 41] ; [58 30],[51.70285714 35.29714286] ; [52.29714286 35.70285714],0
d1,1,0.082374,3.017433,[40 47] ; [52 36],[45.73714286 41.26285714] ; [46.26285714 41.73714286],0
s7,1,0.176654,1.825549,[33 54] ; [40 43],[37.35882353 49.64117647] ; [35.64117647 47.35882353],0
a1,1,0.177566,1.817874,[ 1 86] ; [ 4 84],[ 2.48571429 84.51428571] ; [ 2.51428571 85.48571429],0
d4,1,0.18185,1.782436,[65 22] ; [73 15],[68.60571429 18.39428571] ; [69.39428571 18.60571429],0
b1,1,0.186707,1.743415,[35 52] ; [27 61],[30.82285714 56.17714286] ; [31.17714286 56.82285714],0
a2,1,0.197616,1.659903,[ 9 78] ; [15 73],[11.93142857 75.06857143] ; [12.06857143 75.93142857],0
u2,1,0.227549,1.456116,[17 23] ; [15 11],[19.39393939 20.60606061] ; [12.60606061 13.39393939],0
a4,1,0.243599,1.359647,[26 60] ; [34 54],[29.65517241 56.34482759] ; [30.34482759 57.65517241],0
p12,1,0.25347,1.304074,[ 2 84] ; [ 5 82],[ 3.47976879 82.52023121] ; [ 3.52023121 83.47976879],0
d5,1,0.269382,1.219889,[63 24] ; [70 18],[66.12 20.88] ; [66.88 21.12],0
u1,1,0.274709,1.193082,[ 5 82] ; [ 9 79],[ 6.96 80.04] ; [ 7.04 80.96],0
s2,1,0.354713,0.856524,[37 48] ; [44 43],[40.02906977 44.97093023] ; [40.97093023 46.02906977],0
n1,1,0.372456,0.795455,[10 10] ; [ 8 14],[ 8.57142857 11.42857143] ; [ 9.42857143 12.57142857],0
n3,1,0.379235,0.773182,[13  7] ; [17  5],[14.28571429  5.71428571] ; [15.71428571  6.28571429],0
d2,1,0.387526,0.746691,[32 55] ; [38 50],[34.8 52.2] ; [35.2 52.8],0
p5,1,0.39148,0.734341,[ 9 77] ; [ 6 82],[ 7.4137931 78.5862069] ; [ 7.5862069 80.4137931],0
s3,1,0.397197,0.716797,[39 45] ; [45 40],[41.75147929 42.24852071] ; [42.24852071 42.75147929],0
b4,1,0.407609,0.685764,[45 42] ; [51 37],[47.72571429 39.27428571] ; [48.27428571 39.72571429],0
s4,1,0.464134,0.535906,[13 72] ; [10 77],[11.36627907 73.63372093] ; [11.63372093 75.36627907],0
v4,1,0.468975,0.52439,[81  5] ; [83  3],[82.  4.] ; [82.  4.],0
b5,1,0.472731,0.515585,[56 31] ; [52 36],[53.69142857 33.30857143] ; [54.30857143 33.69142857],0
u4,1,0.567058,0.32763,[ 1 86] ; [ 2 86],[ 1.49142857 85.50857143] ; [ 1.50857143 86.49142857],0
a7,1,0.573191,0.317373,[63 24] ; [67 21],[64.62857143 22.37142857] ; [65.37142857 22.62857143],0
p7,1,0.580048,0.306157,[57 27] ; [61 24],[58.65088757 25.34911243] ; [59.34911243 25.65088757],0
p6,1,0.595271,0.282187,[32 55] ; [29 59],[30.32571429 56.67428571] ; [30.67428571 57.32571429],0
r2,1,0.608412,0.262494,[79  8] ; [79  6],[79.91860465  7.08139535] ; [78.08139535  6.91860465],0
n2,1,0.630904,0.230837,[17  4] ; [19  3],[17.58139535  3.41860465] ; [18.41860465  3.58139535],0
n5,1,0.646643,0.210158,[61 26] ; [63 23],[62.3583815 24.6416185] ; [61.6416185 24.3583815],0
b2,1,0.659658,0.193939,[14 34] ; [16 32],[15. 33.] ; [15. 33.],0
b3,1,0.659658,0.193939,[14 34] ; [16 32],[15. 33.] ; [15. 33.],0
u3,1,0.690859,0.158157,[18 22] ; [13 13],[18.78787879 21.21212121] ; [12.21212121 13.78787879],0
n6,1,0.71376,0.13455,[71 16] ; [72 14],[71.9132948 15.0867052] ; [71.0867052 14.9132948],0
s5,1,0.733281,0.11612,[23 62] ; [25 60],[24. 61.] ; [24. 61.],0
p2,1,0.772655,0.083465,[75 11] ; [78 10],[75.62068966 10.37931034] ; [77.37931034 10.62068966],0
p11,1,0.818329,0.052759,[70 17] ; [72 16],[70.59428571 16.40571429] ; [71.40571429 16.59428571],0
n4,1,0.869165,0.027132,[60 27] ; [61 26],[60.5 26.5] ; [60.5 26.5],0
p9,1,0.870901,0.026411,[70 15] ; [70 16],[69.59064327 15.40935673] ; [70.40935673 15.59064327],0
s6,1,0.880519,0.022594,[55 31] ; [54 29],[55.46745562 30.53254438] ; [53.53254438 29.46745562],0
a8,1,0.943699,0.004987,[13 67] ; [13 65],[13.16455696 66.83544304] ; [12.83544304 65.16455696],0
p1,1,0.950341,0.003879,[ 6 79] ; [ 6 82],[ 5.89595376 79.10404624] ; [ 6.10404624 81.89595376],0
s8,1,1.0,0.0,[36 51] ; [36 51],[36. 51.] ; [36. 51.],0
p10,1,1.0,0.0,[68 18] ; [68 18],[68. 18.] ; [68. 18.],0
