Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,24.307691,[101  10] ; [12 12],[92.91111111 18.08888889] ; [20.08888889  3.91111111],1
d3,1,3e-06,21.933354,[76 35] ; [ 4 20],[65.77777778 45.22222222] ; [14.22222222  9.77777778],1
d2,1,0.001066,10.708892,[64 47] ; [ 5 19],[56.73333333 54.26666667] ; [12.26666667 11.73333333],0
a3,1,0.002213,9.364235,[88 22] ; [12 12],[82.08955224 27.91044776] ; [17.91044776  6.08955224],0
a5,1,0.084142,2.983017,[84 27] ; [14 10],[80.57777778 30.42222222] ; [17.42222222  6.57777778],0
a4,1,0.096691,2.759291,[53 58] ; [ 7 17],[49.33333333 61.66666667] ; [10.66666667 13.33333333],0
p8,1,0.101536,2.68125,[39 69] ; [13 11],[42.54545455 65.45454545] ; [ 9.45454545 14.54545455],0
a2,1,0.115075,2.483108,[25 86] ; [ 2 22],[22.2 88.8] ; [ 4.8 19.2],0
v3,1,0.162944,1.946691,[52 54] ; [ 8 16],[48.92307692 57.07692308] ; [11.07692308 12.92307692],0
a6,1,0.183613,1.768133,[71 39] ; [12 12],[68.13432836 41.86567164] ; [14.86567164  9.13432836],0
s1,1,0.193164,1.693322,[  3 106] ; [ 2 22],[  4.09774436 104.90225564] ; [ 0.90225564 23.09774436],0
v2,1,0.194142,1.685901,[68 37] ; [11 11],[65.31496063 39.68503937] ; [13.68503937  8.31496063],0
p10,1,0.261954,1.258401,[89 19] ; [22  2],[90.81818182 17.18181818] ; [20.18181818  3.81818182],0
b2,1,0.295116,1.096134,[32 42] ; [ 5 12],[30.08791209 43.91208791] ; [ 6.91208791 10.08791209],0
b3,1,0.295116,1.096134,[32 42] ; [ 5 12],[30.08791209 43.91208791] ; [ 6.91208791 10.08791209],0
u2,1,0.297156,1.086913,[15  7] ; [6 6],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
r2,1,0.318994,0.993067,[105   4] ; [22  2],[104.08270677   4.91729323] ; [22.91729323  1.08270677],0
p11,1,0.371318,0.799249,[83 28] ; [20  4],[84.68888889 26.31111111] ; [18.31111111  5.68888889],0
s6,1,0.383094,0.760751,[87 22] ; [21  3],[88.5112782 20.4887218] ; [19.4887218  4.5112782],0
p1,1,0.390102,0.738624,[  8 103] ; [ 3 21],[  9.04444444 101.95555556] ; [ 1.95555556 22.04444444],0
s7,1,0.402833,0.699853,[81 27] ; [16  8],[79.36363636 28.63636364] ; [17.63636364  6.36363636],0
p7,1,0.419452,0.65185,[55 48] ; [15  9],[56.77165354 46.22834646] ; [13.22834646 10.77165354],0
r4,1,0.431698,0.618251,[101  10] ; [23  1],[101.95555556   9.04444444] ; [22.04444444  1.95555556],0
s5,1,0.44889,0.573453,[43 60] ; [ 8 16],[41.36220472 61.63779528] ; [ 9.63779528 14.36220472],0
n4,1,0.502612,0.449416,[85 25] ; [17  7],[83.73134328 26.26865672] ; [18.26865672  5.73134328],0
n6,1,0.503603,0.447335,[90 20] ; [21  3],[91.11940299 18.88059701] ; [19.88059701  4.11940299],0
r1,1,0.522612,0.408735,[93 18] ; [18  5],[91.94776119 19.05223881] ; [19.05223881  3.94776119],0
p12,1,0.568856,0.324601,[  8 100] ; [ 1 23],[  7.36363636 100.63636364] ; [ 1.63636364 22.36363636],0
p3,1,0.57163,0.319963,[35 76] ; [ 9 15],[36.17777778 74.82222222] ; [ 7.82222222 16.17777778],0
u1,1,0.578666,0.308396,[19 92] ; [ 3 21],[18.08888889 92.91111111] ; [ 3.91111111 20.08888889],0
n1,1,0.631299,0.230303,[16 17] ; [3 2],[16.5 16.5] ; [2.5 2.5],0
a7,1,0.632981,0.228041,[75 36] ; [15  9],[74. 37.] ; [16.  8.],0
n5,1,0.633595,0.227217,[78 31] ; [16  8],[77.03759398 31.96240602] ; [16.96240602  7.03759398],0
a8,1,0.649183,0.206932,[18 84] ; [ 3 19],[17.27419355 84.72580645] ; [ 3.72580645 18.27419355],0
p6,1,0.666583,0.185625,[27 81] ; [ 5 19],[26.18181818 81.81818182] ; [ 5.81818182 18.18181818],0
b1,1,0.754073,0.09814,[47 64] ; [11 13],[47.68888889 63.31111111] ; [10.31111111 13.68888889],0
s4,1,0.762568,0.091271,[20 90] ; [ 5 19],[20.52238806 89.47761194] ; [ 4.47761194 19.52238806],0
p2,1,0.770596,0.085028,[80 31] ; [18  6],[80.57777778 30.42222222] ; [17.42222222  6.57777778],0
s2,1,0.82629,0.048164,[72 39] ; [15  9],[71.53333333 39.46666667] ; [15.46666667  8.53333333],0
b5,1,0.854167,0.033784,[67 44] ; [14 10],[66.6 44.4] ; [14.4  9.6],0
p9,1,0.87009,0.026747,[94 15] ; [21  3],[94.2481203 14.7518797] ; [20.7518797  3.2481203],0
b4,1,0.879968,0.022804,[62 49] ; [13 11],[61.66666667 49.33333333] ; [13.33333333 10.66666667],0
s3,1,0.902615,0.014972,[80 31] ; [17  7],[79.75555556 31.24444444] ; [17.24444444  6.75555556],0
v1,1,0.913086,0.011913,[57 50] ; [12 10],[57.23255814 49.76744186] ; [11.76744186 10.23255814],0
p5,1,0.935206,0.006609,[  5 105] ; [ 1 23],[  4.92537313 105.07462687] ; [ 1.07462687 22.92537313],0
r3,1,0.941947,0.005303,[106   5] ; [23  1],[106.06666667   4.93333333] ; [22.93333333  1.06666667],0
u3,1,0.944322,0.004877,[17  6] ; [9 3],[17.08571429  5.91428571] ; [8.91428571 3.08571429],0
