Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.336085,[3 7] ; [59  6],[8.26666667 1.73333333] ; [53.73333333 11.26666667],1
r2,1,0.000559,11.906265,[4 5] ; [59  7],[7.56 1.44] ; [55.44 10.56],1
n2,1,0.004974,7.888696,[1 4] ; [19  4],[3.57142857 1.42857143] ; [16.42857143  6.57142857],0
s6,1,0.011079,6.452637,[1 9] ; [34 30],[4.72972973 5.27027027] ; [30.27027027 33.72972973],0
r1,1,0.014513,5.974649,[3 7] ; [46 20],[6.44736842 3.55263158] ; [42.55263158 23.44736842],0
v2,1,0.020274,5.388184,[1 9] ; [31 32],[4.38356164 5.61643836] ; [27.61643836 35.38356164],0
p9,1,0.112123,2.524038,[3 7] ; [37 28],[5.33333333 4.66666667] ; [34.66666667 30.33333333],0
d5,1,0.127062,2.328038,[4 6] ; [43 23],[6.18421053 3.81578947] ; [40.81578947 25.18421053],0
p11,1,0.154152,2.030672,[4 6] ; [42 24],[6.05263158 3.94736842] ; [39.94736842 26.05263158],0
b1,1,0.174667,1.842424,[7 3] ; [31 35],[5. 5.] ; [33. 33.],0
d1,1,0.204645,1.608911,[2 8] ; [27 39],[3.81578947 6.18421053] ; [25.18421053 40.81578947],0
n1,1,0.254478,1.298551,[1 4] ; [11 12],[2.14285714 2.85714286] ; [ 9.85714286 13.14285714],0
a5,1,0.256355,1.288334,[4 6] ; [39 27],[5.65789474 4.34210526] ; [37.34210526 28.65789474],0
a6,1,0.270952,1.21192,[2 8] ; [25 41],[3.55263158 6.44736842] ; [23.44736842 42.55263158],0
p10,1,0.29544,1.094664,[3 7] ; [31 34],[4.53333333 5.46666667] ; [29.46666667 35.53333333],0
u3,1,0.316079,1.005103,[1 3] ; [15 14],[1.93939394 2.06060606] ; [14.06060606 14.93939394],0
d4,1,0.347946,0.880934,[6 4] ; [49 17],[7.23684211 2.76315789] ; [47.76315789 18.23684211],0
s3,1,0.382511,0.762616,[3 5] ; [35 30],[4.16438356 3.83561644] ; [33.83561644 31.16438356],0
u2,1,0.45195,0.565757,[3 1] ; [16 13],[2.3030303 1.6969697] ; [16.6969697 12.3030303],0
d2,1,0.456266,0.555039,[3 7] ; [28 38],[4.07894737 5.92105263] ; [26.92105263 39.07894737],0
b4,1,0.464915,0.534036,[5 5] ; [41 25],[6.05263158 3.94736842] ; [39.94736842 26.05263158],0
n6,1,0.497341,0.460606,[4 6] ; [34 32],[5. 5.] ; [33. 33.],0
s2,1,0.510731,0.432569,[3 7] ; [27 39],[3.94736842 6.05263158] ; [26.05263158 39.94736842],0
v1,1,0.545499,0.365442,[3 7] ; [26 39],[3.86666667 6.13333333] ; [25.13333333 39.86666667],0
p7,1,0.55547,0.347609,[6 4] ; [33 33],[5.13157895 4.86842105] ; [33.86842105 32.13157895],0
n4,1,0.587401,0.294421,[5 5] ; [27 39],[4.21052632 5.78947368] ; [27.78947368 38.21052632],0
s1,1,0.639593,0.219274,[1 9] ; [ 4 62],[0.65789474 9.34210526] ; [ 4.34210526 61.65789474],0
p8,1,0.739069,0.110947,[3 7] ; [23 42],[3.46666667 6.53333333] ; [22.53333333 42.46666667],0
n3,1,0.778244,0.079303,[3 2] ; [14  7],[3.26923077 1.73076923] ; [13.73076923  7.26923077],0
d3,1,0.788131,0.07222,[5 5] ; [30 36],[4.60526316 5.39473684] ; [30.39473684 35.60526316],0
p2,1,0.814817,0.054857,[6 4] ; [37 29],[5.65789474 4.34210526] ; [37.34210526 28.65789474],0
a4,1,0.814817,0.054857,[4 6] ; [29 37],[4.34210526 5.65789474] ; [28.65789474 37.34210526],0
s4,1,0.847063,0.037197,[2 8] ; [15 51],[2.23684211 7.76315789] ; [14.76315789 51.23684211],0
b2,1,0.850456,0.035546,[2 3] ; [15 27],[1.80851064 3.19148936] ; [15.19148936 26.80851064],0
b3,1,0.850456,0.035546,[2 3] ; [15 27],[1.80851064 3.19148936] ; [15.19148936 26.80851064],0
a3,1,0.854684,0.033542,[6 4] ; [37 28],[5.73333333 4.26666667] ; [37.26666667 27.73333333],0
v3,1,0.88535,0.020791,[2 8] ; [13 46],[2.17391304 7.82608696] ; [12.82608696 46.17391304],0
p4,1,0.925901,0.00865,[4 6] ; [25 40],[3.86666667 6.13333333] ; [25.13333333 39.86666667],0
p1,1,0.926187,0.008583,[1 9] ; [ 6 60],[0.92105263 9.07894737] ; [ 6.07894737 59.92105263],0
b5,1,0.928819,0.00798,[5 5] ; [34 32],[5.13157895 4.86842105] ; [33.86842105 32.13157895],0
p3,1,0.956527,0.002972,[4 6] ; [27 39],[4.07894737 5.92105263] ; [26.92105263 39.07894737],0
