Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.578465,[ 45 116] ; [129 115],[69.17037037 91.82962963] ; [104.82962963 139.17037037],1
v2,1,1.9e-05,18.327928,[79 81] ; [174  73],[99.45945946 60.54054054] ; [153.54054054  93.45945946],1
n6,1,0.000143,14.457464,[130  33] ; [232  19],[142.52657005  20.47342995] ; [219.47342995  31.52657005],1
n5,1,0.000375,12.654817,[118  45] ; [217  34],[131.89613527  31.10386473] ; [203.10386473  47.89613527],1
s8,1,0.001398,10.207893,[69 94] ; [146 104],[84.85472155 78.14527845] ; [130.14527845 119.85472155],0
r4,1,0.002908,8.864227,[142  22] ; [240  13],[150.23501199  13.76498801] ; [231.76498801  21.23501199],0
p8,1,0.004589,8.034668,[94 69] ; [178  72],[107.35108959  55.64891041] ; [164.64891041  85.35108959],0
p10,1,0.005895,7.58205,[132  31] ; [226  24],[141.29297821  21.70702179] ; [216.70702179  33.29297821],0
b5,1,0.007508,7.147245,[80 84] ; [157  96],[93.20863309 70.79136691] ; [143.79136691 109.20863309],0
p11,1,0.010215,6.597095,[126  38] ; [219  34],[135.68345324  28.31654676] ; [209.31654676  43.68345324],0
n4,1,0.010773,6.502464,[126  38] ; [218  34],[135.61538462  28.38461538] ; [208.38461538  43.61538462],0
p9,1,0.012363,6.258112,[138  26] ; [231  20],[145.82168675  18.17831325] ; [223.17831325  27.82168675],0
d1,1,0.021445,5.290226,[106  58] ; [190  63],[116.41247002  47.58752998] ; [179.58752998  73.41247002],0
s1,1,0.029734,4.724605,[ 10 154] ; [  5 244],[  5.95641646 158.04358354] ; [  9.04358354 239.95641646],0
p6,1,0.031251,4.639127,[71 92] ; [136 114],[81.69733656 81.30266344] ; [125.30266344 124.69733656],0
p2,1,0.032191,4.588278,[141  22] ; [234  18],[147.28915663  15.71084337] ; [227.71084337  24.28915663],0
r1,1,0.032397,4.577381,[131  32] ; [221  30],[138.58937198  24.41062802] ; [213.41062802  37.58937198],0
n2,1,0.036022,4.396044,[27 16] ; [31  6],[31.175 11.825] ; [26.825 10.175],0
u1,1,0.037112,4.345271,[ 33 131] ; [ 74 179],[ 42.08153477 121.91846523] ; [ 64.91846523 188.08153477],0
u4,1,0.037464,4.329182,[  1 163] ; [ 10 243],[  4.32613909 159.67386091] ; [  6.67386091 246.32613909],0
r3,1,0.05062,3.820813,[151  12] ; [245   8],[155.16346154   7.83653846] ; [240.83653846  12.16346154],0
a7,1,0.067911,3.332814,[119  45] ; [203  50],[126.63788969  37.36211031] ; [195.36211031  57.63788969],0
a3,1,0.081738,3.029991,[124  40] ; [209  44],[130.96402878  33.03597122] ; [202.03597122  50.96402878],0
v4,1,0.085337,2.960204,[151  12] ; [243   9],[154.75180723   8.24819277] ; [239.24819277  12.75180723],0
d5,1,0.088198,2.906963,[137  27] ; [225  27],[142.71153846  21.28846154] ; [219.28846154  32.71153846],0
a8,1,0.091357,2.850304,[ 14 136] ; [ 34 188],[ 19.35483871 130.64516129] ; [ 28.64516129 193.35483871],0
p7,1,0.101862,2.676145,[115  48] ; [195  56],[122.0531401  40.9468599] ; [187.9468599  63.0531401],0
a2,1,0.12124,2.401227,[ 47 117] ; [ 91 162],[ 54.27338129 109.72661871] ; [ 83.72661871 169.27338129],0
u2,1,0.124885,2.35496,[26 13] ; [22 22],[22.55421687 16.44578313] ; [25.44578313 18.55421687],0
s4,1,0.133048,2.256573,[ 35 128] ; [ 39 210],[ 29.27669903 133.72330097] ; [ 44.72330097 204.27669903],0
s5,1,0.141169,2.165175,[ 58 101] ; [107 137],[65.09925558 93.90074442] ; [ 99.90074442 144.09925558],0
p12,1,0.192787,1.696193,[ 13 151] ; [ 30 222],[ 16.95192308 147.04807692] ; [ 26.04807692 225.95192308],0
r2,1,0.199648,1.644948,[150  11] ; [241  10],[152.79368932   8.20631068] ; [238.20631068  12.79368932],0
s2,1,0.206477,1.595956,[87 76] ; [148 100],[93.19951338 69.80048662] ; [141.80048662 106.19951338],0
d3,1,0.211682,1.559886,[121  43] ; [200  53],[126.24460432  37.75539568] ; [194.75539568  58.24460432],0
d2,1,0.222213,1.490022,[93 71] ; [158  94],[98.95192308 65.04807692] ; [152.04807692  99.95192308],0
p3,1,0.254643,1.29765,[106  57] ; [178  75],[111.27884615  51.72115385] ; [172.72115385  80.27884615],0
p5,1,0.256418,1.287995,[ 21 142] ; [ 43 210],[ 25.07692308 137.92307692] ; [ 38.92307692 214.07692308],0
