Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,34.836085,[17 47] ; [185  92],[37.91202346 26.08797654] ; [164.08797654 112.91202346],1
d1,1,2e-06,22.634697,[28 36] ; [206  71],[43.91788856 20.08211144] ; [190.08211144  86.91788856],1
a4,1,4e-06,21.507086,[15 49] ; [154 123],[31.71847507 32.28152493] ; [137.28152493 139.71847507],1
a3,1,1e-05,19.461251,[39 25] ; [235  41],[51.57647059 12.42352941] ; [222.42352941  53.57647059],1
u1,1,2.2e-05,17.980818,[ 3 61] ; [ 84 193],[16.32844575 47.67155425] ; [ 70.67155425 206.32844575],1
p9,1,0.000386,12.599098,[49 13] ; [257  18],[56.29673591  5.70326409] ; [249.70326409  25.29673591],1
d4,1,0.002052,9.502443,[48 16] ; [247  29],[55.52941176  8.47058824] ; [239.47058824  36.52941176],0
n4,1,0.002939,8.845014,[46 18] ; [240  36],[53.83529412 10.16470588] ; [232.16470588  43.83529412],0
a6,1,0.005846,7.597024,[34 30] ; [196  80],[43.29411765 20.70588235] ; [186.70588235  89.29411765],0
b3,1,0.008252,6.977859,[10 29] ; [94 99],[17.48275862 21.51724138] ; [ 86.51724138 106.48275862],0
b2,1,0.008252,6.977859,[10 29] ; [94 99],[17.48275862 21.51724138] ; [ 86.51724138 106.48275862],0
p7,1,0.012614,6.222387,[36 27] ; [196  72],[44.1570997 18.8429003] ; [187.8429003  80.1570997],0
p3,1,0.01371,6.07511,[28 36] ; [168 109],[36.78592375 27.21407625] ; [159.21407625 117.78592375],0
s5,1,0.022818,5.182276,[19 40] ; [130 138],[26.88379205 32.11620795] ; [122.11620795 145.88379205],0
d5,1,0.023587,5.12473,[50 14] ; [245  31],[55.52941176  8.47058824] ; [239.47058824  36.52941176],0
p11,1,0.03038,4.687681,[45 19] ; [228  49],[51.23753666 12.76246334] ; [221.76246334  55.23753666],0
v1,1,0.031889,4.604439,[32 30] ; [178  91],[39.33534743 22.66465257] ; [170.66465257  98.33534743],0
r4,1,0.045573,3.997298,[60  4] ; [272   5],[62.31085044  1.68914956] ; [269.68914956   7.31085044],0
p10,1,0.055259,3.674259,[50 12] ; [246  29],[54.45697329  7.54302671] ; [241.54302671  33.45697329],0
v2,1,0.059916,3.53972,[31 29] ; [174  95],[37.38601824 22.61398176] ; [167.61398176 101.38601824],0
p4,1,0.070837,3.263519,[37 27] ; [192  84],[43.10588235 20.89411765] ; [185.89411765  90.10588235],0
d3,1,0.084183,2.982243,[41 23] ; [207  70],[46.54545455 17.45454545] ; [201.45454545  75.54545455],0
p8,1,0.095046,2.786763,[32 32] ; [167 105],[37.9047619 26.0952381] ; [161.0952381 110.9047619],0
n6,1,0.113644,2.502807,[53 11] ; [247  28],[56.63716814  7.36283186] ; [243.36283186  31.63716814],0
p1,1,0.12965,2.296696,[ 9 55] ; [ 22 253],[ 5.85250737 58.14749263] ; [ 25.14749263 249.85250737],0
r2,1,0.131949,2.269424,[60  4] ; [268   7],[61.92330383  2.07669617] ; [266.07669617   8.92330383],0
v4,1,0.169722,1.885394,[61  3] ; [272   5],[62.49853372  1.50146628] ; [270.50146628   6.49853372],0
b1,1,0.221126,1.497047,[31 33] ; [111 166],[26.65102639 37.34897361] ; [115.34897361 161.65102639],0
p6,1,0.233026,1.422296,[24 39] ; [128 148],[28.24778761 34.75221239] ; [123.75221239 152.24778761],0
b4,1,0.242171,1.367912,[33 31] ; [165 112],[37.16129032 26.83870968] ; [160.83870968 116.16129032],0
s3,1,0.242803,1.364243,[50 13] ; [197  76],[46.3125 16.6875] ; [200.6875  72.3125],0
p12,1,0.25472,1.297227,[ 5 58] ; [ 36 238],[ 7.66468843 55.33531157] ; [ 33.33531157 240.66468843],0
u4,1,0.255274,1.29421,[ 1 63] ; [ 13 264],[ 2.62756598 61.37243402] ; [ 11.37243402 265.62756598],0
n5,1,0.267744,1.228271,[49 15] ; [227  48],[52.10619469 11.89380531] ; [223.89380531  51.10619469],0
r3,1,0.355863,0.852441,[61  3] ; [270   7],[62.12316716  1.87683284] ; [268.87683284   8.12316716],0
a7,1,0.38127,0.766605,[42 21] ; [200  77],[44.84117647 18.15882353] ; [197.15882353  79.84117647],0
a1,1,0.392615,0.730828,[ 2 62] ; [ 16 261],[ 3.37829912 60.62170088] ; [ 14.62170088 262.37829912],0
