Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,36.16593,[239  14] ; [5 6],[233.83333333  19.16666667] ; [10.16666667  0.83333333],1
r3,1,3e-06,22.045549,[237  16] ; [6 5],[232.875  20.125] ; [10.125  0.875],1
a1,1,0.005687,7.647008,[  7 247] ; [2 9],[  8.62641509 245.37358491] ; [ 0.37358491 10.62641509],0
s6,1,0.01509,5.905934,[159  91] ; [3 8],[155.17241379  94.82758621] ; [6.82758621 4.17241379],0
a6,1,0.016579,5.740376,[179  75] ; [4 7],[175.40377358  78.59622642] ; [7.59622642 3.40377358],0
p9,1,0.019356,5.469067,[185  66] ; [4 6],[181.75862069  69.24137931] ; [7.24137931 2.75862069],0
p11,1,0.028612,4.79083,[173  81] ; [4 7],[169.65283019  84.34716981] ; [7.34716981 3.65283019],0
d2,1,0.038762,4.271259,[126 126] ; [2 9],[122.64638783 129.35361217] ; [5.35361217 5.64638783],0
a5,1,0.040633,4.191262,[187  67] ; [5 6],[184.03018868  69.96981132] ; [7.96981132 3.03018868],0
d5,1,0.048356,3.897554,[202  52] ; [6 5],[199.36603774  54.63396226] ; [8.63396226 2.36603774],0
s3,1,0.048543,3.891074,[129 120] ; [2 8],[125.94208494 123.05791506] ; [5.05791506 4.94208494],0
v1,1,0.054196,3.706652,[118 129] ; [2 9],[114.88372093 132.11627907] ; [5.11627907 5.88372093],0
s1,1,0.069241,3.300924,[ 13 238] ; [2 9],[ 14.37022901 236.62977099] ; [ 0.62977099 10.37022901],0
v2,1,0.093448,2.813943,[128 113] ; [3 8],[125.28174603 115.71825397] ; [5.71825397 5.28174603],0
d3,1,0.11722,2.454074,[173  81] ; [5 6],[170.61132075  83.38867925] ; [7.38867925 3.61132075],0
a7,1,0.156143,2.011188,[187  66] ; [6 5],[184.95833333  68.04166667] ; [8.04166667 2.95833333],0
d1,1,0.158325,1.990154,[147 107] ; [4 7],[144.73207547 109.26792453] ; [6.26792453 4.73207547],0
u2,1,0.162178,1.9538,[50 33] ; [1 3],[48.65517241 34.34482759] ; [2.34482759 1.65517241],0
b4,1,0.179298,1.803432,[157  97] ; [9 2],[159.10943396  94.89056604] ; [6.89056604 4.10943396],0
n3,1,0.188621,1.728356,[52 25] ; [3 4],[50.41666667 26.58333333] ; [4.58333333 2.41666667],0
a4,1,0.206934,1.592747,[118 135] ; [3 8],[115.95833333 137.04166667] ; [5.04166667 5.95833333],0
b1,1,0.207041,1.591995,[ 91 163] ; [6 5],[ 92.97358491 161.02641509] ; [4.02641509 6.97358491],0
p10,1,0.218798,1.512238,[172  79] ; [5 5],[170.2183908  80.7816092] ; [6.7816092 3.2183908],0
v3,1,0.223319,1.482917,[ 86 152] ; [2 9],[ 84.1124498 153.8875502] ; [3.8875502 7.1124498],0
p1,1,0.227341,1.45742,[ 20 233] ; [2 9],[ 21.08333333 231.91666667] ; [ 0.91666667 10.08333333],0
s5,1,0.236354,1.402207,[ 59 180] ; [ 1 10],[ 57.36 181.64] ; [2.64 8.36],0
b5,1,0.263655,1.249463,[158  96] ; [5 6],[156.23396226  97.76603774] ; [6.76603774 4.23396226],0
p3,1,0.32125,0.983851,[ 82 171] ; [2 9],[ 80.5 172.5] ; [3.5 7.5],0
s2,1,0.332017,0.941014,[113 135] ; [3 7],[111.50387597 136.49612403] ; [4.49612403 5.50387597],0
n1,1,0.367122,0.813384,[37 43] ; [2 5],[35.86206897 44.13793103] ; [3.13793103 3.86206897],0
d4,1,0.471182,0.519204,[206  47] ; [8 3],[205.08333333  47.91666667] ; [8.91666667 2.08333333],0
s7,1,0.53499,0.384905,[ 96 143] ; [5 5],[ 96.9437751 142.0562249] ; [4.0562249 5.9437751],0
n6,1,0.553749,0.350645,[198  56] ; [7 3],[197.23484848  56.76515152] ; [7.76515152 2.23484848],0
s4,1,0.557528,0.344003,[ 39 211] ; [ 1 10],[ 38.31417625 211.68582375] ; [1.68582375 9.31417625],0
u3,1,0.56172,0.336735,[54 30] ; [2 2],[53.45454545 30.54545455] ; [2.54545455 1.45454545],0
p8,1,0.575274,0.313937,[ 65 188] ; [2 9],[ 64.20833333 188.79166667] ; [2.79166667 8.20833333],0
n2,1,0.577242,0.310714,[54 26] ; [4 3],[53.33333333 26.66666667] ; [4.66666667 2.33333333],0
p4,1,0.659271,0.19441,[109 144] ; [4 7],[108.29166667 144.70833333] ; [4.70833333 6.29166667],0
p5,1,0.669906,0.181712,[ 15 237] ; [ 1 10],[ 15.33079848 236.66920152] ; [ 0.66920152 10.33079848],0
a2,1,0.697078,0.15153,[ 59 195] ; [2 9],[ 58.46792453 195.53207547] ; [2.53207547 8.46792453],0
p2,1,0.75563,0.096861,[173  81] ; [7 4],[172.52830189  81.47169811] ; [7.47169811 3.52830189],0
