Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.002497,9.142857,[ 3 11] ; [11  3],[7. 7.] ; [7. 7.],0
s7,1,0.014979,5.918881,[4 7] ; [11  2],[6.875 4.125] ; [8.125 4.875],0
s8,1,0.021947,5.25,[ 3 11] ; [9 5],[6. 8.] ; [6. 8.],0
s5,1,0.069816,3.287338,[ 1 13] ; [4 7],[ 2.8 11.2] ; [2.2 8.8],0
s4,1,0.094264,2.8,[ 2 12] ; [6 8],[ 4. 10.] ; [ 4. 10.],0
d2,1,0.114653,2.488889,[ 3 11] ; [7 7],[5. 9.] ; [5. 9.],0
n3,1,0.169583,1.886621,[5 2] ; [2 4],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
v4,1,0.19043,1.714286,[12  2] ; [9 5],[10.5  3.5] ; [10.5  3.5],0
b1,1,0.245699,1.347594,[10  4] ; [7 7],[8.5 5.5] ; [8.5 5.5],0
d4,1,0.245699,1.347594,[7 7] ; [10  4],[8.5 5.5] ; [8.5 5.5],0
a7,1,0.255623,1.292308,[9 5] ; [6 8],[7.5 6.5] ; [7.5 6.5],0
p3,1,0.255623,1.292308,[6 8] ; [9 5],[7.5 6.5] ; [7.5 6.5],0
u2,1,0.307741,1.040344,[4 3] ; [5 1],[4.84615385 2.15384615] ; [4.15384615 1.84615385],0
v1,1,0.309558,1.032561,[7 7] ; [4 9],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
r2,1,0.395416,0.722222,[8 5] ; [10  3],[9. 4.] ; [9. 4.],0
r3,1,0.402784,0.7,[9 5] ; [11  3],[10.  4.] ; [10.  4.],0
b5,1,0.402784,0.7,[9 5] ; [11  3],[10.  4.] ; [10.  4.],0
n5,1,0.410214,0.678179,[11  2] ; [10  4],[10.11111111  2.88888889] ; [10.88888889  3.11111111],0
n6,1,0.430223,0.622222,[10  4] ; [8 6],[9. 5.] ; [9. 5.],0
d1,1,0.430223,0.622222,[6 8] ; [ 4 10],[5. 9.] ; [5. 9.],0
b4,1,0.445009,0.583333,[7 7] ; [5 9],[6. 8.] ; [6. 8.],0
u3,1,0.504985,0.444444,[1 5] ; [2 4],[1.5 4.5] ; [1.5 4.5],0
p10,1,0.515759,0.422366,[9 4] ; [8 6],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
p5,1,0.541193,0.373333,[ 2 12] ; [ 1 13],[ 1.5 12.5] ; [ 1.5 12.5],0
u1,1,0.541193,0.373333,[ 2 12] ; [ 1 13],[ 1.5 12.5] ; [ 1.5 12.5],0
v2,1,0.54659,0.363462,[8 5] ; [7 7],[7.22222222 5.77777778] ; [7.77777778 6.22222222],0
n2,1,0.611541,0.257937,[5 2] ; [5 1],[5.38461538 1.61538462] ; [4.61538462 1.38461538],0
p7,1,0.658387,0.195489,[10  3] ; [9 4],[9.5 3.5] ; [9.5 3.5],0
p9,1,0.662521,0.190476,[10  4] ; [11  3],[10.5  3.5] ; [10.5  3.5],0
r1,1,0.662521,0.190476,[ 4 10] ; [ 3 11],[ 3.5 10.5] ; [ 3.5 10.5],0
v3,1,0.662521,0.190476,[ 3 11] ; [ 4 10],[ 3.5 10.5] ; [ 3.5 10.5],0
d5,1,0.662521,0.190476,[11  3] ; [10  4],[10.5  3.5] ; [10.5  3.5],0
p4,1,0.685734,0.163743,[10  4] ; [9 5],[9.5 4.5] ; [9.5 4.5],0
n4,1,0.698791,0.149733,[8 6] ; [9 5],[8.5 5.5] ; [8.5 5.5],0
a6,1,0.698791,0.149733,[8 6] ; [9 5],[8.5 5.5] ; [8.5 5.5],0
a4,1,0.698791,0.149733,[6 8] ; [5 9],[5.5 8.5] ; [5.5 8.5],0
a5,1,0.698791,0.149733,[8 6] ; [9 5],[8.5 5.5] ; [8.5 5.5],0
a3,1,0.704738,0.14359,[7 7] ; [8 6],[7.5 6.5] ; [7.5 6.5],0
p8,1,0.704738,0.14359,[8 6] ; [7 7],[7.5 6.5] ; [7.5 6.5],0
n1,1,0.724939,0.12381,[3 4] ; [2 4],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
d3,1,0.86324,0.02967,[6 7] ; [6 8],[5.77777778 7.22222222] ; [6.22222222 7.77777778],0
b2,1,0.889243,0.019394,[2 4] ; [3 7],[1.875 4.125] ; [3.125 6.875],0
b3,1,0.889243,0.019394,[2 4] ; [3 7],[1.875 4.125] ; [3.125 6.875],0
p2,1,1.0,0.0,[12  2] ; [12  2],[12.  2.] ; [12.  2.],0
a2,1,1.0,0.0,[ 2 12] ; [ 2 12],[ 2. 12.] ; [ 2. 12.],0
p11,1,1.0,0.0,[10  4] ; [10  4],[10.  4.] ; [10.  4.],0
p12,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
