Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,28.484777,[78  5] ; [11 12],[69.68867925 13.31132075] ; [19.31132075  3.68867925],1
d2,1,8e-06,19.865147,[47 36] ; [ 1 22],[37.58490566 45.41509434] ; [10.41509434 12.58490566],1
a3,1,0.000292,13.119625,[65 18] ; [ 9 14],[57.94339623 25.05660377] ; [16.05660377  6.94339623],1
d3,1,0.001155,10.56137,[65 18] ; [10 13],[58.72641509 24.27358491] ; [16.27358491  6.72641509],0
a5,1,0.002554,9.101688,[66 17] ; [11 12],[60.29245283 22.70754717] ; [16.70754717  6.29245283],0
s7,1,0.029651,4.729433,[38 40] ; [ 5 17],[33.54 44.46] ; [ 9.46 12.54],0
a2,1,0.035494,4.421243,[20 63] ; [ 1 22],[16.44339623 66.55660377] ; [ 4.55660377 18.44339623],0
a4,1,0.046449,3.965246,[41 42] ; [ 6 17],[36.80188679 46.19811321] ; [10.19811321 12.80188679],0
p10,1,0.051918,3.778407,[54 28] ; [10 13],[49.98095238 32.01904762] ; [14.01904762  8.98095238],0
v2,1,0.063963,3.431528,[48 34] ; [ 8 14],[44.15384615 37.84615385] ; [11.84615385 10.15384615],0
p7,1,0.111434,2.53376,[48 35] ; [ 9 14],[44.63207547 38.36792453] ; [12.36792453 10.63207547],0
a7,1,0.116664,2.461548,[61 22] ; [13 10],[57.94339623 25.05660377] ; [16.05660377  6.94339623],0
p2,1,0.152846,2.04362,[66 17] ; [15  8],[63.4245283 19.5754717] ; [17.5754717  5.4245283],0
p9,1,0.158948,1.984208,[59 23] ; [13 10],[56.22857143 25.77142857] ; [15.77142857  7.22857143],0
b5,1,0.192757,1.696417,[49 34] ; [17  6],[51.67924528 31.32075472] ; [14.32075472  8.67924528],0
s3,1,0.222518,1.488061,[36 45] ; [13  9],[38.53398058 42.46601942] ; [10.46601942 11.53398058],0
s8,1,0.228917,1.447577,[33 50] ; [ 6 17],[30.53773585 52.46226415] ; [ 8.46226415 14.53773585],0
p1,1,0.267174,1.2312,[ 5 77] ; [ 3 20],[ 6.24761905 75.75238095] ; [ 1.75238095 21.24761905],0
p6,1,0.272651,1.20336,[27 53] ; [ 5 18],[24.85436893 55.14563107] ; [ 7.14563107 15.85436893],0
s2,1,0.281193,1.161314,[33 50] ; [ 6 16],[30.82857143 52.17142857] ; [ 8.17142857 13.82857143],0
v4,1,0.338612,0.915681,[73  9] ; [22  1],[74.19047619  7.80952381] ; [20.80952381  2.19047619],0
s5,1,0.370832,0.800874,[15 63] ; [ 2 17],[13.67010309 64.32989691] ; [ 3.32989691 15.67010309],0
n2,1,0.404657,0.694444,[12  8] ; [4 1],[12.8  7.2] ; [3.2 1.8],0
v3,1,0.419058,0.652955,[22 58] ; [ 8 14],[23.52941176 56.47058824] ; [ 6.47058824 15.52941176],0
b2,1,0.432522,0.616043,[17 38] ; [ 7 10],[18.33333333 36.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.432522,0.616043,[17 38] ; [ 7 10],[18.33333333 36.66666667] ; [ 5.66666667 11.33333333],0
p8,1,0.4512,0.567635,[32 50] ; [ 7 16],[30.45714286 51.54285714] ; [ 8.54285714 14.45714286],0
u3,1,0.476033,0.507937,[10  8] ; [6 8],[9. 9.] ; [7. 7.],0
r3,1,0.47654,0.506771,[79  4] ; [21  2],[78.30188679  4.69811321] ; [21.69811321  1.30188679],0
p4,1,0.538812,0.377746,[38 44] ; [ 9 14],[36.7047619 45.2952381] ; [10.2952381 12.7047619],0
r2,1,0.552735,0.35244,[72  7] ; [20  3],[71.25490196  7.74509804] ; [20.74509804  2.25490196],0
p11,1,0.565416,0.330413,[60 23] ; [18  5],[61.0754717 21.9245283] ; [16.9245283  6.0754717],0
u2,1,0.580912,0.304762,[12  6] ; [8 6],[11.25  6.75] ; [8.75 5.25],0
s6,1,0.596208,0.280754,[43 40] ; [10 12],[41.8952381 41.1047619] ; [11.1047619 10.8952381],0
n6,1,0.611218,0.258406,[53 30] ; [16  7],[54.02830189 28.97169811] ; [14.97169811  8.02830189],0
r4,1,0.614359,0.253876,[72 11] ; [19  4],[71.25471698 11.74528302] ; [19.74528302  3.25471698],0
p3,1,0.640875,0.217599,[37 46] ; [ 9 14],[36.01886792 46.98113208] ; [ 9.98113208 13.01886792],0
r1,1,0.655462,0.199083,[65 18] ; [17  6],[64.20754717 18.79245283] ; [17.79245283  5.20754717],0
a8,1,0.699294,0.149207,[ 8 67] ; [ 3 19],[ 8.50515464 66.49484536] ; [ 2.49484536 19.50515464],0
v1,1,0.709938,0.138339,[33 48] ; [ 8 14],[32.24271845 48.75728155] ; [ 8.75728155 13.24271845],0
b4,1,0.710752,0.137527,[54 29] ; [14  9],[53.24528302 29.75471698] ; [14.75471698  8.24528302],0
s4,1,0.841547,0.039966,[13 70] ; [ 4 19],[13.31132075 69.68867925] ; [ 3.68867925 19.31132075],0
a1,1,0.870264,0.026674,[ 3 80] ; [ 1 22],[ 3.13207547 79.86792453] ; [ 0.86792453 22.13207547],0
p12,1,0.878708,0.023289,[ 3 79] ; [ 1 22],[ 3.12380952 78.87619048] ; [ 0.87619048 22.12380952],0
a6,1,0.904067,0.014526,[53 30] ; [15  8],[53.24528302 29.75471698] ; [14.75471698  8.24528302],0
b1,1,0.992843,8e-05,[36 47] ; [10 13],[36.01886792 46.98113208] ; [ 9.98113208 13.01886792],0
n1,1,1.0,0.0,[ 4 16] ; [1 4],[ 4. 16.] ; [1. 4.],0
