Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000114,14.888337,[56  9] ; [6 9],[50.375 14.625] ; [11.625  3.375],1
d3,1,0.002288,9.303016,[45 20] ; [ 4 11],[39.8125 25.1875] ; [9.1875 5.8125],0
v2,1,0.002833,8.912037,[32 31] ; [ 1 13],[27. 36.] ; [6. 8.],0
r2,1,0.006264,7.472797,[39 18] ; [ 4 10],[34.52112676 22.47887324] ; [8.47887324 5.52112676],0
a6,1,0.009637,6.700855,[45 20] ; [ 5 10],[40.625 24.375] ; [9.375 5.625],0
d2,1,0.011915,6.32342,[40 24] ; [ 4 11],[35.64556962 28.35443038] ; [8.35443038 6.64556962],0
a4,1,0.01645,5.754091,[39 25] ; [ 4 11],[34.83544304 29.16455696] ; [8.16455696 6.83544304],0
a7,1,0.059697,3.545787,[41 24] ; [5 9],[37.84810127 27.15189873] ; [8.15189873 5.84810127],0
a2,1,0.103279,2.654168,[17 48] ; [ 1 14],[14.625 50.375] ; [ 3.375 11.625],0
n5,1,0.14965,2.075812,[41 21] ; [12  2],[43.23684211 18.76315789] ; [9.76315789 4.23684211],0
p3,1,0.172991,1.856832,[24 38] ; [ 3 12],[21.74025974 40.25974026] ; [5.25974026 9.74025974],0
s1,1,0.177674,1.816977,[ 3 62] ; [ 2 12],[ 4.11392405 60.88607595] ; [ 0.88607595 13.11392405],0
b4,1,0.185096,1.756226,[34 31] ; [ 5 10],[31.6875 33.3125] ; [7.3125 7.6875],0
s5,1,0.18992,1.718234,[13 48] ; [ 1 14],[11.23684211 49.76315789] ; [ 2.76315789 12.23684211],0
s6,1,0.192158,1.700992,[28 34] ; [ 4 11],[25.76623377 36.23376623] ; [6.23376623 8.76623377],0
b5,1,0.195148,1.678322,[38 27] ; [6 9],[35.75 29.25] ; [8.25 6.75],0
v4,1,0.243679,1.359184,[36 24] ; [6 8],[34.05405405 25.94594595] ; [7.94594595 6.05405405],0
p6,1,0.256169,1.289344,[17 45] ; [ 2 13],[15.2987013 46.7012987] ; [ 3.7012987 11.2987013],0
n4,1,0.26308,1.252478,[47 18] ; [8 6],[45.25316456 19.74683544] ; [9.74683544 4.25316456],0
n3,1,0.271473,1.209289,[13 14] ; [5 2],[14.29411765 12.70588235] ; [3.70588235 3.29411765],0
v3,1,0.282732,1.15391,[18 46] ; [ 2 12],[16.41025641 47.58974359] ; [ 3.58974359 10.41025641],0
b3,1,0.300214,1.073241,[14 29] ; [5 5],[15.41509434 27.58490566] ; [3.58490566 6.41509434],0
b2,1,0.300214,1.073241,[14 29] ; [5 5],[15.41509434 27.58490566] ; [3.58490566 6.41509434],0
u2,1,0.301409,1.067949,[ 3 10] ; [2 2],[3.82352941 9.17647059] ; [1.17647059 2.82352941],0
u1,1,0.376819,0.781055,[10 55] ; [ 1 14],[ 8.9375 56.0625] ; [ 2.0625 12.9375],0
