Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,36.486281,[ 7 16] ; [91 12],[17.88888889  5.11111111] ; [80.11111111 22.88888889],1
p11,1,2.1e-05,18.088755,[10 13] ; [88 16],[17.7480315  5.2519685] ; [80.2519685 23.7480315],1
p2,1,7.1e-05,15.796539,[11 12] ; [88 15],[18.07142857  4.92857143] ; [80.92857143 22.07142857],1
n5,1,8.5e-05,15.452674,[10 13] ; [85 18],[17.34126984  5.65873016] ; [77.65873016 25.34126984],1
n6,1,0.000966,10.89082,[13 10] ; [89 14],[18.61904762  4.38095238] ; [83.38095238 19.61904762],1
n4,1,0.000966,10.89082,[13 10] ; [89 14],[18.61904762  4.38095238] ; [83.38095238 19.61904762],1
a3,1,0.001604,9.955526,[12 11] ; [86 18],[17.7480315  5.2519685] ; [80.2519685 23.7480315],0
v1,1,0.001685,9.864087,[ 9 14] ; [74 27],[15.39516129  7.60483871] ; [67.60483871 33.39516129],0
p3,1,0.006797,7.325734,[ 6 17] ; [59 44],[11.86507937 11.13492063] ; [53.13492063 49.86507937],0
r4,1,0.009239,6.775975,[15  8] ; [91 13],[19.19685039  3.80314961] ; [86.80314961 17.19685039],0
a4,1,0.011133,6.443989,[ 4 19] ; [48 56],[ 9.41732283 13.58267717] ; [42.58267717 61.41732283],0
s7,1,0.020078,5.405073,[ 6 15] ; [57 44],[10.8442623 10.1557377] ; [52.1557377 48.8442623],0
d4,1,0.021767,5.264284,[15  8] ; [89 15],[18.83464567  4.16535433] ; [85.16535433 18.83464567],0
a5,1,0.021983,5.247146,[12 11] ; [79 25],[16.48031496  6.51968504] ; [74.51968504 29.48031496],0
s1,1,0.028017,4.827044,[ 2 21] ; [  1 102],[ 0.54761905 22.45238095] ; [  2.45238095 100.54761905],0
s6,1,0.059603,3.548387,[10 13] ; [66 36],[13.984  9.016] ; [62.016 39.984],0
r3,1,0.080281,3.059205,[20  3] ; [100   4],[21.73228346  1.26771654] ; [98.26771654  5.73228346],0
p4,1,0.087433,2.921019,[ 9 13] ; [62 40],[12.59677419  9.40322581] ; [58.40322581 43.59677419],0
