Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1.8e-05,18.399001,[98  7] ; [7 6],[93.43220339 11.56779661] ; [11.56779661  1.43220339],1
r4,1,3.9e-05,16.940926,[87 19] ; [4 9],[81.05882353 24.94117647] ; [9.94117647 3.05882353],1
r3,1,0.000274,13.242476,[95 10] ; [7 6],[90.76271186 14.23728814] ; [11.23728814  1.76271186],1
p2,1,0.000747,11.369521,[68 38] ; [ 2 11],[62.35294118 43.64705882] ; [7.64705882 5.35294118],1
a7,1,0.000969,10.885916,[73 32] ; [ 3 10],[67.62711864 37.37288136] ; [8.37288136 4.62711864],1
r1,1,0.002834,8.911649,[82 24] ; [5 8],[77.49579832 28.50420168] ; [9.50420168 3.49579832],0
a5,1,0.015497,5.859091,[62 44] ; [ 3 10],[57.89915966 48.10084034] ; [7.10084034 5.89915966],0
p8,1,0.041223,4.166838,[38 68] ; [ 1 12],[34.7394958 71.2605042] ; [4.2605042 8.7394958],0
p7,1,0.062194,3.477899,[52 51] ; [ 3 10],[48.8362069 54.1637931] ; [6.1637931 6.8362069],0
p12,1,0.074004,3.191889,[  1 105] ; [ 1 12],[  1.78151261 104.21848739] ; [ 0.21848739 12.78151261],0
v1,1,0.09892,2.722863,[41 65] ; [ 2 11],[38.30252101 67.69747899] ; [4.69747899 8.30252101],0
p4,1,0.100076,2.704327,[49 55] ; [ 3 10],[46.22222222 57.77777778] ; [5.77777778 7.22222222],0
u2,1,0.109154,2.566432,[20 23] ; [1 6],[18.06 24.94] ; [2.94 4.06],0
d5,1,0.160408,1.97038,[77 29] ; [7 6],[74.82352941 31.17647059] ; [9.17647059 3.82352941],0
p3,1,0.168881,1.892846,[36 69] ; [ 2 11],[33.81355932 71.18644068] ; [4.18644068 8.81355932],0
a6,1,0.16941,1.888156,[62 44] ; [5 8],[59.68067227 46.31932773] ; [7.31932773 5.68067227],0
a4,1,0.176783,1.824462,[38 67] ; [ 2 10],[35.8974359 69.1025641] ; [4.1025641 7.8974359],0
b4,1,0.24561,1.348103,[64 42] ; [10  3],[65.91596639 40.08403361] ; [8.08403361 4.91596639],0
n3,1,0.264486,1.245125,[23 12] ; [1 2],[22.10526316 12.89473684] ; [1.89473684 1.10526316],0
u3,1,0.266856,1.232837,[23 22] ; [2 5],[21.63461538 23.36538462] ; [3.36538462 3.63461538],0
p10,1,0.275916,1.187094,[31 73] ; [ 2 11],[29.33333333 74.66666667] ; [3.66666667 9.33333333],0
b2,1,0.281418,1.16023,[20 45] ; [1 7],[18.69863014 46.30136986] ; [2.30136986 5.69863014],0
b3,1,0.281418,1.16023,[20 45] ; [1 7],[18.69863014 46.30136986] ; [2.30136986 5.69863014],0
v2,1,0.32279,0.977607,[47 57] ; [4 9],[45.33333333 58.66666667] ; [5.66666667 7.33333333],0
p1,1,0.336401,0.9241,[ 8 98] ; [ 2 11],[ 8.90756303 97.09243697] ; [ 1.09243697 11.90756303],0
d3,1,0.359894,0.838264,[63 43] ; [6 7],[61.46218487 44.53781513] ; [7.53781513 5.46218487],0
s8,1,0.369039,0.806897,[28 76] ; [ 2 11],[26.66666667 77.33333333] ; [3.33333333 9.66666667],0
n4,1,0.402954,0.699492,[77 29] ; [8 5],[75.71428571 30.28571429] ; [9.28571429 3.71428571],0
a3,1,0.434423,0.610969,[61 45] ; [6 7],[59.68067227 46.31932773] ; [7.31932773 5.68067227],0
n1,1,0.463846,0.536598,[15 19] ; [1 3],[14.31578947 19.68421053] ; [1.68421053 2.31578947],0
d1,1,0.470467,0.520879,[52 54] ; [5 8],[50.77310924 55.22689076] ; [6.22689076 6.77310924],0
p11,1,0.474308,0.511921,[60 46] ; [6 7],[58.78991597 47.21008403] ; [7.21008403 5.78991597],0
s5,1,0.56604,0.329353,[23 80] ; [ 2 11],[22.19827586 80.80172414] ; [ 2.80172414 10.19827586],0
d2,1,0.650121,0.205748,[51 54] ; [5 7],[50.25641026 54.74358974] ; [5.74358974 6.25641026],0
s6,1,0.694791,0.153947,[54 50] ; [6 7],[53.33333333 50.66666667] ; [6.66666667 6.33333333],0
v3,1,0.749572,0.101891,[37 68] ; [4 9],[36.48305085 68.51694915] ; [4.51694915 8.48305085],0
d4,1,0.753626,0.098509,[77 28] ; [9 4],[76.52542373 28.47457627] ; [9.47457627 3.52542373],0
s3,1,0.812147,0.056481,[44 61] ; [5 8],[43.60169492 61.39830508] ; [5.39830508 7.60169492],0
a8,1,0.81859,0.052605,[ 9 84] ; [ 1 12],[ 8.77358491 84.22641509] ; [ 1.22641509 11.77358491],0
s2,1,0.857541,0.032222,[37 66] ; [5 8],[37.29310345 65.70689655] ; [4.70689655 8.29310345],0
n5,1,0.870446,0.026599,[71 35] ; [9 4],[71.2605042 34.7394958] ; [8.7394958 4.2605042],0
s1,1,0.889641,0.019254,[ 7 98] ; [ 1 12],[ 7.11864407 97.88135593] ; [ 0.88135593 12.11864407],0
s7,1,0.946013,0.004585,[35 67] ; [4 8],[34.89473684 67.10526316] ; [4.10526316 7.89473684],0
b1,1,0.952536,0.003543,[58 48] ; [7 6],[57.89915966 48.10084034] ; [7.10084034 5.89915966],0
b5,1,0.987862,0.000231,[65 41] ; [8 5],[65.02521008 40.97478992] ; [7.97478992 5.02521008],0
s4,1,0.988817,0.000196,[16 87] ; [ 2 11],[15.98275862 87.01724138] ; [ 2.01724138 10.98275862],0
