Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1.5e-05,18.728241,[ 65 112] ; [78 48],[83.53465347 93.46534653] ; [59.46534653 66.53465347],1
u1,1,0.001343,10.28312,[ 20 160] ; [32 96],[ 30.38961039 149.61038961] ; [ 21.61038961 106.38961039],0
d5,1,0.003727,8.412172,[135  45] ; [113  15],[144.93506494  35.06493506] ; [103.06493506  24.93506494],0
a5,1,0.008305,6.966594,[127  53] ; [107  21],[136.75324675  43.24675325] ; [97.24675325 30.75324675],0
n2,1,0.032298,4.582599,[26 17] ; [19  3],[29.76923077 13.23076923] ; [15.23076923  6.76923077],0
d3,1,0.047563,3.925365,[119  61] ; [98 30],[126.81818182  53.18181818] ; [90.18181818 37.81818182],0
s3,1,0.061346,3.500622,[106  73] ; [62 66],[97.95439739 81.04560261] ; [70.04560261 57.95439739],0
p1,1,0.062226,3.477031,[ 21 159] ; [  7 121],[ 16.36363636 163.63636364] ; [ 11.63636364 116.36363636],0
a6,1,0.062513,3.469425,[111  69] ; [92 36],[118.63636364  61.36363636] ; [84.36363636 43.63636364],0
s4,1,0.063755,3.436898,[ 45 132] ; [ 21 106],[ 38.42763158 138.57236842] ; [27.57236842 99.42763158],0
a2,1,0.064072,3.428704,[ 32 148] ; [34 94],[ 38.57142857 141.42857143] ; [ 27.42857143 100.57142857],0
r1,1,0.07895,3.086394,[128  51] ; [102  25],[134.54248366  44.45751634] ; [95.45751634 31.54248366],0
s1,1,0.081242,3.039886,[ 12 166] ; [  3 124],[  8.75409836 169.24590164] ; [  6.24590164 120.75409836],0
d4,1,0.083159,3.002048,[139  41] ; [109  19],[144.93506494  35.06493506] ; [103.06493506  24.93506494],0
d1,1,0.100014,2.705325,[97 83] ; [81 47],[104.02597403  75.97402597] ; [73.97402597 54.02597403],0
n3,1,0.108998,2.568694,[29 13] ; [20  3],[31.66153846 10.33846154] ; [17.33846154  5.66153846],0
