Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.8e-05,16.960699,[61 18] ; [1 8],[55.65909091 23.34090909] ; [6.34090909 2.65909091],1
r2,1,0.000365,12.705458,[65 12] ; [3 6],[60.88372093 16.11627907] ; [7.11627907 1.88372093],1
v4,1,0.000432,12.386354,[72  5] ; [5 4],[68.94186047  8.05813953] ; [8.05813953 0.94186047],1
a6,1,0.002816,8.923077,[56 22] ; [2 7],[52. 26.] ; [6. 3.],0
d3,1,0.007792,7.080775,[52 25] ; [2 7],[48.34883721 28.65116279] ; [5.65116279 3.34883721],0
r1,1,0.009991,6.636555,[59 20] ; [3 6],[55.65909091 23.34090909] ; [6.34090909 2.65909091],0
p11,1,0.013488,6.103925,[58 21] ; [3 6],[54.76136364 24.23863636] ; [6.23863636 2.76136364],0
s6,1,0.017582,5.637323,[50 29] ; [2 7],[46.68181818 32.31818182] ; [5.31818182 3.68181818],0
d1,1,0.024321,5.071588,[40 39] ; [1 8],[36.80681818 42.19318182] ; [4.19318182 4.80681818],0
p10,1,0.031927,4.602429,[54 24] ; [3 6],[51.10344828 26.89655172] ; [5.89655172 3.10344828],0
d5,1,0.0474,3.931141,[59 19] ; [4 5],[56.48275862 21.51724138] ; [6.51724138 2.48275862],0
a5,1,0.068344,3.322357,[51 28] ; [3 6],[48.47727273 30.52272727] ; [5.52272727 3.47727273],0
p8,1,0.076909,3.129044,[45 33] ; [2 6],[42.62790698 35.37209302] ; [4.37209302 3.62790698],0
v2,1,0.077325,3.120244,[39 34] ; [2 7],[36.5 36.5] ; [4.5 4.5],0
p4,1,0.087609,2.917773,[49 29] ; [3 6],[46.62068966 31.37931034] ; [5.37931034 3.62068966],0
n2,1,0.089609,2.881385,[19  3] ; [2 2],[17.76923077  4.23076923] ; [3.23076923 0.76923077],0
b4,1,0.139591,2.182466,[41 38] ; [7 2],[43.09090909 35.90909091] ; [4.90909091 4.09090909],0
s3,1,0.151224,2.059866,[45 32] ; [3 6],[42.97674419 34.02325581] ; [5.02325581 3.97674419],0
a7,1,0.206508,1.59574,[52 27] ; [4 5],[50.27272727 28.72727273] ; [5.72727273 3.27272727],0
n4,1,0.229911,1.441413,[43 36] ; [3 6],[41.29545455 37.70454545] ; [4.70454545 4.29545455],0
d4,1,0.242429,1.366414,[57 20] ; [5 4],[55.51162791 21.48837209] ; [6.48837209 2.51162791],0
d2,1,0.244618,1.353783,[33 45] ; [2 7],[31.37931034 46.62068966] ; [3.62068966 5.37931034],0
u3,1,0.255704,1.291866,[18  9] ; [1 2],[17.1  9.9] ; [1.9 1.1],0
p2,1,0.280143,1.166395,[63 14] ; [6 3],[61.77906977 15.22093023] ; [7.22093023 1.77906977],0
n1,1,0.28497,1.143235,[ 5 16] ; [2 2],[ 5.88 15.12] ; [1.12 2.88],0
p9,1,0.34471,0.892838,[56 23] ; [5 4],[54.76136364 24.23863636] ; [6.23863636 2.76136364],0
p3,1,0.381315,0.766457,[38 40] ; [3 6],[36.75862069 41.24137931] ; [4.24137931 4.75862069],0
s5,1,0.410681,0.676828,[18 60] ; [1 8],[17.03448276 60.96551724] ; [1.96551724 7.03448276],0
p6,1,0.41138,0.674809,[27 48] ; [2 7],[25.89285714 49.10714286] ; [3.10714286 5.89285714],0
b1,1,0.469719,0.522638,[52 27] ; [7 2],[52.96590909 26.03409091] ; [6.03409091 2.96590909],0
p5,1,0.511587,0.430819,[ 5 74] ; [1 7],[ 5.44827586 73.55172414] ; [0.55172414 7.44827586],0
b5,1,0.541228,0.373269,[52 27] ; [5 4],[51.17045455 27.82954545] ; [5.82954545 3.17045455],0
s4,1,0.561608,0.336928,[15 64] ; [1 8],[14.36363636 64.63636364] ; [1.63636364 7.36363636],0
s1,1,0.598214,0.277699,[ 5 73] ; [1 8],[ 5.37931034 72.62068966] ; [0.62068966 8.37931034],0
v1,1,0.634596,0.225879,[32 45] ; [3 6],[31.3372093 45.6627907] ; [3.6627907 5.3372093],0
n5,1,0.752274,0.09963,[39 39] ; [5 4],[39.44827586 38.55172414] ; [4.55172414 4.44827586],0
a3,1,0.900097,0.01576,[51 28] ; [6 3],[51.17045455 27.82954545] ; [5.82954545 3.17045455],0
b3,1,0.901427,0.015341,[ 9 39] ; [1 5],[ 8.88888889 39.11111111] ; [1.11111111 4.88888889],0
b2,1,0.901427,0.015341,[ 9 39] ; [1 5],[ 8.88888889 39.11111111] ; [1.11111111 4.88888889],0
a8,1,0.906113,0.013911,[ 8 64] ; [1 7],[ 8.1 63.9] ; [0.9 7.1],0
a4,1,0.959641,0.002561,[27 52] ; [3 6],[26.93181818 52.06818182] ; [3.06818182 5.93181818],0
