Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.147877,[27 22] ; [96 11],[38.63461538 10.36538462] ; [84.36538462 22.63461538],1
r4,1,1e-06,23.327103,[21 28] ; [87 20],[33.92307692 15.07692308] ; [74.07692308 32.92307692],1
p10,1,6e-06,20.439517,[18 31] ; [79 27],[30.66451613 18.33548387] ; [66.33548387 39.66451613],1
p9,1,3.3e-05,17.221157,[21 26] ; [84 23],[32.04545455 14.95454545] ; [72.95454545 34.04545455],1
s6,1,0.000103,15.074477,[16 32] ; [69 34],[27.01986755 20.98013245] ; [57.98013245 45.01986755],1
b1,1,0.000267,13.285737,[36 13] ; [45 62],[25.44230769 23.55769231] ; [55.55769231 51.44230769],1
p2,1,0.00028,13.201153,[23 25] ; [82 24],[32.72727273 15.27272727] ; [72.27272727 33.72727273],1
v4,1,0.000321,12.940806,[33 16] ; [96 10],[40.78064516  8.21935484] ; [88.21935484 17.78064516],1
s8,1,0.000729,11.413546,[ 8 40] ; [48 59],[17.34193548 30.65806452] ; [38.65806452 68.34193548],1
p7,1,0.000809,11.219711,[15 33] ; [64 42],[24.62337662 23.37662338] ; [54.37662338 51.62337662],1
r1,1,0.001172,10.533645,[21 28] ; [75 32],[30.15384615 18.84615385] ; [65.84615385 41.15384615],0
p6,1,0.001357,10.263576,[ 6 42] ; [40 65],[14.43137255 33.56862745] ; [31.56862745 73.43137255],0
n6,1,0.001516,10.059603,[28 20] ; [88 19],[35.92258065 12.07741935] ; [80.07741935 26.92258065],0
r2,1,0.00236,9.246209,[33 15] ; [95 12],[39.63870968  8.36129032] ; [88.36129032 18.63870968],0
p8,1,0.003355,8.603333,[10 39] ; [48 59],[18.21794872 30.78205128] ; [39.78205128 67.21794872],0
a5,1,0.007986,7.036576,[22 27] ; [72 35],[29.52564103 19.47435897] ; [64.47435897 42.52564103],0
d5,1,0.00907,6.808978,[22 27] ; [71 35],[29.4 19.6] ; [63.6 42.4],0
u2,1,0.011051,6.457151,[ 5 17] ; [23 18],[ 9.77777778 12.22222222] ; [18.22222222 22.77777778],0
n2,1,0.013306,6.127946,[13 14] ; [26  7],[17.55  9.45] ; [21.45 11.55],0
a1,1,0.016919,5.70472,[ 7 42] ; [  4 103],[ 3.45512821 45.54487179] ; [ 7.54487179 99.45512821],0
s7,1,0.01896,5.505227,[13 31] ; [53 52],[19.48993289 24.51006711] ; [46.51006711 58.48993289],0
n5,1,0.048447,3.894423,[31 18] ; [83 23],[36.03870968 12.96129032] ; [77.96129032 28.03870968],0
s3,1,0.052605,3.756426,[20 28] ; [62 44],[25.55844156 22.44155844] ; [56.44155844 49.55844156],0
p4,1,0.075007,3.169911,[17 32] ; [53 53],[22.12903226 26.87096774] ; [47.87096774 58.12903226],0
s2,1,0.121697,2.395348,[14 35] ; [44 62],[18.33548387 30.66451613] ; [39.66451613 66.33548387],0
a4,1,0.133482,2.251531,[16 32] ; [49 57],[20.25974026 27.74025974] ; [44.74025974 61.25974026],0
u3,1,0.140266,2.17504,[ 6 16] ; [19 22],[ 8.73015873 13.26984127] ; [16.26984127 24.73015873],0
p5,1,0.157498,1.998087,[ 3 45] ; [15 91],[ 5.61038961 42.38961039] ; [12.38961039 93.61038961],0
n3,1,0.164071,1.936303,[11 14] ; [20 12],[13.59649123 11.40350877] ; [17.40350877 14.59649123],0
s5,1,0.168312,1.89791,[11 36] ; [36 68],[14.62913907 32.37086093] ; [32.37086093 71.62913907],0
s1,1,0.196035,1.671674,[ 5 44] ; [  5 101],[ 3.16129032 45.83870968] ; [ 6.83870968 99.16129032],0
a6,1,0.231921,1.42904,[17 32] ; [48 59],[20.41666667 28.58333333] ; [44.58333333 62.41666667],0
v1,1,0.267511,1.229464,[13 35] ; [38 67],[16. 32.] ; [35. 70.],0
p3,1,0.304051,1.056343,[16 32] ; [45 62],[18.89032258 29.10967742] ; [42.10967742 64.89032258],0
d1,1,0.367773,0.811176,[16 33] ; [43 64],[18.53205128 30.46794872] ; [40.46794872 66.53205128],0
s4,1,0.393669,0.727579,[ 9 40] ; [26 80],[11.06451613 37.93548387] ; [23.93548387 82.06451613],0
n4,1,0.472312,0.516562,[32 17] ; [76 31],[33.92307692 15.07692308] ; [74.07692308 32.92307692],0
a3,1,0.523283,0.407418,[27 21] ; [66 41],[28.8 19.2] ; [64.2 42.8],0
b5,1,0.531385,0.391742,[26 23] ; [51 56],[24.18589744 24.81410256] ; [52.81410256 54.18589744],0
u1,1,0.540696,0.374252,[ 2 47] ; [  7 100],[ 2.82692308 46.17307692] ; [  6.17307692 100.82692308],0
n1,1,0.627925,0.234885,[ 9 18] ; [13 20],[ 9.9 17.1] ; [12.1 20.9],0
d4,1,0.640975,0.21747,[30 19] ; [69 37],[31.29677419 17.70322581] ; [67.70322581 38.29677419],0
p12,1,0.679554,0.170628,[ 2 47] ; [  6 100],[ 2.52903226 46.47096774] ; [  5.47096774 100.52903226],0
b2,1,0.733583,0.115847,[11 19] ; [29 43],[11.76470588 18.23529412] ; [28.23529412 43.76470588],0
b3,1,0.733583,0.115847,[11 19] ; [29 43],[11.76470588 18.23529412] ; [28.23529412 43.76470588],0
d2,1,0.756633,0.096041,[20 28] ; [47 59],[20.88311688 27.11688312] ; [46.11688312 59.88311688],0
d3,1,0.798612,0.065098,[20 29] ; [46 61],[20.73076923 28.26923077] ; [45.26923077 61.73076923],0
p1,1,0.850823,0.03537,[ 5 44] ; [12 95],[ 5.33974359 43.66025641] ; [11.66025641 95.33974359],0
v3,1,0.888282,0.019734,[ 9 37] ; [22 85],[ 9.32026144 36.67973856] ; [21.67973856 85.32026144],0
a8,1,0.952721,0.003515,[ 5 43] ; [10 89],[ 4.89795918 43.10204082] ; [10.10204082 88.89795918],0
a2,1,0.958522,0.002705,[ 4 45] ; [ 9 98],[ 4.08333333 44.91666667] ; [ 8.91666667 98.08333333],0
