Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.921447,[98 17] ; [11 20],[85.85616438 29.14383562] ; [23.14383562  7.85616438],1
n6,1,0.000312,12.995356,[105  11] ; [20 11],[98.63945578 17.36054422] ; [26.36054422  4.63945578],1
v3,1,0.002105,9.455267,[45 68] ; [ 3 27],[37.93006993 75.06993007] ; [10.06993007 19.93006993],0
d1,1,0.003458,8.548745,[70 46] ; [10 22],[62.7027027 53.2972973] ; [17.2972973 14.7027027],0
a5,1,0.004712,7.986917,[82 34] ; [14 18],[75.24324324 40.75675676] ; [20.75675676 11.24324324],0
r1,1,0.005335,7.762167,[95 20] ; [19 13],[89.18367347 25.81632653] ; [24.81632653  7.18367347],0
p3,1,0.006159,7.503284,[78 38] ; [13 19],[71.32432432 44.67567568] ; [19.67567568 12.32432432],0
v1,1,0.008518,6.921178,[64 51] ; [ 9 22],[57.5 57.5] ; [15.5 15.5],0
p9,1,0.009158,6.791736,[102  14] ; [22 10],[97.18918919 18.81081081] ; [26.81081081  5.18918919],0
a2,1,0.011093,6.450339,[37 79] ; [ 3 29],[31.35135135 84.64864865] ; [ 8.64864865 23.35135135],0
r2,1,0.011796,6.341317,[110   4] ; [27  5],[106.97260274   7.02739726] ; [30.02739726  1.97260274],0
u2,1,0.019799,5.429533,[14 18] ; [12  3],[17.70212766 14.29787234] ; [8.29787234 6.70212766],0
a3,1,0.03161,4.619535,[84 31] ; [17 15],[79.01360544 35.98639456] ; [21.98639456 10.01360544],0
r4,1,0.037364,4.333749,[106  10] ; [25  7],[102.67567568  13.32432432] ; [28.32432432  3.67567568],0
s4,1,0.042432,4.117885,[17 94] ; [10 22],[20.95804196 90.04195804] ; [ 6.04195804 25.95804196],0
p4,1,0.049735,3.850369,[92 24] ; [20 12],[87.78378378 28.21621622] ; [24.21621622  7.78378378],0
p1,1,0.063554,3.442121,[18 98] ; [ 1 31],[ 14.89189189 101.10810811] ; [ 4.10810811 27.89189189],0
u1,1,0.069551,3.293591,[23 93] ; [ 2 30],[19.59459459 96.40540541] ; [ 5.40540541 26.59459459],0
a6,1,0.080285,3.059132,[84 32] ; [18 14],[79.94594595 36.05405405] ; [22.05405405  9.94594595],0
d4,1,0.083287,2.99956,[93 23] ; [21 11],[89.35135135 26.64864865] ; [24.64864865  7.35135135],0
p10,1,0.089957,2.875139,[94 20] ; [22 10],[90.57534247 23.42465753] ; [25.42465753  6.57534247],0
s7,1,0.098218,2.73424,[44 63] ; [ 8 24],[40.02877698 66.97122302] ; [11.97122302 20.02877698],0
p2,1,0.102325,2.66892,[106  10] ; [26  6],[103.45945946  12.54054054] ; [28.54054054  3.45945946],0
b4,1,0.122129,2.389807,[72 44] ; [15 17],[68.18918919 47.81081081] ; [18.81081081 13.18918919],0
s3,1,0.123998,2.366078,[53 61] ; [10 22],[49.19178082 64.80821918] ; [13.80821918 18.19178082],0
s6,1,0.130997,2.280649,[71 41] ; [15 16],[67.35664336 44.64335664] ; [18.64335664 12.35664336],0
d2,1,0.137923,2.200979,[57 59] ; [11 21],[53.2972973 62.7027027] ; [14.7027027 17.2972973],0
v4,1,0.165924,1.919389,[111   4] ; [29  3],[109.52380952   5.47619048] ; [30.47619048  1.52380952],0
b1,1,0.202483,1.624375,[47 69] ; [17 15],[50.16216216 65.83783784] ; [13.83783784 18.16216216],0
d5,1,0.213767,1.545728,[91 25] ; [21 10],[88.38095238 27.61904762] ; [23.61904762  7.38095238],0
d3,1,0.240482,1.377768,[86 30] ; [19 11],[83.42465753 32.57534247] ; [21.57534247  8.42465753],0
a4,1,0.247802,1.33565,[60 55] ; [13 19],[57.10884354 57.89115646] ; [15.89115646 16.10884354],0
r3,1,0.273161,1.200803,[109   5] ; [29  3],[107.75342466   6.24657534] ; [30.24657534  1.75342466],0
