Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.223725,[ 4 31] ; [11  3],[10.71428571 24.28571429] ; [4.28571429 9.71428571],1
p10,1,9.4e-05,15.244606,[ 9 25] ; [13  2],[15.26530612 18.73469388] ; [6.73469388 8.26530612],1
p7,1,0.000116,14.851031,[ 5 29] ; [10  4],[10.625 23.375] ; [4.375 9.625],1
p6,1,0.000634,11.673529,[ 1 33] ; [6 9],[ 4.85714286 29.14285714] ; [ 2.14285714 12.85714286],1
p3,1,0.001817,9.725561,[ 4 30] ; [8 7],[ 8.32653061 25.67346939] ; [ 3.67346939 11.32653061],0
n6,1,0.014688,5.9535,[14 21] ; [11  3],[17.85714286 17.14285714] ; [7.14285714 6.85714286],0
p11,1,0.018422,5.555556,[ 7 28] ; [8 7],[10.5 24.5] ; [ 4.5 10.5],0
p9,1,0.022069,5.240355,[10 22] ; [10  5],[13.61702128 18.38297872] ; [6.38297872 8.61702128],0
d3,1,0.030754,4.666667,[14 21] ; [11  4],[17.5 17.5] ; [7.5 7.5],0
r4,1,0.036683,4.365079,[ 2 33] ; [ 4 11],[ 4.2 30.8] ; [ 1.8 13.2],0
p5,1,0.044431,4.040098,[ 1 33] ; [ 3 12],[ 2.7755102 31.2244898] ; [ 1.2244898 13.7755102],0
v4,1,0.058782,3.571429,[18 17] ; [12  3],[21. 14.] ; [9. 6.],0
b1,1,0.058782,3.571429,[24 11] ; [6 9],[21. 14.] ; [9. 6.],0
v2,1,0.066744,3.361345,[ 6 28] ; [6 8],[ 8.5 25.5] ; [ 3.5 10.5],0
p2,1,0.069562,3.293337,[11 23] ; [9 6],[13.87755102 20.12244898] ; [6.12244898 8.87755102],0
n4,1,0.135674,2.226345,[22 13] ; [6 9],[19.6 15.4] ; [8.4 6.6],0
r1,1,0.143651,2.138411,[11 24] ; [8 7],[13.3 21.7] ; [5.7 9.3],0
u3,1,0.147299,2.1,[ 4 12] ; [3 2],[ 5.33333333 10.66666667] ; [1.66666667 3.33333333],0
s1,1,0.152885,2.043229,[ 1 34] ; [ 2 13],[ 2.1 32.9] ; [ 0.9 14.1],0
p12,1,0.152885,2.043229,[ 1 34] ; [ 2 13],[ 2.1 32.9] ; [ 0.9 14.1],0
a6,1,0.17416,1.846764,[19 16] ; [ 5 10],[16.8 18.2] ; [7.2 7.8],0
u2,1,0.247879,1.335216,[ 5 11] ; [3 2],[6.0952381 9.9047619] ; [1.9047619 3.0952381],0
d1,1,0.303626,1.058201,[11 24] ; [7 8],[12.6 22.4] ; [5.4 9.6],0
d4,1,0.319868,0.989487,[18 17] ; [10  5],[19.6 15.4] ; [8.4 6.6],0
v3,1,0.357097,0.848077,[ 8 27] ; [5 9],[ 9.28571429 25.71428571] ; [ 3.71428571 10.28571429],0
s8,1,0.362806,0.828157,[ 2 33] ; [ 2 13],[ 2.8 32.2] ; [ 1.2 13.8],0
b3,1,0.409328,0.680751,[10 12] ; [3 7],[ 8.9375 13.0625] ; [4.0625 5.9375],0
b2,1,0.409328,0.680751,[10 12] ; [3 7],[ 8.9375 13.0625] ; [4.0625 5.9375],0
r2,1,0.412262,0.672269,[20 14] ; [10  4],[21.25 12.75] ; [8.75 5.25],0
s7,1,0.412428,0.671792,[ 4 29] ; [ 3 11],[ 4.91489362 28.08510638] ; [ 2.08510638 11.91489362],0
v1,1,0.427263,0.630252,[10 25] ; [6 9],[11.2 23.8] ; [ 4.8 10.2],0
a2,1,0.447412,0.577201,[ 5 30] ; [ 1 14],[ 4.2 30.8] ; [ 1.8 13.2],0
a3,1,0.479018,0.501099,[19 15] ; [10  5],[20.12244898 13.87755102] ; [8.87755102 6.12244898],0
n3,1,0.49205,0.472041,[ 7 11] ; [2 6],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
d5,1,0.528733,0.396825,[20 15] ; [10  5],[21. 14.] ; [9. 6.],0
u1,1,0.528733,0.396825,[ 1 34] ; [ 1 14],[ 1.4 33.6] ; [ 0.6 14.4],0
a7,1,0.528733,0.396825,[13 22] ; [7 8],[14. 21.] ; [6. 9.],0
a4,1,0.552821,0.352288,[12 22] ; [ 4 11],[11.10204082 22.89795918] ; [ 4.89795918 10.10204082],0
p1,1,0.607011,0.26455,[ 4 31] ; [ 1 14],[ 3.5 31.5] ; [ 1.5 13.5],0
n2,1,0.706197,0.142105,[ 8 11] ; [4 4],[ 8.44444444 10.55555556] ; [3.55555556 4.44444444],0
b5,1,0.709131,0.139147,[16 19] ; [6 9],[15.4 19.6] ; [6.6 8.4],0
b4,1,0.709131,0.139147,[19 16] ; [9 6],[19.6 15.4] ; [8.4 6.6],0
n5,1,0.73633,0.113379,[25 10] ; [10  5],[24.5 10.5] ; [10.5  4.5],0
a5,1,0.757621,0.095238,[17 18] ; [8 7],[17.5 17.5] ; [7.5 7.5],0
s4,1,0.80957,0.058072,[ 6 29] ; [ 3 12],[ 6.3 28.7] ; [ 2.7 12.3],0
d2,1,0.906981,0.013653,[13 21] ; [6 9],[13.18367347 20.81632653] ; [5.81632653 9.18367347],0
s5,1,0.92913,0.00791,[ 5 30] ; [ 2 13],[ 4.9 30.1] ; [ 2.1 12.9],0
s6,1,0.94391,0.00495,[ 9 26] ; [ 4 11],[ 9.1 25.9] ; [ 3.9 11.1],0
n1,1,0.974213,0.001045,[ 7 12] ; [3 5],[ 7.03703704 11.96296296] ; [2.96296296 5.03703704],0
