Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,80.351852,[113   2] ; [22 35],[90.26162791 24.73837209] ; [44.73837209 12.26162791],1
v4,1,0.0,37.634532,[106   7] ; [31 26],[91.06470588 21.93529412] ; [45.93529412 11.06470588],1
r2,1,0.0,37.417464,[108   6] ; [31 24],[93.76331361 20.23668639] ; [45.23668639  9.76331361],1
r1,1,0.0,36.932649,[86 29] ; [15 42],[67.52906977 47.47093023] ; [33.47093023 23.52906977],1
p11,1,1.2e-05,19.17248,[89 26] ; [25 32],[76.22093023 38.77906977] ; [37.77906977 19.22093023],1
p9,1,7.9e-05,15.572084,[86 28] ; [24 30],[74.64285714 39.35714286] ; [35.35714286 18.64285714],1
n2,1,0.000175,14.077428,[29  3] ; [14 16],[22.19354839  9.80645161] ; [20.80645161  9.19354839],1
b1,1,0.00042,12.44219,[40 75] ; [36 21],[50.81395349 64.18604651] ; [25.18604651 31.81395349],1
p2,1,0.000647,11.634349,[87 27] ; [27 27],[77.35714286 36.64285714] ; [36.64285714 17.35714286],1
p10,1,0.000772,11.307611,[76 37] ; [22 33],[65.91666667 47.08333333] ; [32.08333333 22.91666667],1
p7,1,0.001459,10.12944,[66 46] ; [18 37],[56.33532934 55.66467066] ; [27.66467066 27.33532934],0
v2,1,0.002979,8.820476,[54 58] ; [13 41],[45.20481928 66.79518072] ; [21.79518072 32.20481928],0
s6,1,0.003148,8.719353,[53 57] ; [14 43],[44.13173653 65.86826347] ; [22.86826347 34.13173653],0
a5,1,0.004145,8.21896,[71 44] ; [22 35],[62.18023256 52.81976744] ; [30.81976744 26.18023256],0
s5,1,0.004415,8.104686,[38 71] ; [ 8 49],[30.20481928 78.79518072] ; [15.79518072 41.20481928],0
n6,1,0.005314,7.769318,[87 27] ; [31 25],[79.12941176 34.87058824] ; [38.87058824 17.12941176],0
d5,1,0.00678,7.330275,[79 36] ; [27 30],[70.87209302 44.12790698] ; [35.12790698 21.87209302],0
p3,1,0.00766,7.111275,[44 70] ; [10 45],[36.4260355 77.5739645] ; [17.5739645 37.4260355],0
p8,1,0.008705,6.882331,[45 68] ; [11 45],[37.44378698 75.55621302] ; [18.55621302 37.44378698],0
d4,1,0.012333,6.262409,[82 32] ; [30 27],[74.66666667 39.33333333] ; [37.33333333 19.66666667],0
n3,1,0.019234,5.480092,[24  7] ; [14 15],[19.63333333 11.36666667] ; [18.36666667 10.63333333],0
v3,1,0.028385,4.804521,[32 77] ; [ 8 49],[26.26506024 82.73493976] ; [13.73493976 43.26506024],0
u3,1,0.030606,4.67493,[20 24] ; [ 6 23],[15.67123288 28.32876712] ; [10.32876712 18.67123288],0
p6,1,0.033221,4.534343,[28 82] ; [ 6 48],[22.80487805 87.19512195] ; [11.19512195 42.80487805],0
a8,1,0.054541,3.696058,[11 96] ; [ 1 53],[ 7.97515528 99.02484472] ; [ 4.02484472 49.97515528],0
a4,1,0.069179,3.302395,[49 65] ; [16 40],[43.58823529 70.41176471] ; [21.41176471 34.58823529],0
s3,1,0.093605,2.811263,[48 65] ; [16 39],[43.04761905 69.95238095] ; [20.95238095 34.04761905],0
d1,1,0.100995,2.689754,[47 68] ; [16 41],[42.12209302 72.87790698] ; [20.87790698 36.12209302],0
p4,1,0.11067,2.544623,[49 63] ; [17 38],[44.26347305 67.73652695] ; [21.73652695 33.26347305],0
a1,1,0.119015,2.430229,[  5 110] ; [ 6 51],[  7.35465116 107.64534884] ; [ 3.64534884 53.35465116],0
a3,1,0.14453,2.129051,[71 44] ; [28 28],[66.57894737 48.42105263] ; [32.42105263 23.57894737],0
d3,1,0.201327,1.632724,[50 65] ; [19 38],[46.13372093 68.86627907] ; [22.86627907 34.13372093],0
a6,1,0.207979,1.58544,[54 61] ; [21 36],[50.14534884 64.85465116] ; [24.85465116 32.14534884],0
v1,1,0.210316,1.569253,[48 66] ; [18 38],[44.25882353 69.74117647] ; [21.74117647 34.25882353],0
u2,1,0.22764,1.455548,[21 22] ; [10 19],[18.51388889 24.48611111] ; [12.48611111 16.51388889],0
p5,1,0.264074,1.247271,[ 12 102] ; [ 3 53],[ 10.05882353 103.94117647] ; [ 4.94117647 51.05882353],0
u1,1,0.279269,1.170646,[  6 109] ; [ 1 56],[  4.68023256 110.31976744] ; [ 2.31976744 54.68023256],0
s1,1,0.318579,0.994771,[  4 108] ; [ 4 53],[  5.30177515 106.69822485] ; [ 2.69822485 54.30177515],0
a2,1,0.363057,0.82729,[  8 107] ; [ 2 55],[  6.68604651 108.31395349] ; [ 3.31395349 53.68604651],0
b2,1,0.440751,0.594327,[21 46] ; [14 22],[22.76699029 44.23300971] ; [12.23300971 23.76699029],0
b3,1,0.440751,0.594327,[21 46] ; [14 22],[22.76699029 44.23300971] ; [12.23300971 23.76699029],0
n4,1,0.467673,0.527468,[79 36] ; [36 21],[76.88953488 38.11046512] ; [38.11046512 18.88953488],0
p1,1,0.51528,0.423331,[  7 108] ; [ 5 52],[  8.02325581 106.97674419] ; [ 3.97674419 53.02325581],0
