Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,25.092612,[  7 324] ; [14 81],[ 16.31690141 314.68309859] ; [ 4.68309859 90.31690141],1
s6,1,1e-06,23.353169,[142 188] ; [67 27],[162.66509434 167.33490566] ; [46.33490566 47.66509434],1
s2,1,1.1e-05,19.394378,[ 78 251] ; [45 51],[ 95.21647059 233.78352941] ; [27.78352941 68.21647059],1
d4,1,0.000365,12.705177,[248  84] ; [88  8],[260.63551402  71.36448598] ; [75.36448598 20.63551402],1
s3,1,0.005114,7.83854,[113 213] ; [48 47],[124.66983373 201.33016627] ; [36.33016627 58.66983373],0
v1,1,0.005664,7.654093,[144 180] ; [57 37],[155.79904306 168.20095694] ; [45.20095694 48.79904306],0
p10,1,0.011515,6.384084,[229  99] ; [78 16],[238.61611374  89.38388626] ; [68.38388626 25.61611374],0
a5,1,0.014738,5.947501,[209 123] ; [74 23],[219.01165501 112.98834499] ; [63.98834499 33.01165501],0
d1,1,0.022108,5.237301,[165 167] ; [61 36],[174.8997669 157.1002331] ; [51.1002331 45.8997669],0
n6,1,0.022122,5.236164,[249  81] ; [83 13],[257.18309859  72.81690141] ; [74.81690141 21.18309859],0
p3,1,0.030089,4.704217,[121 209] ; [47 49],[130.14084507 199.85915493] ; [37.85915493 58.14084507],0
b5,1,0.034155,4.486913,[214 118] ; [51 46],[205.08158508 126.91841492] ; [59.91841492 37.08158508],0
p12,1,0.034477,4.470881,[ 11 319] ; [ 8 87],[ 14.75294118 315.24705882] ; [ 4.24705882 90.75294118],0
a7,1,0.034706,4.459565,[249  81] ; [62 34],[240.91549296  89.08450704] ; [70.08450704 25.91549296],0
s8,1,0.04749,3.927948,[ 53 279] ; [24 73],[ 59.58974359 272.41025641] ; [17.41025641 79.58974359],0
s4,1,0.053843,3.717561,[ 35 293] ; [17 77],[ 40.41706161 287.58293839] ; [11.58293839 82.41706161],0
p7,1,0.061007,3.509807,[172 153] ; [60 34],[179.9522673 145.0477327] ; [52.0477327 41.9522673],0
u2,1,0.063603,3.440846,[66 64] ; [12 24],[61.08433735 68.91566265] ; [16.91566265 19.08433735],0
p8,1,0.066791,3.360185,[142 184] ; [52 44],[149.86729858 176.13270142] ; [44.13270142 51.86729858],0
p6,1,0.067382,3.345675,[ 77 249] ; [31 63],[ 83.82857143 242.17142857] ; [24.17142857 69.82857143],0
a4,1,0.06904,3.30571,[119 210] ; [45 52],[126.657277 202.342723] ; [37.342723 59.657277],0
d5,1,0.078742,3.090677,[252  79] ; [82 15],[258.30373832  72.69626168] ; [75.69626168 21.30373832],0
p9,1,0.094736,2.791996,[245  83] ; [78 16],[251.0521327  76.9478673] ; [71.9478673 22.0521327],0
r1,1,0.105186,2.625101,[249  81] ; [80 16],[254.85915493  75.14084507] ; [74.14084507 21.85915493],0
d2,1,0.123109,2.377318,[131 200] ; [46 49],[137.52816901 193.47183099] ; [39.47183099 55.52816901],0
p4,1,0.188817,1.726821,[151 177] ; [51 44],[156.63356974 171.36643026] ; [45.36643026 49.63356974],0
a1,1,0.202068,1.627364,[ 11 321] ; [ 6 91],[ 13.15617716 318.84382284] ; [ 3.84382284 93.15617716],0
u1,1,0.212613,1.553543,[ 33 299] ; [14 83],[ 36.37296037 295.62703963] ; [10.62703963 86.37296037],0
r4,1,0.234479,1.413483,[290  42] ; [89  8],[293.30536131  38.69463869] ; [85.69463869 11.30536131],0
a6,1,0.247359,1.338156,[236  96] ; [63 34],[231.39393939 100.60606061] ; [67.60606061 29.39393939],0
b2,1,0.28615,1.137647,[ 55 116] ; [22 33],[ 58.26106195 112.73893805] ; [18.73893805 36.26106195],0
b3,1,0.28615,1.137647,[ 55 116] ; [22 33],[ 58.26106195 112.73893805] ; [18.73893805 36.26106195],0
