Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4.7e-05,16.547611,[18 33] ; [73 32],[29.75 21.25] ; [61.25 43.75],1
v4,1,0.001733,9.812658,[37 12] ; [98  7],[42.95454545  6.04545455] ; [92.04545455 12.95454545],0
s6,1,0.013527,6.098826,[16 35] ; [54 49],[23.18181818 27.81818182] ; [46.81818182 56.18181818],0
p11,1,0.014572,5.967466,[19 32] ; [61 44],[26.15384615 24.84615385] ; [53.84615385 51.15384615],0
r4,1,0.024535,5.056423,[36 15] ; [90 15],[41.19230769  9.80769231] ; [84.80769231 20.19230769],0
b5,1,0.026833,4.901499,[22 29] ; [65 40],[28.44230769 22.55769231] ; [58.55769231 46.44230769],0
n4,1,0.029825,4.719328,[28 23] ; [76 29],[34. 17.] ; [70. 35.],0
s7,1,0.035148,4.437986,[ 9 37] ; [37 63],[14.49315068 31.50684932] ; [31.50684932 68.49315068],0
u1,1,0.039795,4.226619,[ 3 48] ; [19 86],[ 7.19230769 43.80769231] ; [14.80769231 90.19230769],0
a7,1,0.047294,3.934889,[27 24] ; [72 32],[32.57419355 18.42580645] ; [66.42580645 37.57419355],0
r3,1,0.050717,3.817578,[41 10] ; [95  9],[44.7483871  6.2516129] ; [91.2516129 12.7483871],0
p6,1,0.076507,3.137595,[ 6 44] ; [25 78],[10.13071895 39.86928105] ; [20.86928105 82.13071895],0
s8,1,0.088282,2.905416,[ 8 43] ; [29 74],[12.25324675 38.74675325] ; [24.74675325 78.25324675],0
p10,1,0.097265,2.749818,[ 9 42] ; [31 72],[13.24675325 37.75324675] ; [26.75324675 76.24675325],0
p7,1,0.121106,2.40296,[19 32] ; [52 51],[23.51298701 27.48701299] ; [47.48701299 55.51298701],0
v3,1,0.159305,1.980814,[12 36] ; [38 66],[15.78947368 32.21052632] ; [34.21052632 69.78947368],0
s5,1,0.170708,1.876717,[ 7 43] ; [24 78],[10.19736842 39.80263158] ; [20.80263158 81.19736842],0
d1,1,0.186099,1.748231,[20 31] ; [53 52],[23.86538462 27.13461538] ; [49.13461538 55.86538462],0
p4,1,0.194336,1.68444,[17 34] ; [46 58],[20.72903226 30.27096774] ; [42.27096774 61.72903226],0
v2,1,0.243713,1.358988,[17 32] ; [46 57],[20.30921053 28.69078947] ; [42.69078947 60.30921053],0
a8,1,0.254163,1.300274,[ 2 46] ; [ 9 85],[ 3.71830986 44.28169014] ; [ 7.28169014 86.71830986],0
p2,1,0.341069,0.906411,[27 24] ; [64 41],[29.75 21.25] ; [61.25 43.75],0
u3,1,0.341431,0.905051,[13  7] ; [23 21],[11.25  8.75] ; [24.75 19.25],0
d4,1,0.36107,0.834167,[34 16] ; [78 26],[36.36363636 13.63636364] ; [75.63636364 28.36363636],0
s3,1,0.365278,0.819666,[26 25] ; [45 59],[23.36129032 27.63870968] ; [47.63870968 56.36129032],0
n1,1,0.376838,0.780992,[ 7 14] ; [15 18],[ 8.55555556 12.44444444] ; [13.44444444 19.55555556],0
p8,1,0.390851,0.736294,[14 37] ; [36 69],[16.34615385 34.65384615] ; [33.65384615 71.34615385],0
s2,1,0.398209,0.713728,[15 36] ; [37 65],[17.33333333 33.66666667] ; [34.66666667 67.33333333],0
a2,1,0.409806,0.679362,[ 7 44] ; [20 85],[ 8.82692308 42.17307692] ; [18.17307692 86.82692308],0
v1,1,0.411595,0.67419,[16 35] ; [40 65],[18.30769231 32.69230769] ; [37.69230769 67.30769231],0
u2,1,0.472135,0.516974,[11  9] ; [19 23],[ 9.67741935 10.32258065] ; [20.32258065 21.67741935],0
n2,1,0.492468,0.47113,[14  9] ; [23 10],[15.19642857  7.80357143] ; [21.80357143 11.19642857],0
a6,1,0.496911,0.461527,[33 18] ; [62 43],[31.05769231 19.94230769] ; [63.94230769 41.05769231],0
s4,1,0.514599,0.424705,[ 6 45] ; [16 86],[ 7.33333333 43.66666667] ; [14.66666667 87.33333333],0
a5,1,0.570901,0.321176,[33 18] ; [63 42],[31.38461538 19.61538462] ; [64.61538462 40.38461538],0
a1,1,0.610593,0.259312,[ 4 47] ; [ 6 99],[ 3.26923077 47.73076923] ; [ 6.73076923 98.26923077],0
d3,1,0.625315,0.238468,[29 22] ; [64 41],[30.40384615 20.59615385] ; [62.59615385 42.40384615],0
b4,1,0.711422,0.136861,[30 21] ; [65 40],[31.05769231 19.94230769] ; [63.94230769 41.05769231],0
b2,1,0.71719,0.131201,[ 9 23] ; [20 43],[ 9.76842105 22.23157895] ; [19.23157895 43.76842105],0
b3,1,0.71719,0.131201,[ 9 23] ; [20 43],[ 9.76842105 22.23157895] ; [19.23157895 43.76842105],0
d5,1,0.718894,0.129555,[36 15] ; [77 28],[36.94230769 14.05769231] ; [76.05769231 28.94230769],0
a3,1,0.748739,0.102594,[31 20] ; [61 44],[30.07692308 20.92307692] ; [61.92307692 43.07692308],0
s1,1,0.774589,0.082012,[ 4 46] ; [ 7 97],[ 3.57142857 46.42857143] ; [ 7.42857143 96.57142857],0
n3,1,0.800657,0.063754,[12  9] ; [20 13],[12.44444444  8.55555556] ; [19.55555556 13.44444444],0
r1,1,0.819507,0.052066,[39 12] ; [82 23],[39.55769231 11.44230769] ; [81.44230769 23.55769231],0
p1,1,0.933885,0.006882,[ 4 46] ; [ 8 97],[ 3.87096774 46.12903226] ; [ 8.12903226 96.87096774],0
a4,1,0.941466,0.005392,[19 32] ; [39 64],[19.20779221 31.79220779] ; [38.79220779 64.20779221],0
d2,1,0.953892,0.003343,[26 25] ; [52 51],[25.83116883 25.16883117] ; [52.16883117 50.83116883],0
p3,1,0.964053,0.002031,[16 35] ; [33 71],[16.12258065 34.87741935] ; [32.87741935 71.12258065],0
b1,1,0.968415,0.001568,[28 23] ; [58 47],[28.11538462 22.88461538] ; [57.88461538 47.11538462],0
