Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5.6e-05,16.230682,[14  2] ; [ 1 10],[8.88888889 7.11111111] ; [6.11111111 4.88888889],1
p8,1,0.003681,8.434938,[10  6] ; [ 1 11],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
p2,1,0.005736,7.631471,[9 6] ; [ 1 11],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
p3,1,0.009375,6.75,[10  5] ; [ 2 10],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
v4,1,0.010173,6.604288,[14  2] ; [5 7],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
n2,1,0.011743,6.349206,[6 1] ; [2 7],[3.5 3.5] ; [4.5 4.5],0
b4,1,0.030522,4.67963,[13  3] ; [5 7],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
s6,1,0.033807,4.504456,[9 7] ; [ 2 10],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
p7,1,0.035366,4.427401,[6 7] ; [ 1 11],[3.64 9.36] ; [3.36 8.64],0
r4,1,0.040078,4.214583,[7 9] ; [ 1 11],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
s5,1,0.052634,3.755495,[7 9] ; [ 1 10],[ 4.74074074 11.25925926] ; [3.25925926 7.74074074],0
r1,1,0.062942,3.45812,[11  5] ; [4 8],[8.57142857 7.42857143] ; [6.42857143 5.57142857],0
v2,1,0.068504,3.318519,[8 8] ; [ 2 10],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
p6,1,0.07776,3.111111,[ 6 10] ; [ 1 11],[ 4. 12.] ; [3. 9.],0
s8,1,0.07776,3.111111,[ 6 10] ; [ 1 11],[ 4. 12.] ; [3. 9.],0
n5,1,0.07776,3.111111,[14  2] ; [7 5],[12.  4.] ; [9. 3.],0
n6,1,0.118268,2.440107,[12  4] ; [5 6],[10.07407407  5.92592593] ; [6.92592593 4.07407407],0
p5,1,0.120507,2.410714,[ 5 10] ; [ 1 11],[ 3.33333333 11.66666667] ; [2.66666667 9.33333333],0
p11,1,0.128872,2.306043,[7 9] ; [ 2 10],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
v1,1,0.128872,2.306043,[7 9] ; [ 2 10],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
b2,1,0.132391,2.264245,[ 2 11] ; [4 5],[3.54545455 9.45454545] ; [2.45454545 6.54545455],0
b3,1,0.132391,2.264245,[ 2 11] ; [4 5],[3.54545455 9.45454545] ; [2.45454545 6.54545455],0
p4,1,0.136519,2.216761,[8 7] ; [3 9],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
s7,1,0.173568,1.851852,[7 8] ; [2 8],[5.4 9.6] ; [3.6 6.4],0
n4,1,0.18367,1.767677,[14  2] ; [8 4],[12.57142857  3.42857143] ; [9.42857143 2.57142857],0
s2,1,0.227195,1.458333,[ 6 10] ; [ 2 10],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
p1,1,0.254478,1.298551,[ 4 12] ; [ 1 11],[ 2.85714286 13.14285714] ; [2.14285714 9.85714286],0
u3,1,0.270289,1.215278,[1 3] ; [2 1],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
d2,1,0.304807,1.053044,[13  3] ; [7 4],[11.85185185  4.14814815] ; [8.14814815 2.85185185],0
s3,1,0.305507,1.05,[7 9] ; [3 9],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
b1,1,0.305507,1.05,[9 7] ; [9 3],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
n1,1,0.340904,0.907029,[4 3] ; [3 6],[3.0625 3.9375] ; [3.9375 5.0625],0
n3,1,0.340904,0.907029,[4 3] ; [3 6],[3.0625 3.9375] ; [3.9375 5.0625],0
a1,1,0.377822,0.777778,[ 1 15] ; [ 2 10],[ 1.71428571 14.28571429] ; [ 1.28571429 10.71428571],0
a6,1,0.377822,0.777778,[8 8] ; [8 4],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
s1,1,0.377822,0.777778,[ 1 15] ; [ 2 10],[ 1.71428571 14.28571429] ; [ 1.28571429 10.71428571],0
v3,1,0.377822,0.777778,[ 5 11] ; [ 2 10],[ 4. 12.] ; [3. 9.],0
s4,1,0.377822,0.777778,[ 3 13] ; [4 8],[ 4. 12.] ; [3. 9.],0
r2,1,0.56628,0.328947,[12  3] ; [7 3],[11.4  3.6] ; [7.6 2.4],0
a5,1,0.594853,0.282828,[12  4] ; [10  2],[12.57142857  3.42857143] ; [9.42857143 2.57142857],0
a2,1,0.689995,0.159091,[ 3 13] ; [3 9],[ 3.42857143 12.57142857] ; [2.57142857 9.42857143],0
a4,1,0.701122,0.147308,[9 7] ; [7 4],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
d3,1,0.724263,0.124444,[14  2] ; [11  1],[14.28571429  1.71428571] ; [10.71428571  1.28571429],0
b5,1,0.742787,0.107692,[9 7] ; [6 6],[8.57142857 7.42857143] ; [6.42857143 5.57142857],0
u1,1,0.755189,0.097222,[ 2 14] ; [ 2 10],[ 2.28571429 13.71428571] ; [ 1.71428571 10.28571429],0
u2,1,0.80915,0.058333,[1 3] ; [1 2],[1.14285714 2.85714286] ; [0.85714286 2.14285714],0
a7,1,0.819872,0.051852,[10  6] ; [8 4],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
a3,1,1.0,0.0,[12  4] ; [9 3],[12.  4.] ; [9. 3.],0
