Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9.2e-05,15.287071,[48 18] ; [15 28],[38.14678899 27.85321101] ; [24.85321101 18.14678899],1
r4,1,0.000988,10.849273,[51 15] ; [20 23],[42.99082569 23.00917431] ; [28.00917431 14.99082569],1
s6,1,0.001111,10.633086,[34 31] ; [ 9 34],[25.87962963 39.12037037] ; [17.12037037 25.87962963],0
v4,1,0.00147,10.115543,[57  9] ; [25 17],[50.11111111 15.88888889] ; [31.88888889 10.11111111],0
r3,1,0.003624,8.46327,[55 11] ; [25 18],[48.44036697 17.55963303] ; [31.55963303 11.44036697],0
s7,1,0.024665,5.047274,[21 42] ; [ 5 33],[16.21782178 46.78217822] ; [ 9.78217822 28.21782178],0
b5,1,0.03766,4.320294,[38 28] ; [16 27],[32.69724771 33.30275229] ; [21.30275229 21.69724771],0
s8,1,0.041942,4.137523,[14 51] ; [ 3 40],[10.23148148 54.76851852] ; [ 6.76851852 36.23148148],0
p11,1,0.051353,3.796711,[34 32] ; [14 29],[29.06422018 36.93577982] ; [18.93577982 24.06422018],0
s2,1,0.059163,3.560699,[23 42] ; [ 8 35],[18.65740741 46.34259259] ; [12.34259259 30.65740741],0
n2,1,0.087107,2.927039,[17  8] ; [10 13],[14.0625 10.9375] ; [12.9375 10.0625],0
p4,1,0.122202,2.388867,[26 39] ; [11 32],[22.26851852 42.73148148] ; [14.73148148 28.26851852],0
v3,1,0.127157,2.326877,[16 50] ; [ 5 36],[12.95327103 53.04672897] ; [ 8.04672897 32.95327103],0
u1,1,0.127989,2.316732,[ 9 57] ; [ 2 41],[ 6.66055046 59.33944954] ; [ 4.33944954 38.66055046],0
p6,1,0.133772,2.24817,[15 50] ; [ 5 38],[12.03703704 52.96296296] ; [ 7.96296296 35.03703704],0
a1,1,0.165811,1.920414,[ 3 63] ; [ 5 38],[ 4.8440367 61.1559633] ; [ 3.1559633 39.8440367],0
r2,1,0.175862,1.832252,[57  9] ; [32 10],[54.38888889 11.61111111] ; [34.61111111  7.38888889],0
n4,1,0.190412,1.714428,[45 21] ; [24 19],[41.77981651 24.22018349] ; [27.22018349 15.77981651],0
p8,1,0.193188,1.693135,[20 46] ; [ 8 34],[17.11111111 48.88888889] ; [10.88888889 31.11111111],0
d1,1,0.199068,1.649201,[28 38] ; [13 30],[24.82568807 41.17431193] ; [16.17431193 26.82568807],0
a4,1,0.233188,1.421311,[21 43] ; [19 24],[23.92523364 40.07476636] ; [16.07476636 26.92523364],0
r1,1,0.243619,1.359529,[47 19] ; [26 17],[44.20183486 21.79816514] ; [28.79816514 14.20183486],0
u2,1,0.253671,1.302973,[12 19] ; [11  9],[13.98039216 17.01960784] ; [ 9.01960784 10.98039216],0
p3,1,0.258736,1.275505,[20 45] ; [ 9 34],[17.4537037 47.5462963] ; [11.5462963 31.4537037],0
n1,1,0.277663,1.178491,[11 13] ; [ 7 16],[ 9.19148936 14.80851064] ; [ 8.80851064 14.19148936],0
p10,1,0.281636,1.15918,[16 48] ; [ 7 36],[13.75700935 50.24299065] ; [ 9.24299065 33.75700935],0
p7,1,0.313663,1.015189,[29 36] ; [15 28],[26.48148148 38.51851852] ; [17.51851852 25.48148148],0
a8,1,0.339761,0.911333,[ 6 56] ; [ 2 41],[ 4.72380952 57.27619048] ; [ 3.27619048 39.72380952],0
s5,1,0.339794,0.91121,[12 53] ; [ 5 38],[10.23148148 54.76851852] ; [ 6.76851852 36.23148148],0
d3,1,0.36673,0.814714,[35 31] ; [19 24],[32.69724771 33.30275229] ; [21.30275229 21.69724771],0
a6,1,0.405196,0.692851,[33 33] ; [25 18],[35.11926606 30.88073394] ; [22.88073394 20.11926606],0
n3,1,0.472304,0.516582,[14 10] ; [10 11],[12.8 11.2] ; [11.2  9.8],0
s1,1,0.489743,0.477091,[ 5 60] ; [ 5 38],[ 6.01851852 58.98148148] ; [ 3.98148148 39.01851852],0
