Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,53.650728,[23 80] ; [84 33],[50.09545455 52.90454545] ; [56.90454545 60.09545455],1
s2,1,0.0,26.892334,[41 60] ; [88 29],[59.76605505 41.23394495] ; [69.23394495 47.76605505],1
a3,1,0.000106,15.022523,[58 44] ; [94 22],[71.11926606 30.88073394] ; [80.88073394 35.11926606],1
s3,1,0.000441,12.349019,[59 41] ; [93 22],[70.69767442 29.30232558] ; [81.30232558 33.69767442],1
b1,1,0.00297,8.825582,[26 77] ; [52 65],[36.51818182 66.48181818] ; [41.48181818 75.51818182],0
n4,1,0.005307,7.7718,[62 41] ; [90 26],[71.48858447 31.51141553] ; [80.51141553 35.48858447],0
p6,1,0.00861,6.901919,[11 90] ; [28 85],[18.40654206 82.59345794] ; [20.59345794 92.40654206],0
a5,1,0.016967,5.69974,[61 42] ; [87 30],[69.29090909 33.70909091] ; [78.70909091 38.29090909],0
s1,1,0.018418,5.55598,[ 1 99] ; [  9 107],[ 4.62962963 95.37037037] ; [  5.37037037 110.62962963],0
d2,1,0.019185,5.484566,[32 71] ; [54 62],[40.44748858 62.55251142] ; [45.55251142 70.44748858],0
p1,1,0.020097,5.403479,[  2 100] ; [ 11 106],[ 6.05479452 95.94520548] ; [  6.94520548 110.05479452],0
s5,1,0.020127,5.400824,[30 70] ; [51 61],[38.20754717 61.79245283] ; [42.79245283 69.20754717],0
u1,1,0.021879,5.255373,[ 9 94] ; [23 94],[14.98181818 88.01818182] ; [17.01818182 99.98181818],0
v2,1,0.022803,5.183487,[43 50] ; [69 42],[51.05882353 41.94117647] ; [60.94117647 50.05882353],0
u3,1,0.032288,4.583127,[21 24] ; [17  6],[25.14705882 19.85294118] ; [12.85294118 10.14705882],0
v3,1,0.034055,4.491923,[29 70] ; [49 64],[36.4245283 62.5754717] ; [41.5754717 71.4245283],0
d1,1,0.039164,4.253758,[42 61] ; [64 53],[49.62727273 53.37272727] ; [56.37272727 60.62727273],0
r1,1,0.043809,4.063909,[74 28] ; [98 19],[80.10958904 21.89041096] ; [91.89041096 25.10958904],0
a2,1,0.073395,3.205405,[17 86] ; [31 86],[22.47272727 80.52727273] ; [25.52727273 91.47272727],0
b2,1,0.120998,2.404353,[11 32] ; [32 49],[14.91129032 28.08870968] ; [28.08870968 52.91129032],0
b3,1,0.120998,2.404353,[11 32] ; [32 49],[14.91129032 28.08870968] ; [28.08870968 52.91129032],0
p8,1,0.142472,2.151059,[30 71] ; [44 68],[35.08920188 65.91079812] ; [38.91079812 73.08920188],0
b4,1,0.151527,2.056814,[67 36] ; [65 52],[61.8 41.2] ; [70.2 46.8],0
p3,1,0.179207,1.80419,[20 82] ; [32 85],[24.21917808 77.78082192] ; [27.78082192 89.21917808],0
a8,1,0.216469,1.527629,[12 83] ; [20 85],[15.2 79.8] ; [16.8 88.2],0
p2,1,0.217864,1.518385,[79 23] ; [82 35],[74.98630137 27.01369863] ; [86.01369863 30.98630137],0
p7,1,0.24971,1.324924,[47 51] ; [61 48],[51.13043478 46.86956522] ; [56.86956522 52.13043478],0
n5,1,0.253904,1.301695,[66 37] ; [82 33],[69.9266055 33.0733945] ; [78.0733945 36.9266055],0
p10,1,0.274492,1.194162,[76 26] ; [92 22],[79.33333333 22.66666667] ; [88.66666667 25.33333333],0
p5,1,0.282883,1.153185,[ 3 98] ; [  7 109],[ 4.65437788 96.34562212] ; [  5.34562212 110.65437788],0
b5,1,0.285497,1.140737,[73 30] ; [75 42],[69.29090909 33.70909091] ; [78.70909091 38.29090909],0
r4,1,0.333227,0.936316,[87 16] ; [104  13],[89.42272727 13.57727273] ; [101.57727273  15.42272727],0
p9,1,0.358289,0.843882,[82 19] ; [97 16],[84.48130841 16.51869159] ; [94.51869159 18.48130841],0
s4,1,0.360984,0.834468,[20 81] ; [29 87],[22.80645161 78.19354839] ; [26.19354839 89.80645161],0
n3,1,0.373415,0.792269,[26  8] ; [22 11],[24.35820896  9.64179104] ; [23.64179104  9.35820896],0
a4,1,0.384235,0.757107,[36 66] ; [48 69],[39.12328767 62.87671233] ; [44.87671233 72.12328767],0
v4,1,0.408665,0.68268,[99  3] ; [110   6],[97.78899083  4.21100917] ; [111.21100917   4.78899083],0
d5,1,0.423012,0.641933,[77 26] ; [92 24],[79.48401826 23.51598174] ; [89.51598174 26.48401826],0
r2,1,0.427578,0.629394,[95  7] ; [109   5],[96.33333333  5.66666667] ; [107.66666667   6.33333333],0
r3,1,0.443299,0.587729,[95  8] ; [109   6],[96.3853211  6.6146789] ; [107.6146789   7.3853211],0
v1,1,0.51064,0.432755,[48 50] ; [61 53],[50.38679245 47.61320755] ; [58.61320755 55.38679245],0
d4,1,0.649988,0.205915,[80 23] ; [93 23],[81.3652968 21.6347032] ; [91.6347032 24.3652968],0
u2,1,0.712626,0.135668,[23 21] ; [12  9],[23.69230769 20.30769231] ; [11.30769231  9.69230769],0
p11,1,0.723303,0.12535,[77 26] ; [85 32],[75.84545455 27.15454545] ; [86.15454545 30.84545455],0
p12,1,0.789152,0.071509,[ 8 94] ; [  8 108],[ 7.48623853 94.51376147] ; [  8.51376147 107.48623853],0
n6,1,0.827294,0.0476,[83 20] ; [94 21],[83.62844037 19.37155963] ; [93.37155963 21.62844037],0
a1,1,0.836486,0.042597,[ 5 98] ; [  5 112],[ 4.68181818 98.31818182] ; [  5.31818182 111.68181818],0
n1,1,0.881777,0.022117,[14 20] ; [13 20],[13.70149254 20.29850746] ; [13.29850746 19.70149254],0
u4,1,0.89759,0.016565,[  2 101] ; [  2 115],[  1.87272727 101.12727273] ; [  2.12727273 114.87272727],0
a7,1,0.913921,0.011684,[72 31] ; [81 36],[71.63181818 31.36818182] ; [81.36818182 35.63181818],0
d3,1,0.914646,0.011488,[62 41] ; [69 47],[61.61187215 41.38812785] ; [69.38812785 46.61187215],0
n2,1,0.954488,0.003257,[28  6] ; [27  6],[27.91044776  6.08955224] ; [27.08955224  5.91044776],0
a6,1,0.991611,0.000111,[68 35] ; [76 39],[68.03669725 34.96330275] ; [75.96330275 39.03669725],0
