Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,86.173926,[226  98] ; [ 41 121],[178. 146.] ; [89. 73.],1
p6,1,0.0,61.225146,[173 152] ; [ 26 135],[133.07613169 191.92386831] ; [65.92386831 95.07613169],1
p2,1,0.0,41.270359,[300  26] ; [113  49],[275.89754098  50.10245902] ; [137.10245902  24.89754098],1
p4,1,2e-06,22.971593,[241  85] ; [84 77],[217.55646817 108.44353183] ; [107.44353183  53.55646817],1
p10,1,2e-06,22.685098,[292  33] ; [117  43],[274.07216495  50.92783505] ; [134.92783505  25.07216495],1
p3,1,4e-06,21.362359,[199 127] ; [63 99],[175.02459016 150.97540984] ; [86.97540984 75.02459016],1
r3,1,0.000193,13.893267,[323   2] ; [152  10],[316.99178645   8.00821355] ; [158.00821355   3.99178645],1
p11,1,0.000478,12.197684,[268  59] ; [110  52],[252.77300613  74.22699387] ; [125.22699387  36.77300613],1
s5,1,0.000546,11.952188,[160 162] ; [ 51 104],[142.4360587 179.5639413] ; [68.5639413 86.4360587],1
p9,1,0.002756,8.962076,[295  30] ; [130  30],[284.79381443  40.20618557] ; [140.20618557  19.79381443],0
n5,1,0.003807,8.373616,[267  57] ; [115  47],[254.66666667  69.33333333] ; [127.33333333  34.66666667],0
s7,1,0.006855,7.310486,[210 105] ; [84 72],[196.62420382 118.37579618] ; [97.37579618 58.62420382],0
p5,1,0.016201,5.780969,[ 52 274] ; [ 13 148],[ 43.51129363 282.48870637] ; [ 21.48870637 139.51129363],0
a8,1,0.018719,5.5276,[ 57 241] ; [ 15 130],[ 48.43340858 249.56659142] ; [ 23.56659142 121.43340858],0
a3,1,0.039834,4.224948,[251  75] ; [110  51],[241.6550308  84.3449692] ; [119.3449692  41.6550308],0
s8,1,0.042152,4.129089,[197 128] ; [82 79],[186.57407407 138.42592593] ; [92.42592593 68.57407407],0
b1,1,0.06575,3.386063,[133 194] ; [ 52 110],[123.71165644 203.28834356] ; [ 61.28834356 100.71165644],0
d3,1,0.071465,3.249052,[242  83] ; [108  54],[233.57289528  91.42710472] ; [116.42710472  45.57289528],0
